Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000000
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000000
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000000
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000000
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000001
FILLER_9_26,VGND,li1,17.9400,38.0800,0.000001
FILLER_9_18,VGND,li1,15.6400,38.0800,0.000001
FILLER_9_6,VGND,li1,11.0400,38.0800,0.000001
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000001
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000001
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000001
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000001
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000001
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000002
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000002
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000002
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000001
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000001
FILLER_7_50,VGND,li1,29.9000,32.6400,0.000001
FILLER_7_38,VGND,li1,25.7600,32.6400,0.000001
FILLER_7_26,VGND,li1,20.2400,32.6400,0.000001
FILLER_7_7,VGND,li1,9.6600,32.6400,0.000002
FILLER_6_76,VGND,li1,40.7100,27.2000,0.000003
FILLER_6_72,VGND,li1,39.5600,27.2000,0.000003
FILLER_6_60,VGND,li1,35.8800,27.2000,0.000003
FILLER_6_48,VGND,li1,30.3600,27.2000,0.000003
FILLER_6_36,VGND,li1,24.8400,27.2000,0.000003
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000004
FILLER_6_18,VGND,li1,15.6400,27.2000,0.000004
FILLER_6_6,VGND,li1,11.0400,27.2000,0.000005
FILLER_5_69,VGND,li1,39.1000,27.2000,0.000003
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000003
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000003
FILLER_5_42,VGND,li1,27.6000,27.2000,0.000003
FILLER_5_30,VGND,li1,22.0800,27.2000,0.000004
FILLER_5_19,VGND,li1,15.6400,27.2000,0.000004
FILLER_5_7,VGND,li1,11.5000,27.2000,0.000005
FILLER_4_77,VGND,li1,41.8600,21.7600,0.000000
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000000
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000000
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000000
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000001
FILLER_4_24,VGND,li1,17.4800,21.7600,0.000001
FILLER_4_18,VGND,li1,14.4900,21.7600,0.000001
FILLER_4_6,VGND,li1,11.0400,21.7600,0.000001
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000000
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000000
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000000
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000000
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000000
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000001
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000001
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000001
FILLER_2_77,VGND,li1,41.8600,16.3200,0.000000
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000000
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000000
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000000
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000000
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000001
FILLER_2_18,VGND,li1,15.6400,16.3200,0.000001
FILLER_2_6,VGND,li1,11.0400,16.3200,0.000001
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000000
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000000
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000000
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000000
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000000
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000000
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000001
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000001
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
