Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.799997
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799997
FILLER_9_55,VPWR,li1,31.0500,35.3600,1.799997
FILLER_9_48,VPWR,li1,28.5200,35.3600,1.799997
FILLER_9_42,VPWR,li1,25.5300,35.3600,1.799997
FILLER_9_37,VPWR,li1,22.7700,35.3600,1.799997
FILLER_9_29,VPWR,li1,20.7000,35.3600,1.799998
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799998
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799998
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799998
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799997
FILLER_8_76,VPWR,li1,41.4000,35.3600,1.799997
FILLER_8_64,VPWR,li1,37.7200,35.3600,1.799997
FILLER_8_52,VPWR,li1,32.2000,35.3600,1.799997
FILLER_8_41,VPWR,li1,25.0700,35.3600,1.799997
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799998
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799998
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799998
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799998
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.800000
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.800000
FILLER_7_53,VPWR,li1,30.5900,29.9200,1.800000
FILLER_7_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_7_35,VPWR,li1,22.0800,29.9200,1.800000
FILLER_7_27,VPWR,li1,19.7800,29.9200,1.800000
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.800000
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.800000
FILLER_6_77,VPWR,li1,41.8600,29.9200,1.800000
FILLER_6_65,VPWR,li1,38.1800,29.9200,1.800000
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.800000
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.800000
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.800000
FILLER_6_15,VPWR,li1,15.1800,29.9200,1.800000
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.800000
FILLER_5_69,VPWR,li1,39.1000,24.4800,1.799997
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799997
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.799998
FILLER_5_45,VPWR,li1,28.0600,24.4800,1.799998
