net,length_um
net8,49.13µm
net5,38.67µm
net3,33.3µm
net4,31.62µm
_017_,30.26µm
_034_,29.28µm
_020_,29.16µm
net6,27.66µm
_004_,26.78µm
net1,25.78µm
net2,25.22µm
_011_,24.64µm
_008_,22.28µm
_019_,20.42µm
_014_,19.32µm
_041_,18.88µm
net7,18.54µm
_028_,14.94µm
_044_,14.68µm
_015_,13.82µm
_012_,13.54µm
_027_,13.46µm
_005_,12.96µm
_003_,12.7µm
_043_,12.66µm
P[1],12.62µm
_001_,12.58µm
_021_,12.535µm
_023_,12.46µm
_022_,12.42µm
B[1],11.78µm
_026_,10.74µm
_032_,10.4µm
P[5],10.32µm
P[6],10.32µm
_006_,10.18µm
_018_,9.54µm
_037_,9.285µm
P[0],8.96µm
P[2],8.96µm
_009_,8.9µm
_002_,8.78µm
A[0],8.72µm
A[1],8.72µm
B[0],8.72µm
_024_,8.36µm
_000_,7.9µm
_042_,7.42µm
_010_,7.32µm
_016_,6.84µm
B[2],6.79µm
net16,6.18µm
B[3],6.09µm
_039_,5.78µm
P[7],5.75µm
_013_,5.5µm
P[3],5.07µm
_030_,4.92µm
A[2],4.61µm
A[3],4.61µm
P[4],4.39µm
_036_,3.9µm
_033_,3.66µm
_046_,3.44µm
_045_,3.06µm
net11,2.84µm
net15,2.64µm
_038_,2.5µm
net13,2.5µm
_025_,2.18µm
_040_,2.16µm
_031_,2.06µm
net14,2.06µm
net12,2.04µm
_007_,1.84µm
_029_,1.84µm
net9,1.6µm
_035_,1.14µm
net10,1.14µm
