Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_78,VPWR,li1,42.0900,35.3600,1.799980
FILLER_9_70,VPWR,li1,39.5600,35.3600,1.799980
FILLER_9_64,VPWR,li1,35.4200,35.3600,1.799980
FILLER_9_55,VPWR,li1,31.0500,35.3600,1.799982
FILLER_9_47,VPWR,li1,28.9800,35.3600,1.799984
FILLER_9_35,VPWR,li1,24.3800,35.3600,1.799987
FILLER_9_29,VPWR,li1,19.3200,35.3600,1.799988
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799988
FILLER_9_19,VPWR,li1,14.4900,35.3600,1.799987
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799987
FILLER_8_73,VPWR,li1,40.9400,35.3600,1.799980
FILLER_8_61,VPWR,li1,36.3400,35.3600,1.799980
FILLER_8_37,VPWR,li1,22.7700,35.3600,1.799987
FILLER_8_29,VPWR,li1,20.7000,35.3600,1.799989
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799988
FILLER_8_21,VPWR,li1,16.5600,35.3600,1.799988
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799987
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799986
FILLER_7_76,VPWR,li1,40.7100,29.9200,1.799993
FILLER_7_64,VPWR,li1,37.7200,29.9200,1.799993
FILLER_7_57,VPWR,li1,32.4300,29.9200,1.799994
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799994
FILLER_7_47,VPWR,li1,28.9800,29.9200,1.799994
FILLER_7_35,VPWR,li1,24.3800,29.9200,1.799995
FILLER_7_23,VPWR,li1,18.8600,29.9200,1.799995
FILLER_7_18,VPWR,li1,14.2600,29.9200,1.799995
FILLER_7_12,VPWR,li1,11.5000,29.9200,1.799994
FILLER_7_6,VPWR,li1,8.5100,29.9200,1.799994
FILLER_6_77,VPWR,li1,41.8600,29.9200,1.799993
FILLER_6_69,VPWR,li1,37.4900,29.9200,1.799993
FILLER_6_59,VPWR,li1,33.5800,29.9200,1.799994
FILLER_6_37,VPWR,li1,23.0000,29.9200,1.799995
FILLER_6_29,VPWR,li1,20.7000,29.9200,1.799996
FILLER_6_25,VPWR,li1,17.7100,29.9200,1.799995
FILLER_6_13,VPWR,li1,14.2600,29.9200,1.799995
FILLER_5_65,VPWR,li1,38.1800,24.4800,1.799987
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799989
FILLER_5_46,VPWR,li1,28.5200,24.4800,1.799990
FILLER_5_37,VPWR,li1,22.7700,24.4800,1.799993
FILLER_5_31,VPWR,li1,21.1600,24.4800,1.799993
FILLER_5_14,VPWR,li1,12.6500,24.4800,1.799992
FILLER_5_3,VPWR,li1,7.1300,24.4800,1.799991
FILLER_4_78,VPWR,li1,42.0900,24.4800,1.799985
FILLER_4_62,VPWR,li1,34.9600,24.4800,1.799988
FILLER_4_50,VPWR,li1,31.2800,24.4800,1.799989
FILLER_4_41,VPWR,li1,25.3000,24.4800,1.799991
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799993
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799992
FILLER_4_23,VPWR,li1,17.0200,24.4800,1.799992
FILLER_4_10,VPWR,li1,10.8100,24.4800,1.799991
FILLER_3_75,VPWR,li1,41.4000,19.0400,1.799992
FILLER_3_57,VPWR,li1,32.6600,19.0400,1.799993
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799993
FILLER_3_42,VPWR,li1,25.3000,19.0400,1.799994
FILLER_3_22,VPWR,li1,15.8700,19.0400,1.799994
FILLER_3_18,VPWR,li1,14.7200,19.0400,1.799994
FILLER_3_3,VPWR,li1,7.8200,19.0400,1.799994
FILLER_2_69,VPWR,li1,40.0200,19.0400,1.799992
FILLER_2_59,VPWR,li1,34.0400,19.0400,1.799992
FILLER_2_50,VPWR,li1,29.2100,19.0400,1.799993
FILLER_2_41,VPWR,li1,24.6100,19.0400,1.799994
FILLER_2_29,VPWR,li1,21.6200,19.0400,1.799995
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799994
FILLER_2_21,VPWR,li1,16.5600,19.0400,1.799994
FILLER_2_11,VPWR,li1,10.8100,19.0400,1.799994
FILLER_2_3,VPWR,li1,8.7400,19.0400,1.799994
FILLER_1_80,VPWR,li1,42.5500,13.6000,1.799983
FILLER_1_72,VPWR,li1,40.4800,13.6000,1.799983
FILLER_1_57,VPWR,li1,32.2000,13.6000,1.799984
FILLER_1_41,VPWR,li1,24.6100,13.6000,1.799988
FILLER_1_27,VPWR,li1,18.1700,13.6000,1.799989
FILLER_1_23,VPWR,li1,17.0200,13.6000,1.799988
FILLER_1_3,VPWR,li1,7.5900,13.6000,1.799988
FILLER_0_78,VPWR,li1,42.0900,13.6000,1.799983
FILLER_0_70,VPWR,li1,39.5600,13.6000,1.799983
FILLER_0_65,VPWR,li1,35.6500,13.6000,1.799983
