Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_74,VGND,li1,40.2500,38.0800,0.000013
FILLER_9_64,VGND,li1,35.6500,38.0800,0.000012
FILLER_9_49,VGND,li1,28.7500,38.0800,0.000010
FILLER_9_41,VGND,li1,26.2200,38.0800,0.000008
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000010
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000011
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000012
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000014
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000006
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000006
FILLER_8_47,VGND,li1,28.5200,32.6400,0.000005
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000006
FILLER_8_17,VGND,li1,15.1800,32.6400,0.000006
FILLER_8_9,VGND,li1,9.8900,32.6400,0.000007
FILLER_8_3,VGND,li1,8.2800,32.6400,0.000007
FILLER_7_65,VGND,li1,36.1100,32.6400,0.000006
FILLER_7_57,VGND,li1,33.5800,32.6400,0.000006
FILLER_7_50,VGND,li1,29.9000,32.6400,0.000005
FILLER_7_38,VGND,li1,25.7600,32.6400,0.000005
FILLER_7_27,VGND,li1,19.7800,32.6400,0.000006
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000006
FILLER_7_3,VGND,li1,8.7400,32.6400,0.000007
FILLER_6_60,VGND,li1,33.3500,27.2000,0.000014
FILLER_6_46,VGND,li1,27.1400,27.2000,0.000013
FILLER_6_29,VGND,li1,19.7800,27.2000,0.000017
FILLER_6_24,VGND,li1,17.4800,27.2000,0.000019
FILLER_6_17,VGND,li1,13.5700,27.2000,0.000022
FILLER_6_10,VGND,li1,10.3500,27.2000,0.000024
FILLER_5_71,VGND,li1,39.5600,27.2000,0.000016
FILLER_5_63,VGND,li1,34.7300,27.2000,0.000014
FILLER_5_52,VGND,li1,30.3600,27.2000,0.000013
FILLER_5_40,VGND,li1,26.6800,27.2000,0.000013
FILLER_5_27,VGND,li1,18.8600,27.2000,0.000017
FILLER_5_19,VGND,li1,14.9500,27.2000,0.000020
FILLER_5_11,VGND,li1,12.4200,27.2000,0.000022
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000013
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000010
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000008
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000008
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000009
FILLER_4_17,VGND,li1,15.1800,21.7600,0.000009
FILLER_4_9,VGND,li1,10.5800,21.7600,0.000010
FILLER_4_3,VGND,li1,7.5900,21.7600,0.000010
FILLER_3_32,VGND,li1,20.4700,21.7600,0.000008
FILLER_3_24,VGND,li1,18.4000,21.7600,0.000009
FILLER_3_3,VGND,li1,7.5900,21.7600,0.000010
FILLER_2_77,VGND,li1,41.1700,16.3200,0.000011
FILLER_2_73,VGND,li1,40.0200,16.3200,0.000011
FILLER_2_64,VGND,li1,35.6500,16.3200,0.000010
FILLER_2_52,VGND,li1,32.2000,16.3200,0.000009
FILLER_2_46,VGND,li1,26.9100,16.3200,0.000007
FILLER_2_42,VGND,li1,25.7600,16.3200,0.000007
FILLER_2_29,VGND,li1,19.3200,16.3200,0.000007
FILLER_2_16,VGND,li1,15.6400,16.3200,0.000007
FILLER_2_3,VGND,li1,8.7400,16.3200,0.000007
FILLER_1_41,VGND,li1,24.6100,16.3200,0.000006
