Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_74,VPWR,li1,40.2500,35.3600,1.799981
FILLER_9_64,VPWR,li1,35.6500,35.3600,1.799982
FILLER_9_49,VPWR,li1,28.7500,35.3600,1.799984
FILLER_9_41,VPWR,li1,26.2200,35.3600,1.799986
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799989
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799987
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799986
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799984
FILLER_8_77,VPWR,li1,41.8600,35.3600,1.799981
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799981
FILLER_8_47,VPWR,li1,28.5200,35.3600,1.799984
FILLER_8_25,VPWR,li1,17.7100,35.3600,1.799987
FILLER_8_17,VPWR,li1,15.1800,35.3600,1.799986
FILLER_8_9,VPWR,li1,9.8900,35.3600,1.799983
FILLER_8_3,VPWR,li1,8.2800,35.3600,1.799983
FILLER_7_65,VPWR,li1,36.1100,29.9200,1.799992
FILLER_7_57,VPWR,li1,33.5800,29.9200,1.799992
FILLER_7_50,VPWR,li1,29.9000,29.9200,1.799993
FILLER_7_38,VPWR,li1,25.7600,29.9200,1.799994
FILLER_7_27,VPWR,li1,19.7800,29.9200,1.799994
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799993
FILLER_7_3,VPWR,li1,8.7400,29.9200,1.799992
FILLER_6_60,VPWR,li1,33.3500,29.9200,1.799992
FILLER_6_46,VPWR,li1,27.1400,29.9200,1.799994
FILLER_6_29,VPWR,li1,19.7800,29.9200,1.799994
FILLER_6_24,VPWR,li1,17.4800,29.9200,1.799994
FILLER_6_17,VPWR,li1,13.5700,29.9200,1.799993
FILLER_6_10,VPWR,li1,10.3500,29.9200,1.799993
FILLER_5_71,VPWR,li1,39.5600,24.4800,1.799989
FILLER_5_63,VPWR,li1,34.7300,24.4800,1.799989
FILLER_5_52,VPWR,li1,30.3600,24.4800,1.799990
FILLER_5_40,VPWR,li1,26.6800,24.4800,1.799990
FILLER_5_27,VPWR,li1,18.8600,24.4800,1.799990
FILLER_5_19,VPWR,li1,14.9500,24.4800,1.799988
FILLER_5_11,VPWR,li1,12.4200,24.4800,1.799986
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799989
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799990
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799990
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799991
FILLER_4_25,VPWR,li1,17.7100,24.4800,1.799989
FILLER_4_17,VPWR,li1,15.1800,24.4800,1.799988
FILLER_4_9,VPWR,li1,10.5800,24.4800,1.799984
FILLER_4_3,VPWR,li1,7.5900,24.4800,1.799983
FILLER_3_32,VPWR,li1,20.4700,19.0400,1.799994
FILLER_3_24,VPWR,li1,18.4000,19.0400,1.799993
FILLER_3_3,VPWR,li1,7.5900,19.0400,1.799992
FILLER_2_77,VPWR,li1,41.1700,19.0400,1.799989
FILLER_2_73,VPWR,li1,40.0200,19.0400,1.799989
FILLER_2_64,VPWR,li1,35.6500,19.0400,1.799989
FILLER_2_52,VPWR,li1,32.2000,19.0400,1.799990
