Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799986
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799987
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799988
FILLER_9_41,VPWR,li1,24.8400,35.3600,1.799991
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799993
FILLER_9_26,VPWR,li1,17.9400,35.3600,1.799992
FILLER_9_18,VPWR,li1,15.6400,35.3600,1.799991
FILLER_9_7,VPWR,li1,8.9700,35.3600,1.799990
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799985
FILLER_8_74,VPWR,li1,40.9400,35.3600,1.799985
FILLER_8_53,VPWR,li1,31.7400,35.3600,1.799988
FILLER_8_45,VPWR,li1,26.4500,35.3600,1.799990
FILLER_8_37,VPWR,li1,24.3800,35.3600,1.799991
FILLER_8_29,VPWR,li1,19.0900,35.3600,1.799992
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799992
FILLER_8_23,VPWR,li1,17.0200,35.3600,1.799991
FILLER_8_3,VPWR,li1,7.5900,35.3600,1.799990
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799990
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799990
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799991
FILLER_7_49,VPWR,li1,29.4400,29.9200,1.799991
FILLER_7_38,VPWR,li1,24.8400,29.9200,1.799992
FILLER_7_20,VPWR,li1,15.4100,29.9200,1.799992
FILLER_6_79,VPWR,li1,42.3200,29.9200,1.799990
FILLER_6_71,VPWR,li1,40.0200,29.9200,1.799990
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799993
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799992
FILLER_6_15,VPWR,li1,13.8000,29.9200,1.799992
FILLER_6_3,VPWR,li1,7.3600,29.9200,1.799991
FILLER_5_69,VPWR,li1,37.4900,24.4800,1.799979
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799981
FILLER_5_44,VPWR,li1,28.5200,24.4800,1.799985
FILLER_5_21,VPWR,li1,16.1000,24.4800,1.799989
FILLER_5_3,VPWR,li1,7.3600,24.4800,1.799988
FILLER_4_79,VPWR,li1,42.3200,24.4800,1.799977
FILLER_4_71,VPWR,li1,40.0200,24.4800,1.799978
FILLER_4_57,VPWR,li1,31.9700,24.4800,1.799983
FILLER_4_45,VPWR,li1,28.9800,24.4800,1.799985
FILLER_4_29,VPWR,li1,19.0900,24.4800,1.799989
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799989
FILLER_4_21,VPWR,li1,16.5600,24.4800,1.799989
FILLER_4_9,VPWR,li1,12.4200,24.4800,1.799988
FILLER_3_78,VPWR,li1,42.0900,19.0400,1.799975
FILLER_3_70,VPWR,li1,39.5600,19.0400,1.799976
FILLER_3_57,VPWR,li1,33.1200,19.0400,1.799980
FILLER_3_53,VPWR,li1,30.5900,19.0400,1.799981
FILLER_3_26,VPWR,li1,20.2400,19.0400,1.799989
FILLER_3_22,VPWR,li1,15.8700,19.0400,1.799988
FILLER_3_16,VPWR,li1,14.2600,19.0400,1.799988
FILLER_3_10,VPWR,li1,10.3500,19.0400,1.799988
FILLER_2_75,VPWR,li1,40.4800,19.0400,1.799975
FILLER_2_66,VPWR,li1,36.3400,19.0400,1.799978
FILLER_2_60,VPWR,li1,33.8100,19.0400,1.799980
FILLER_2_52,VPWR,li1,31.2800,19.0400,1.799981
FILLER_2_40,VPWR,li1,26.6800,19.0400,1.799984
FILLER_2_29,VPWR,li1,20.2400,19.0400,1.799989
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799989
FILLER_2_23,VPWR,li1,16.3300,19.0400,1.799989
FILLER_2_14,VPWR,li1,12.4200,19.0400,1.799988
FILLER_1_74,VPWR,li1,40.2500,13.6000,1.799981
FILLER_1_68,VPWR,li1,37.0300,13.6000,1.799982
FILLER_1_57,VPWR,li1,33.1200,13.6000,1.799983
FILLER_1_49,VPWR,li1,28.9800,13.6000,1.799985
FILLER_1_37,VPWR,li1,25.3000,13.6000,1.799988
FILLER_1_13,VPWR,li1,11.9600,13.6000,1.799989
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799981
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799983
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799984
FILLER_0_49,VPWR,li1,29.4400,13.6000,1.799985
FILLER_0_44,VPWR,li1,25.9900,13.6000,1.799987
FILLER_0_36,VPWR,li1,23.9200,13.6000,1.799988
FILLER_0_21,VPWR,li1,15.8700,13.6000,1.799989
FILLER_0_13,VPWR,li1,12.1900,13.6000,1.799989
output16,VPWR,li1,29.4400,35.3600,1.799989
output15,VPWR,li1,41.8600,35.3600,1.799985
output14,VPWR,li1,41.8600,24.4800,1.799977
output13,VPWR,li1,41.8600,19.0400,1.799975
output12,VPWR,li1,41.8600,13.6000,1.799981
output11,VPWR,li1,27.1400,13.6000,1.799987
output10,VPWR,li1,11.0400,19.0400,1.799988
output9,VPWR,li1,17.4800,13.6000,1.799989
input8,VPWR,li1,12.8800,35.3600,1.799991
input7,VPWR,li1,11.7300,29.9200,1.799991
input6,VPWR,li1,9.2000,13.6000,1.799988
input5,VPWR,li1,8.9700,24.4800,1.799988
input4,VPWR,li1,9.2000,29.9200,1.799991
input3,VPWR,li1,7.8200,35.3600,1.799990
input2,VPWR,li1,7.5900,24.4800,1.799988
input1,VPWR,li1,9.2000,13.6000,1.799988
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799988
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799992
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799992
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799991
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799993
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799983
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799989
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799981
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799989
