Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_78,VGND,li1,42.0900,38.0800,0.000010
FILLER_9_70,VGND,li1,39.5600,38.0800,0.000010
FILLER_9_48,VGND,li1,27.8300,38.0800,0.000009
FILLER_9_44,VGND,li1,26.6800,38.0800,0.000009
FILLER_9_32,VGND,li1,23.0000,38.0800,0.000010
FILLER_9_23,VGND,li1,16.3300,38.0800,0.000015
FILLER_9_19,VGND,li1,15.1800,38.0800,0.000015
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000016
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000012
FILLER_8_69,VGND,li1,37.4900,32.6400,0.000012
FILLER_8_63,VGND,li1,35.8800,32.6400,0.000012
FILLER_8_56,VGND,li1,31.9700,32.6400,0.000012
FILLER_8_44,VGND,li1,27.6000,32.6400,0.000010
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000009
FILLER_8_16,VGND,li1,13.5700,32.6400,0.000009
FILLER_8_11,VGND,li1,11.0400,32.6400,0.000010
FILLER_8_3,VGND,li1,8.7400,32.6400,0.000010
FILLER_7_78,VGND,li1,42.0900,32.6400,0.000012
FILLER_7_66,VGND,li1,38.6400,32.6400,0.000012
FILLER_7_60,VGND,li1,33.3500,32.6400,0.000012
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000011
FILLER_7_45,VGND,li1,27.6000,32.6400,0.000010
FILLER_7_33,VGND,li1,20.9300,32.6400,0.000009
FILLER_7_27,VGND,li1,19.3200,32.6400,0.000009
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000009
FILLER_7_9,VGND,li1,10.1200,32.6400,0.000010
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000010
FILLER_6_75,VGND,li1,40.4800,27.2000,0.000008
FILLER_6_66,VGND,li1,36.3400,27.2000,0.000008
FILLER_6_55,VGND,li1,31.0500,27.2000,0.000007
FILLER_6_43,VGND,li1,28.0600,27.2000,0.000006
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000006
FILLER_6_9,VGND,li1,9.8900,27.2000,0.000007
FILLER_6_3,VGND,li1,8.2800,27.2000,0.000007
FILLER_5_65,VGND,li1,36.1100,27.2000,0.000008
FILLER_5_57,VGND,li1,32.6600,27.2000,0.000007
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000006
FILLER_5_39,VGND,li1,24.1500,27.2000,0.000005
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000006
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000007
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000007
FILLER_4_56,VGND,li1,33.1200,21.7600,0.000007
FILLER_4_44,VGND,li1,28.5200,21.7600,0.000006
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000006
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000006
FILLER_4_15,VGND,li1,13.3400,21.7600,0.000007
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000007
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000008
FILLER_3_70,VGND,li1,39.5600,21.7600,0.000008
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000006
FILLER_3_23,VGND,li1,17.0200,21.7600,0.000006
FILLER_3_11,VGND,li1,10.8100,21.7600,0.000007
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000007
FILLER_2_68,VGND,li1,37.4900,16.3200,0.000016
FILLER_2_53,VGND,li1,30.1300,16.3200,0.000013
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000011
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000010
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000011
FILLER_2_21,VGND,li1,16.5600,16.3200,0.000011
FILLER_2_9,VGND,li1,9.8900,16.3200,0.000012
FILLER_2_3,VGND,li1,8.2800,16.3200,0.000012
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000018
FILLER_1_64,VGND,li1,35.4200,16.3200,0.000015
FILLER_1_44,VGND,li1,26.2200,16.3200,0.000009
FILLER_1_26,VGND,li1,17.7100,16.3200,0.000011
FILLER_1_20,VGND,li1,16.1000,16.3200,0.000011
FILLER_1_11,VGND,li1,11.0400,16.3200,0.000012
FILLER_1_3,VGND,li1,8.7400,16.3200,0.000012
FILLER_0_80,VGND,li1,42.5500,10.8800,0.000012
FILLER_0_72,VGND,li1,40.4800,10.8800,0.000012
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000011
FILLER_0_34,VGND,li1,22.0800,10.8800,0.000010
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000011
FILLER_0_23,VGND,li1,16.3300,10.8800,0.000012
FILLER_0_15,VGND,li1,14.2600,10.8800,0.000012
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000012
max_cap17,VGND,li1,12.1900,32.6400,0.000010
output16,VGND,li1,30.3600,32.6400,0.000011
output15,VGND,li1,33.5800,32.6400,0.000012
output14,VGND,li1,17.4800,38.0800,0.000014
output13,VGND,li1,7.8200,38.0800,0.000018
output12,VGND,li1,17.4800,10.8800,0.000012
output11,VGND,li1,41.8600,16.3200,0.000018
output10,VGND,li1,30.3600,10.8800,0.000011
output9,VGND,li1,23.9200,10.8800,0.000009
input8,VGND,li1,41.8600,27.2000,0.000008
input7,VGND,li1,42.0900,27.2000,0.000008
input6,VGND,li1,36.3400,10.8800,0.000012
input5,VGND,li1,37.9500,10.8800,0.000012
input4,VGND,li1,40.4800,21.7600,0.000008
input3,VGND,li1,40.4800,16.3200,0.000018
input2,VGND,li1,30.5900,16.3200,0.000013
input1,VGND,li1,20.4700,10.8800,0.000010
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000009
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000014
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000009
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000011
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000006
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000007
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000006
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000007
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000011
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000013
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000011
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000011
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000018
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000010
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000010
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000012
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000010
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000012
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000012
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000008
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000008
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000008
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000008
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000018
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000018
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000012
_103_,VGND,li1,13.1100,16.3200,0.000012
_102_,VGND,li1,33.1200,38.0800,0.000009
_101_,VGND,li1,29.9000,32.6400,0.000011
_100_,VGND,li1,29.6700,38.0800,0.000009
_099_,VGND,li1,36.1100,38.0800,0.000010
_098_,VGND,li1,34.5000,27.2000,0.000007
_097_,VGND,li1,34.7300,32.6400,0.000012
_096_,VGND,li1,24.1500,32.6400,0.000008
_095_,VGND,li1,19.5500,38.0800,0.000013
_094_,VGND,li1,20.7000,32.6400,0.000009
_093_,VGND,li1,15.6400,32.6400,0.000009
_092_,VGND,li1,21.8500,32.6400,0.000009
_091_,VGND,li1,25.3000,32.6400,0.000009
_090_,VGND,li1,23.4600,32.6400,0.000008
_089_,VGND,li1,39.3300,32.6400,0.000012
_088_,VGND,li1,39.1000,27.2000,0.000008
_087_,VGND,li1,36.5700,21.7600,0.000008
_086_,VGND,li1,38.4100,27.2000,0.000008
_085_,VGND,li1,34.2700,27.2000,0.000007
_084_,VGND,li1,32.4300,32.6400,0.000012
_083_,VGND,li1,8.9700,32.6400,0.000010
_082_,VGND,li1,11.5000,27.2000,0.000007
_081_,VGND,li1,11.5000,32.6400,0.000010
_080_,VGND,li1,11.5000,16.3200,0.000012
_079_,VGND,li1,14.0300,16.3200,0.000012
_078_,VGND,li1,12.4200,21.7600,0.000007
_077_,VGND,li1,33.3500,16.3200,0.000015
_076_,VGND,li1,13.8000,27.2000,0.000007
_075_,VGND,li1,15.8700,27.2000,0.000006
_074_,VGND,li1,16.1000,21.7600,0.000006
