Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,41.4000,38.0800,0.000012
FILLER_9_63,VGND,li1,37.2600,38.0800,0.000012
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000012
FILLER_9_36,VGND,li1,22.7700,38.0800,0.000011
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000013
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000014
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000015
FILLER_8_79,VGND,li1,42.3200,32.6400,0.000012
FILLER_8_67,VGND,li1,39.1000,32.6400,0.000012
FILLER_8_55,VGND,li1,33.5800,32.6400,0.000011
FILLER_8_42,VGND,li1,26.2200,32.6400,0.000010
FILLER_8_36,VGND,li1,22.5400,32.6400,0.000012
FILLER_8_15,VGND,li1,13.8000,32.6400,0.000014
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000015
FILLER_7_80,VGND,li1,42.5500,32.6400,0.000012
FILLER_7_65,VGND,li1,35.8800,32.6400,0.000011
FILLER_7_57,VGND,li1,33.5800,32.6400,0.000011
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000011
FILLER_7_45,VGND,li1,27.6000,32.6400,0.000010
FILLER_7_33,VGND,li1,23.4600,32.6400,0.000012
FILLER_7_28,VGND,li1,18.8600,32.6400,0.000013
FILLER_7_20,VGND,li1,16.5600,32.6400,0.000014
FILLER_6_76,VGND,li1,40.9400,27.2000,0.000013
FILLER_6_58,VGND,li1,32.4300,27.2000,0.000011
FILLER_6_41,VGND,li1,24.6100,27.2000,0.000009
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000011
FILLER_6_15,VGND,li1,12.8800,27.2000,0.000015
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000016
FILLER_5_63,VGND,li1,34.7300,27.2000,0.000012
FILLER_5_57,VGND,li1,33.1200,27.2000,0.000011
FILLER_5_52,VGND,li1,30.3600,27.2000,0.000011
FILLER_5_41,VGND,li1,26.2200,27.2000,0.000009
FILLER_5_22,VGND,li1,15.8700,27.2000,0.000014
FILLER_5_18,VGND,li1,14.7200,27.2000,0.000014
FILLER_5_7,VGND,li1,9.6600,27.2000,0.000016
FILLER_4_76,VGND,li1,40.7100,21.7600,0.000015
FILLER_4_72,VGND,li1,39.5600,21.7600,0.000015
FILLER_4_60,VGND,li1,35.8800,21.7600,0.000014
FILLER_4_40,VGND,li1,25.7600,21.7600,0.000008
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000010
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000010
FILLER_4_19,VGND,li1,16.1000,21.7600,0.000010
FILLER_4_8,VGND,li1,9.6600,21.7600,0.000011
FILLER_4_3,VGND,li1,7.3600,21.7600,0.000011
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000016
FILLER_3_42,VGND,li1,25.3000,21.7600,0.000008
FILLER_3_34,VGND,li1,23.0000,21.7600,0.000009
FILLER_3_24,VGND,li1,17.2500,21.7600,0.000010
FILLER_3_16,VGND,li1,14.7200,21.7600,0.000011
FILLER_3_9,VGND,li1,9.8900,21.7600,0.000011
FILLER_3_3,VGND,li1,8.2800,21.7600,0.000011
FILLER_2_75,VGND,li1,40.4800,16.3200,0.000009
FILLER_2_65,VGND,li1,35.6500,16.3200,0.000009
FILLER_2_57,VGND,li1,33.5800,16.3200,0.000008
FILLER_2_45,VGND,li1,28.9800,16.3200,0.000007
FILLER_2_37,VGND,li1,22.7700,16.3200,0.000006
FILLER_2_33,VGND,li1,20.9300,16.3200,0.000006
FILLER_2_29,VGND,li1,19.7800,16.3200,0.000006
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000007
FILLER_2_11,VGND,li1,10.8100,16.3200,0.000007
FILLER_2_3,VGND,li1,8.7400,16.3200,0.000007
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000009
FILLER_1_60,VGND,li1,33.3500,16.3200,0.000008
FILLER_1_50,VGND,li1,28.7500,16.3200,0.000007
FILLER_1_25,VGND,li1,17.2500,16.3200,0.000007
FILLER_1_11,VGND,li1,11.2700,16.3200,0.000007
FILLER_1_3,VGND,li1,8.7400,16.3200,0.000007
FILLER_0_80,VGND,li1,42.5500,10.8800,0.000009
FILLER_0_63,VGND,li1,34.7300,10.8800,0.000008
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000007
FILLER_0_54,VGND,li1,30.8200,10.8800,0.000007
FILLER_0_41,VGND,li1,24.8400,10.8800,0.000006
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000007
FILLER_0_21,VGND,li1,15.8700,10.8800,0.000007
FILLER_0_15,VGND,li1,12.8800,10.8800,0.000007
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000007
output16,VGND,li1,24.3800,38.0800,0.000011
output15,VGND,li1,33.5800,38.0800,0.000012
output14,VGND,li1,23.9200,32.6400,0.000012
output13,VGND,li1,7.8200,38.0800,0.000017
output12,VGND,li1,7.8200,27.2000,0.000017
output11,VGND,li1,41.8600,21.7600,0.000016
output10,VGND,li1,26.2200,10.8800,0.000006
output9,VGND,li1,41.8600,16.3200,0.000009
input8,VGND,li1,41.8600,16.3200,0.000009
input7,VGND,li1,33.5800,10.8800,0.000008
input6,VGND,li1,32.4300,16.3200,0.000008
input5,VGND,li1,40.2500,10.8800,0.000009
input4,VGND,li1,42.0900,27.2000,0.000013
input3,VGND,li1,40.4800,27.2000,0.000013
input2,VGND,li1,22.0800,10.8800,0.000006
input1,VGND,li1,17.4800,10.8800,0.000007
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000012
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000013
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000013
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000011
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000013
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000011
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000010
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000012
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000007
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000008
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000007
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000007
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000017
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000015
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000015
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000017
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000017
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000011
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000011
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000007
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000007
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000007
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000012
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000012
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000012
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000013
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000013
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000016
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000016
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000009
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000009
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000009
_105_,VGND,li1,8.5100,21.7600,0.000011
_104_,VGND,li1,13.3400,21.7600,0.000011
_103_,VGND,li1,26.6800,38.0800,0.000010
_102_,VGND,li1,28.9800,27.2000,0.000011
_101_,VGND,li1,29.6700,38.0800,0.000011
_100_,VGND,li1,29.2100,32.6400,0.000010
_099_,VGND,li1,29.6700,32.6400,0.000011
_098_,VGND,li1,25.9900,27.2000,0.000009
_097_,VGND,li1,20.4700,32.6400,0.000013
_096_,VGND,li1,12.1900,27.2000,0.000015
_095_,VGND,li1,20.4700,38.0800,0.000012
_094_,VGND,li1,16.7900,32.6400,0.000014
_093_,VGND,li1,19.7800,27.2000,0.000012
_092_,VGND,li1,20.0100,32.6400,0.000013
_091_,VGND,li1,39.3300,32.6400,0.000012
_090_,VGND,li1,38.1800,27.2000,0.000012
_089_,VGND,li1,29.2100,21.7600,0.000011
_088_,VGND,li1,31.9700,21.7600,0.000012
_087_,VGND,li1,34.2700,27.2000,0.000012
_086_,VGND,li1,36.5700,27.2000,0.000012
_085_,VGND,li1,13.8000,32.6400,0.000014
_084_,VGND,li1,8.5100,32.6400,0.000015
_083_,VGND,li1,11.2700,21.7600,0.000011
_082_,VGND,li1,11.5000,21.7600,0.000011
_081_,VGND,li1,36.5700,21.7600,0.000014
_080_,VGND,li1,11.5000,32.6400,0.000014
