Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,41.4000,35.3600,1.799978
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799978
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799979
FILLER_9_36,VPWR,li1,22.7700,35.3600,1.799982
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799983
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799982
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799980
FILLER_8_79,VPWR,li1,42.3200,35.3600,1.799978
FILLER_8_67,VPWR,li1,39.1000,35.3600,1.799978
FILLER_8_55,VPWR,li1,33.5800,35.3600,1.799978
FILLER_8_42,VPWR,li1,26.2200,35.3600,1.799981
FILLER_8_36,VPWR,li1,22.5400,35.3600,1.799982
FILLER_8_15,VPWR,li1,13.8000,35.3600,1.799981
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799980
FILLER_7_80,VPWR,li1,42.5500,29.9200,1.799990
FILLER_7_65,VPWR,li1,35.8800,29.9200,1.799990
FILLER_7_57,VPWR,li1,33.5800,29.9200,1.799991
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.799991
FILLER_7_45,VPWR,li1,27.6000,29.9200,1.799992
FILLER_7_33,VPWR,li1,23.4600,29.9200,1.799993
FILLER_7_28,VPWR,li1,18.8600,29.9200,1.799993
FILLER_7_20,VPWR,li1,16.5600,29.9200,1.799992
FILLER_6_76,VPWR,li1,40.9400,29.9200,1.799990
FILLER_6_58,VPWR,li1,32.4300,29.9200,1.799991
FILLER_6_41,VPWR,li1,24.6100,29.9200,1.799993
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799994
FILLER_6_15,VPWR,li1,12.8800,29.9200,1.799991
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.799991
FILLER_5_63,VPWR,li1,34.7300,24.4800,1.799983
FILLER_5_57,VPWR,li1,33.1200,24.4800,1.799984
FILLER_5_52,VPWR,li1,30.3600,24.4800,1.799985
FILLER_5_41,VPWR,li1,26.2200,24.4800,1.799987
FILLER_5_22,VPWR,li1,15.8700,24.4800,1.799985
FILLER_5_18,VPWR,li1,14.7200,24.4800,1.799984
FILLER_5_7,VPWR,li1,9.6600,24.4800,1.799982
FILLER_4_76,VPWR,li1,40.7100,24.4800,1.799981
FILLER_4_72,VPWR,li1,39.5600,24.4800,1.799981
FILLER_4_60,VPWR,li1,35.8800,24.4800,1.799983
FILLER_4_40,VPWR,li1,25.7600,24.4800,1.799987
FILLER_4_29,VPWR,li1,19.5500,24.4800,1.799986
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799986
FILLER_4_19,VPWR,li1,16.1000,24.4800,1.799985
FILLER_4_8,VPWR,li1,9.6600,24.4800,1.799982
