net,length_um
net8,45.58µm
net3,44.74µm
net6,39.72µm
net2,38.24µm
net4,32.22µm
_016_,32.1µm
_005_,30.72µm
net5,29.56µm
_015_,24.12µm
net1,23.92µm
_009_,23.42µm
_004_,23.4µm
_036_,22.67µm
_012_,21.84µm
net7,19.62µm
_030_,19.42µm
_019_,18.78µm
_042_,18.4µm
_001_,18.28µm
_017_,15µm
P[1],14.92µm
B[1],14.28µm
P[0],13.96µm
_020_,13.52µm
_007_,13.5µm
_022_,11.8µm
_018_,11.62µm
A[1],11.6µm
_034_,11.6µm
_003_,11.48µm
B[0],11.44µm
_039_,11.3µm
A[3],11.17µm
_014_,10.78µm
_025_,10.74µm
_044_,10.54µm
P[5],10.32µm
P[6],10.32µm
_010_,9.04µm
_023_,8.9µm
_021_,8.86µm
_038_,8.78µm
A[0],8.72µm
_013_,8.52µm
_011_,8.24µm
B[2],7.93µm
_026_,7.18µm
_029_,7.06µm
_032_,6.76µm
P[7],5.75µm
_006_,5.68µm
_043_,5.36µm
B[3],5.29µm
_028_,4.9µm
P[3],4.85µm
net16,4.8µm
_035_,4.76µm
P[2],4.73µm
A[2],4.61µm
P[4],4.39µm
_046_,4.34µm
_040_,4µm
_027_,3.9µm
net14,3.9µm
_000_,3.88µm
_024_,3.88µm
_002_,3.44µm
_037_,3.075µm
_045_,3.06µm
_033_,2.96µm
net9,2.18µm
net15,2.18µm
_041_,2.16µm
net13,2.06µm
net12,1.7µm
net11,1.14µm
_008_,0.92µm
_031_,0.92µm
net10,0.46µm
