net,length_um
net13,205.5µm
net6,163.32µm
net9,154.38µm
net37,152.095µm
net5,151.42µm
net38,145.16µm
net8,144.22µm
net14,139.67µm
net11,136.76µm
net60,131.86µm
net10,126.76µm
net12,121.58µm
net36,120.98µm
net44,113.245µm
net16,106.92µm
net41,105.725µm
net69,99.1µm
net55,98.22µm
net58,90.2µm
net40,81.12µm
_011_,77.52µm
_059_,75.4µm
_081_,74.13µm
net7,73.16µm
net2,72.92µm
net35,72.88µm
_157_,72.64µm
_074_,65.8µm
net42,64.74µm
_159_,64.02µm
_035_,60.92µm
net4,59.94µm
_125_,59.83µm
_001_,59.625µm
_096_,58.9µm
net45,54.9µm
_003_,53.9µm
net39,53.3µm
_209_,51.36µm
_024_,51.32µm
_186_,49.7µm
_041_,48.82µm
net30,48.78µm
_034_,47.15µm
net1,46.9µm
net15,46.475µm
net61,46.46µm
_203_,45.98µm
_078_,45.94µm
net46,43.34µm
_226_,43.04µm
net27,41.86µm
_228_,41.34µm
_046_,41µm
_040_,40.9µm
net29,40.46µm
net28,39.16µm
_084_,38.76µm
net3,38.7µm
_138_,37.82µm
_249_,37.36µm
_242_,37.12µm
_036_,36.02µm
_014_,35.94µm
_060_,34.9µm
_269_,33.8µm
_029_,33.07µm
_137_,32.88µm
_193_,32.4µm
_151_,31.66µm
net31,31.275µm
_017_,29.4µm
_045_,29.24µm
net23,28.8µm
_154_,28.79µm
_267_,28.78µm
_246_,28.2µm
net20,28.14µm
_173_,27.64µm
_198_,27.48µm
net53,27.075µm
_211_,26.36µm
_238_,26.08µm
_218_,25.725µm
_235_,25.72µm
_144_,25.04µm
_266_,24.88µm
_086_,24.62µm
net32,23.78µm
_192_,23.72µm
_118_,23.58µm
net21,23.34µm
_132_,23.2µm
_056_,22.92µm
_141_,22.8µm
_225_,22.74µm
_259_,22.16µm
_103_,22.13µm
_182_,22.06µm
_007_,22.055µm
_112_,22.03µm
_108_,22µm
_237_,21.92µm
_134_,21.84µm
_142_,21.74µm
_133_,21.68µm
_015_,21.6µm
net18,21.58µm
net22,21.5µm
_038_,21.415µm
_098_,21.38µm
_083_,21.16µm
_248_,20.16µm
_028_,19.92µm
_062_,19.78µm
net19,19.64µm
_223_,19.38µm
_000_,19.3µm
_022_,19.12µm
_180_,18.56µm
_102_,18.44µm
_222_,18.34µm
_061_,18.3µm
_165_,18.02µm
_214_,17.96µm
_256_,17.67µm
_206_,17.66µm
_188_,17.6µm
_163_,17.12µm
_006_,16.82µm
_068_,16.8µm
_087_,16.74µm
_052_,16.54µm
_032_,16.48µm
_201_,16.4µm
_160_,16.36µm
_189_,16.2µm
_092_,15.485µm
_095_,15.38µm
net65,15.36µm
_270_,15.32µm
_217_,15.22µm
_135_,15.14µm
_251_,15.08µm
_156_,14.98µm
_257_,14.92µm
_099_,14.74µm
_106_,14.58µm
_273_,14.57µm
_113_,14.33µm
_076_,14.28µm
_093_,14.14µm
_253_,14.1µm
_080_,14.03µm
_116_,14.02µm
_044_,13.84µm
_049_,13.72µm
_140_,13.72µm
_221_,13.68µm
B[7],13.64µm
_026_,13.64µm
_048_,13.61µm
_115_,13.6µm
_063_,13.52µm
_055_,13.5µm
_124_,13.42µm
_164_,13.34µm
_169_,13.28µm
_212_,13.26µm
_148_,13.14µm
_039_,13.11µm
_021_,12.96µm
_075_,12.94µm
B[6],12.92µm
_255_,12.92µm
_054_,12.88µm
_012_,12.84µm
_030_,12.84µm
_250_,12.71µm
net64,12.64µm
_196_,12.52µm
_263_,12.52µm
_097_,12.5µm
_004_,12.46µm
_265_,12.3µm
_072_,12.28µm
_170_,12.02µm
P[15],11.92µm
_129_,11.84µm
_079_,11.72µm
_260_,11.7µm
_153_,11.68µm
_245_,11.46µm
_053_,11.42µm
_162_,11.42µm
_064_,11.34µm
_018_,11.22µm
_089_,11.2µm
_042_,11.16µm
_027_,11µm
A[6],10.88µm
A[7],10.88µm
_175_,10.86µm
_150_,10.82µm
_094_,10.66µm
_200_,10.66µm
_033_,10.62µm
net56,10.6µm
_262_,10.54µm
_258_,10.5µm
_261_,10.48µm
_254_,10.42µm
_264_,10.36µm
_013_,10.32µm
_227_,10.22µm
_136_,10.18µm
net33,10.16µm
_105_,10.08µm
_272_,10µm
_177_,9.96µm
_179_,9.96µm
_271_,9.86µm
_205_,9.84µm
_130_,9.76µm
_127_,9.7µm
_146_,9.58µm
_152_,9.54µm
_181_,9.54µm
net59,9.54µm
_090_,9.48µm
_243_,9.48µm
_111_,9.46µm
_008_,9.36µm
_120_,9.32µm
_066_,9.28µm
_071_,9.02µm
_239_,9.02µm
P[5],8.96µm
P[7],8.96µm
_077_,8.88µm
A[4],8.84µm
A[5],8.84µm
_155_,8.82µm
_143_,8.75µm
_016_,8.68µm
_010_,8.66µm
_069_,8.64µm
_122_,8.62µm
_023_,8.56µm
_126_,8.56µm
_131_,8.56µm
_145_,8.56µm
P[6],8.5µm
_110_,8.5µm
_166_,8.48µm
net43,8.2µm
_107_,8.12µm
_161_,8.08µm
_204_,8µm
_183_,7.98µm
_232_,7.88µm
_234_,7.82µm
_082_,7.68µm
net47,7.6µm
_224_,7.56µm
_268_,7.56µm
_149_,7.52µm
net26,7.52µm
_002_,7.36µm
_139_,7.28µm
_121_,7.22µm
_190_,7.18µm
_109_,7.12µm
_147_,7µm
_005_,6.94µm
_236_,6.94µm
_020_,6.78µm
_117_,6.78µm
net25,6.78µm
_031_,6.76µm
_070_,6.76µm
_219_,6.64µm
_128_,6.6µm
_184_,6.58µm
B[1],6.43µm
P[9],6.43µm
_051_,6.38µm
_176_,6.32µm
_208_,6.26µm
_233_,6.26µm
_171_,6.2µm
_114_,6.185µm
_119_,6.16µm
B[3],6.09µm
_213_,6.06µm
net54,6.02µm
_199_,5.98µm
A[3],5.97µm
B[0],5.97µm
_050_,5.86µm
_174_,5.84µm
_088_,5.8µm
P[3],5.75µm
_085_,5.68µm
_100_,5.68µm
A[2],5.63µm
P[13],5.53µm
net17,5.52µm
A[0],5.41µm
P[0],5.41µm
P[11],5.41µm
_091_,5.4µm
_058_,5.34µm
_216_,5.34µm
A[1],5.29µm
_194_,5.28µm
P[8],5.19µm
_009_,5.14µm
P[1],5.07µm
P[2],5.07µm
B[4],4.95µm
B[5],4.95µm
_241_,4.82µm
net70,4.82µm
net49,4.8µm
P[10],4.73µm
P[12],4.73µm
_207_,4.7µm
_172_,4.68µm
B[2],4.61µm
_101_,4.61µm
_067_,4.48µm
_197_,4.46µm
P[14],4.39µm
P[4],4.39µm
net24,4.36µm
_104_,4.34µm
_240_,4.22µm
_047_,4.02µm
net52,4.02µm
_247_,4µm
net62,4µm
_187_,3.92µm
net63,3.91µm
_168_,3.9µm
_195_,3.9µm
_158_,3.76µm
_229_,3.76µm
_215_,3.54µm
net34,3.54µm
net51,3.54µm
_065_,3.42µm
_167_,3.3µm
_230_,3.295µm
_037_,3.08µm
_043_,3.08µm
_202_,3.08µm
_231_,2.96µm
net48,2.84µm
net50,2.84µm
