Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,40.4800,38.0800,0.000020
FILLER_9_67,VGND,li1,38.1800,38.0800,0.000019
FILLER_9_48,VGND,li1,29.4400,38.0800,0.000013
FILLER_9_36,VGND,li1,24.8400,38.0800,0.000009
FILLER_9_15,VGND,li1,13.8000,38.0800,0.000009
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000009
FILLER_8_73,VGND,li1,40.9400,32.6400,0.000012
FILLER_8_48,VGND,li1,28.5200,32.6400,0.000009
FILLER_8_29,VGND,li1,20.2400,32.6400,0.000009
FILLER_8_20,VGND,li1,15.6400,32.6400,0.000011
FILLER_8_3,VGND,li1,8.2800,32.6400,0.000012
FILLER_7_75,VGND,li1,41.4000,32.6400,0.000012
FILLER_7_65,VGND,li1,36.1100,32.6400,0.000011
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000010
FILLER_7_52,VGND,li1,30.3600,32.6400,0.000010
FILLER_7_40,VGND,li1,26.6800,32.6400,0.000008
FILLER_7_28,VGND,li1,21.1600,32.6400,0.000009
FILLER_7_16,VGND,li1,15.6400,32.6400,0.000011
FILLER_6_80,VGND,li1,42.5500,27.2000,0.000026
FILLER_6_74,VGND,li1,40.9400,27.2000,0.000026
FILLER_6_64,VGND,li1,35.6500,27.2000,0.000023
FILLER_6_52,VGND,li1,32.2000,27.2000,0.000019
FILLER_6_37,VGND,li1,23.2300,27.2000,0.000015
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000016
FILLER_5_76,VGND,li1,40.7100,27.2000,0.000026
FILLER_5_65,VGND,li1,36.3400,27.2000,0.000023
FILLER_5_57,VGND,li1,31.9700,27.2000,0.000019
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000019
FILLER_5_45,VGND,li1,28.0600,27.2000,0.000017
FILLER_5_37,VGND,li1,22.7700,27.2000,0.000015
FILLER_5_28,VGND,li1,18.6300,27.2000,0.000016
FILLER_5_24,VGND,li1,16.7900,27.2000,0.000016
FILLER_5_18,VGND,li1,15.1800,27.2000,0.000016
FILLER_4_76,VGND,li1,40.7100,21.7600,0.000017
FILLER_4_70,VGND,li1,39.1000,21.7600,0.000016
FILLER_4_65,VGND,li1,35.8800,21.7600,0.000015
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000013
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000010
FILLER_4_34,VGND,li1,21.6200,21.7600,0.000010
FILLER_4_29,VGND,li1,19.3200,21.7600,0.000010
FILLER_4_17,VGND,li1,14.2600,21.7600,0.000012
FILLER_4_7,VGND,li1,9.2000,21.7600,0.000012
FILLER_3_79,VGND,li1,42.3200,21.7600,0.000017
FILLER_3_65,VGND,li1,36.3400,21.7600,0.000015
FILLER_3_57,VGND,li1,31.9700,21.7600,0.000013
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000012
FILLER_3_38,VGND,li1,23.2300,21.7600,0.000010
FILLER_3_27,VGND,li1,19.7800,21.7600,0.000010
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000011
FILLER_3_6,VGND,li1,8.9700,21.7600,0.000012
FILLER_2_69,VGND,li1,40.0200,16.3200,0.000006
FILLER_2_57,VGND,li1,34.5000,16.3200,0.000005
FILLER_2_45,VGND,li1,28.9800,16.3200,0.000005
FILLER_2_37,VGND,li1,23.2300,16.3200,0.000005
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000006
FILLER_2_19,VGND,li1,14.4900,16.3200,0.000007
FILLER_2_13,VGND,li1,11.9600,16.3200,0.000007
FILLER_1_80,VGND,li1,42.5500,16.3200,0.000006
FILLER_1_68,VGND,li1,39.5600,16.3200,0.000006
FILLER_1_50,VGND,li1,28.7500,16.3200,0.000005
FILLER_1_46,VGND,li1,27.6000,16.3200,0.000005
FILLER_1_26,VGND,li1,17.7100,16.3200,0.000007
FILLER_1_20,VGND,li1,16.1000,16.3200,0.000007
FILLER_1_13,VGND,li1,12.4200,16.3200,0.000007
FILLER_0_80,VGND,li1,42.5500,10.8800,0.000009
FILLER_0_74,VGND,li1,40.9400,10.8800,0.000009
FILLER_0_62,VGND,li1,36.8000,10.8800,0.000009
FILLER_0_49,VGND,li1,28.7500,10.8800,0.000008
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000009
FILLER_0_18,VGND,li1,14.0300,10.8800,0.000010
FILLER_0_11,VGND,li1,10.8100,10.8800,0.000010
FILLER_0_3,VGND,li1,7.5900,10.8800,0.000010
output16,VGND,li1,17.4800,32.6400,0.000010
output15,VGND,li1,35.4200,38.0800,0.000018
output14,VGND,li1,41.8600,38.0800,0.000020
output13,VGND,li1,41.8600,27.2000,0.000026
output12,VGND,li1,41.8600,21.7600,0.000017
output11,VGND,li1,30.3600,10.8800,0.000009
output10,VGND,li1,15.1800,10.8800,0.000010
output9,VGND,li1,25.3000,10.8800,0.000007
input8,VGND,li1,9.2000,27.2000,0.000017
input7,VGND,li1,9.2000,27.2000,0.000017
input6,VGND,li1,9.2000,16.3200,0.000008
input5,VGND,li1,7.5900,21.7600,0.000013
input4,VGND,li1,9.2000,32.6400,0.000012
input3,VGND,li1,7.8200,21.7600,0.000013
input2,VGND,li1,22.0800,10.8800,0.000008
input1,VGND,li1,27.1400,10.8800,0.000008
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000015
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000009
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000010
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000010
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000016
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000019
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000010
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000012
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000006
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000005
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000009
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000010
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000009
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000012
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000012
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000017
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000017
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000013
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000013
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000008
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000008
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000010
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000020
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000012
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000012
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000026
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000026
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000017
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000017
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000006
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000006
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000009
_107_,VGND,li1,40.7100,21.7600,0.000017
_106_,VGND,li1,38.4100,21.7600,0.000016
_105_,VGND,li1,16.7900,38.0800,0.000009
_104_,VGND,li1,33.1200,38.0800,0.000015
_103_,VGND,li1,34.9600,32.6400,0.000011
_102_,VGND,li1,31.2800,32.6400,0.000010
_101_,VGND,li1,20.4700,38.0800,0.000009
_100_,VGND,li1,13.8000,32.6400,0.000011
_099_,VGND,li1,20.0100,27.2000,0.000015
_098_,VGND,li1,38.4100,32.6400,0.000012
_097_,VGND,li1,37.9500,27.2000,0.000025
_096_,VGND,li1,37.9500,32.6400,0.000012
_095_,VGND,li1,22.5400,32.6400,0.000009
_094_,VGND,li1,26.6800,32.6400,0.000008
_093_,VGND,li1,24.6100,32.6400,0.000008
_092_,VGND,li1,11.2700,32.6400,0.000012
_091_,VGND,li1,12.1900,32.6400,0.000012
_090_,VGND,li1,10.8100,21.7600,0.000012
_089_,VGND,li1,12.6500,21.7600,0.000012
_088_,VGND,li1,13.1100,27.2000,0.000017
_087_,VGND,li1,16.3300,27.2000,0.000016
_086_,VGND,li1,12.6500,27.2000,0.000017
_085_,VGND,li1,38.8700,27.2000,0.000025
_084_,VGND,li1,37.0300,21.7600,0.000015
_083_,VGND,li1,33.8100,21.7600,0.000014
_082_,VGND,li1,33.8100,27.2000,0.000022
_081_,VGND,li1,34.2700,32.6400,0.000011
_080_,VGND,li1,33.1200,16.3200,0.000005
_079_,VGND,li1,32.8900,10.8800,0.000009
_078_,VGND,li1,35.6500,16.3200,0.000006
_077_,VGND,li1,20.7000,16.3200,0.000006
_076_,VGND,li1,16.1000,16.3200,0.000007
_075_,VGND,li1,30.1300,16.3200,0.000005
_074_,VGND,li1,28.5200,21.7600,0.000010
_073_,VGND,li1,30.1300,21.7600,0.000012
_072_,VGND,li1,25.5300,21.7600,0.000009
_071_,VGND,li1,16.7900,21.7600,0.000011
_070_,VGND,li1,27.8300,27.2000,0.000017
_069_,VGND,li1,25.0700,27.2000,0.000014
_068_,VGND,li1,24.6100,27.2000,0.000014
_067_,VGND,li1,20.7000,27.2000,0.000015
_066_,VGND,li1,11.0400,21.7600,0.000012
_065_,VGND,li1,8.5100,16.3200,0.000008
_064_,VGND,li1,13.3400,16.3200,0.000007
_063_,VGND,li1,10.8100,16.3200,0.000007
_062_,VGND,li1,23.2300,21.7600,0.000010
_061_,VGND,li1,17.7100,27.2000,0.000016
_060_,VGND,li1,25.0700,16.3200,0.000005
_059_,VGND,li1,25.0700,16.3200,0.000005
_058_,VGND,li1,22.3100,21.7600,0.000010
_057_,VGND,li1,21.8500,16.3200,0.000006
_056_,VGND,li1,12.4200,10.8800,0.000010
_055_,VGND,li1,19.0900,16.3200,0.000006
_054_,VGND,li1,9.4300,10.8800,0.000010
_053_,VGND,li1,17.2500,10.8800,0.000010
_052_,VGND,li1,21.8500,27.2000,0.000015
_051_,VGND,li1,20.4700,21.7600,0.000010
_050_,VGND,li1,14.0300,16.3200,0.000007
