net,length_um
net2,45µm
net7,43.44µm
net8,39.98µm
net6,36.46µm
net1,36.02µm
_031_,30.28µm
_024_,22.48µm
net4,22.46µm
_043_,22.38µm
_000_,21.6µm
net5,21.56µm
_011_,20.76µm
_033_,20.48µm
_008_,17.46µm
_010_,17.46µm
_034_,17.22µm
_047_,16.6µm
_014_,16.58µm
net3,16.56µm
_009_,14.6µm
_005_,14.1µm
_007_,14.1µm
_015_,13.22µm
_001_,13.14µm
_021_,12.92µm
_019_,12.52µm
P[7],12.16µm
_030_,11.78µm
_035_,11.72µm
B[3],11.34µm
_049_,11.26µm
_044_,10.6µm
A[0],10.44µm
P[1],10.34µm
_046_,9.84µm
_037_,9.34µm
A[1],9.3µm
_002_,9µm
P[2],8.96µm
_027_,8.68µm
P[0],8.5µm
_028_,8.2µm
_048_,8.11µm
_029_,8.02µm
_041_,7.93µm
_039_,7.92µm
_016_,7.4µm
B[2],7.03µm
_036_,6.92µm
B[0],5.97µm
_017_,5.94µm
_045_,5.94µm
_040_,5.86µm
P[6],5.75µm
_012_,5.74µm
A[2],5.63µm
B[1],5.41µm
_042_,5.34µm
_004_,5.26µm
net15,5.26µm
_032_,5.22µm
P[4],4.85µm
P[3],4.73µm
A[3],4.61µm
_038_,4.46µm
P[5],4.39µm
net11,3.9µm
_026_,3.88µm
_025_,3.66µm
net9,3.44µm
_003_,3.42µm
_006_,3.42µm
net10,2.96µm
_018_,2.76µm
net12,2.62µm
net14,2.52µm
net13,2.5µm
_013_,2.3µm
_022_,2.16µm
_050_,1.7µm
_023_,1.6µm
_020_,0.46µm
net16,0.46µm
