net,length_um
net6,55.825µm
net7,50.52µm
net8,46.51µm
net5,42.99µm
net4,42.31µm
net2,41.48µm
net3,34.4µm
_03_,32.26µm
net1,27.14µm
_11_,16.16µm
_35_,15.72µm
_05_,15.52µm
_31_,15.2µm
_10_,15.16µm
_15_,13.84µm
_38_,13.54µm
_24_,13µm
_37_,12.46µm
A[0],12.24µm
_34_,12.14µm
P[0],11.94µm
P[2],11.24µm
_20_,10.84µm
_12_,10.62µm
_22_,10.42µm
P[6],10.32µm
_04_,9.88µm
_18_,9.82µm
_23_,9.54µm
A[3],9.51µm
P[1],8.96µm
_27_,8.9µm
A[1],8.84µm
_26_,8.8µm
B[0],8.72µm
_07_,8.59µm
net9,8.58µm
P[4],8.07µm
_13_,7.9µm
_42_,7.68µm
_06_,7.58µm
_41_,7.32µm
_29_,6.62µm
net10,6.52µm
_28_,6.16µm
A[2],6.09µm
B[3],6.09µm
_36_,5.94µm
_19_,5.86µm
P[3],5.75µm
P[5],5.75µm
_32_,5.6µm
B[1],5.41µm
B[2],5.41µm
_39_,5.26µm
net17,5.14µm
P[7],5.07µm
_08_,4.94µm
_33_,4.22µm
_16_,4.06µm
_09_,3.985µm
net14,3.76µm
_01_,3.64µm
net12,3.52µm
_14_,3.44µm
net11,3.44µm
_17_,3.3µm
_21_,3.08µm
_43_,3.08µm
_25_,2.98µm
_00_,2.62µm
_02_,2.5µm
net16,2.18µm
net15,1.72µm
_30_,1.7µm
_40_,0.92µm
net13,0.46µm
