Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799973
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799976
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799979
FILLER_9_42,VPWR,li1,27.6000,35.3600,1.799982
FILLER_9_36,VPWR,li1,22.5400,35.3600,1.799985
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799987
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799987
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799987
FILLER_8_75,VPWR,li1,41.4000,35.3600,1.799971
FILLER_8_64,VPWR,li1,35.8800,35.3600,1.799976
FILLER_8_52,VPWR,li1,32.2000,35.3600,1.799979
FILLER_8_40,VPWR,li1,26.6800,35.3600,1.799982
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799987
FILLER_8_11,VPWR,li1,11.2700,35.3600,1.799987
FILLER_8_3,VPWR,li1,8.7400,35.3600,1.799987
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799974
FILLER_7_57,VPWR,li1,33.1200,29.9200,1.799978
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799979
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799979
FILLER_7_42,VPWR,li1,25.3000,29.9200,1.799983
FILLER_7_29,VPWR,li1,20.7000,29.9200,1.799987
FILLER_7_17,VPWR,li1,16.1000,29.9200,1.799986
FILLER_6_79,VPWR,li1,42.3200,29.9200,1.799974
FILLER_6_69,VPWR,li1,37.4900,29.9200,1.799975
FILLER_6_61,VPWR,li1,35.4200,29.9200,1.799976
FILLER_6_48,VPWR,li1,28.9800,29.9200,1.799981
FILLER_6_35,VPWR,li1,23.0000,29.9200,1.799985
FILLER_6_29,VPWR,li1,19.0900,29.9200,1.799987
FILLER_6_20,VPWR,li1,16.5600,29.9200,1.799986
FILLER_6_3,VPWR,li1,7.1300,29.9200,1.799983
FILLER_5_78,VPWR,li1,42.0900,24.4800,1.799983
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799986
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799987
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.799988
FILLER_5_38,VPWR,li1,23.6900,24.4800,1.799991
FILLER_5_34,VPWR,li1,21.3900,24.4800,1.799992
FILLER_5_28,VPWR,li1,19.7800,24.4800,1.799991
FILLER_5_20,VPWR,li1,14.9500,24.4800,1.799991
FILLER_5_12,VPWR,li1,12.8800,24.4800,1.799990
FILLER_5_7,VPWR,li1,9.2000,24.4800,1.799990
FILLER_4_71,VPWR,li1,39.5600,24.4800,1.799983
FILLER_4_65,VPWR,li1,36.1100,24.4800,1.799986
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799987
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799989
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799992
FILLER_4_25,VPWR,li1,17.7100,24.4800,1.799991
FILLER_4_13,VPWR,li1,11.7300,24.4800,1.799990
FILLER_4_7,VPWR,li1,10.1200,24.4800,1.799990
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799993
FILLER_3_50,VPWR,li1,28.9800,19.0400,1.799993
FILLER_3_43,VPWR,li1,26.2200,19.0400,1.799994
FILLER_3_38,VPWR,li1,23.2300,19.0400,1.799995
FILLER_3_21,VPWR,li1,17.0200,19.0400,1.799995
FILLER_3_3,VPWR,li1,7.8200,19.0400,1.799993
FILLER_2_69,VPWR,li1,40.0200,19.0400,1.799992
FILLER_2_57,VPWR,li1,34.5000,19.0400,1.799992
FILLER_2_45,VPWR,li1,28.9800,19.0400,1.799993
FILLER_2_33,VPWR,li1,23.4600,19.0400,1.799995
FILLER_2_29,VPWR,li1,19.0900,19.0400,1.799995
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799995
FILLER_2_17,VPWR,li1,15.1800,19.0400,1.799994
FILLER_2_7,VPWR,li1,9.4300,19.0400,1.799993
FILLER_1_69,VPWR,li1,40.0200,13.6000,1.799987
FILLER_1_57,VPWR,li1,32.2000,13.6000,1.799987
FILLER_1_52,VPWR,li1,30.3600,13.6000,1.799988
FILLER_1_46,VPWR,li1,27.1400,13.6000,1.799988
FILLER_1_39,VPWR,li1,23.9200,13.6000,1.799990
FILLER_1_21,VPWR,li1,15.4100,13.6000,1.799988
FILLER_1_7,VPWR,li1,10.5800,13.6000,1.799987
FILLER_0_77,VPWR,li1,41.8600,13.6000,1.799987
FILLER_0_65,VPWR,li1,38.1800,13.6000,1.799987
FILLER_0_48,VPWR,li1,27.8300,13.6000,1.799988
FILLER_0_35,VPWR,li1,22.3100,13.6000,1.799990
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799989
FILLER_0_23,VPWR,li1,16.3300,13.6000,1.799988
FILLER_0_3,VPWR,li1,8.2800,13.6000,1.799987
max_cap17,VPWR,li1,37.4900,24.4800,1.799984
output16,VPWR,li1,7.8200,29.9200,1.799983
output15,VPWR,li1,23.9200,35.3600,1.799985
output14,VPWR,li1,41.8600,35.3600,1.799971
output13,VPWR,li1,38.6400,29.9200,1.799975
output12,VPWR,li1,41.8600,24.4800,1.799983
output11,VPWR,li1,34.5000,13.6000,1.799987
output10,VPWR,li1,17.4800,13.6000,1.799988
output9,VPWR,li1,32.6600,13.6000,1.799987
input8,VPWR,li1,7.8200,24.4800,1.799990
input7,VPWR,li1,7.8200,19.0400,1.799993
input6,VPWR,li1,7.8200,13.6000,1.799987
input5,VPWR,li1,25.3000,13.6000,1.799990
input4,VPWR,li1,9.4300,29.9200,1.799983
input3,VPWR,li1,7.8200,24.4800,1.799990
input2,VPWR,li1,20.7000,13.6000,1.799989
input1,VPWR,li1,14.4900,13.6000,1.799987
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799979
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799987
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799987
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799979
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799987
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799987
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799991
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799993
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799995
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799987
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799987
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799988
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799987
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799987
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799983
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799983
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799990
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.799990
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.799993
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.799993
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799987
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799987
PHY_EDGE_ROW_9_Right_9,VPWR,li1,43.4700,35.3600,1.799971
PHY_EDGE_ROW_8_Right_8,VPWR,li1,43.4700,35.3600,1.799971
PHY_EDGE_ROW_7_Right_7,VPWR,li1,43.4700,29.9200,1.799974
PHY_EDGE_ROW_6_Right_6,VPWR,li1,43.4700,29.9200,1.799974
PHY_EDGE_ROW_5_Right_5,VPWR,li1,43.4700,24.4800,1.799983
PHY_EDGE_ROW_4_Right_4,VPWR,li1,43.4700,24.4800,1.799983
PHY_EDGE_ROW_3_Right_3,VPWR,li1,43.4700,19.0400,1.799992
PHY_EDGE_ROW_2_Right_2,VPWR,li1,43.4700,19.0400,1.799992
PHY_EDGE_ROW_1_Right_1,VPWR,li1,43.4700,13.6000,1.799987
PHY_EDGE_ROW_0_Right_0,VPWR,li1,43.4700,13.6000,1.799987
_95_,VPWR,li1,40.7100,29.9200,1.799974
_94_,VPWR,li1,38.4100,24.4800,1.799984
_93_,VPWR,li1,11.7300,29.9200,1.799984
_92_,VPWR,li1,20.4700,35.3600,1.799987
_91_,VPWR,li1,20.7000,35.3600,1.799987
_90_,VPWR,li1,14.4900,35.3600,1.799987
_89_,VPWR,li1,12.6500,35.3600,1.799987
_88_,VPWR,li1,16.7900,35.3600,1.799987
_87_,VPWR,li1,13.3400,24.4800,1.799990
_86_,VPWR,li1,20.4700,29.9200,1.799987
_85_,VPWR,li1,23.2300,35.3600,1.799985
_84_,VPWR,li1,38.4100,35.3600,1.799973
_83_,VPWR,li1,35.8800,29.9200,1.799976
_82_,VPWR,li1,27.3700,29.9200,1.799981
_81_,VPWR,li1,23.6900,29.9200,1.799985
_80_,VPWR,li1,25.9900,29.9200,1.799983
_79_,VPWR,li1,16.7900,24.4800,1.799991
_78_,VPWR,li1,15.8700,24.4800,1.799991
_77_,VPWR,li1,14.2600,19.0400,1.799994
_76_,VPWR,li1,12.1900,19.0400,1.799994
_75_,VPWR,li1,10.8100,29.9200,1.799984
_74_,VPWR,li1,13.5700,29.9200,1.799985
_73_,VPWR,li1,8.2800,29.9200,1.799983
_72_,VPWR,li1,40.4800,24.4800,1.799983
_71_,VPWR,li1,31.9700,29.9200,1.799978
_70_,VPWR,li1,25.9900,24.4800,1.799989
_69_,VPWR,li1,28.2900,24.4800,1.799988
_68_,VPWR,li1,33.8100,19.0400,1.799992
_67_,VPWR,li1,27.8300,19.0400,1.799994
_66_,VPWR,li1,20.9300,19.0400,1.799995
_65_,VPWR,li1,20.0100,19.0400,1.799995
_64_,VPWR,li1,11.7300,19.0400,1.799994
_63_,VPWR,li1,22.3100,24.4800,1.799992
_62_,VPWR,li1,42.0900,19.0400,1.799992
_61_,VPWR,li1,37.4900,19.0400,1.799992
_60_,VPWR,li1,40.2500,19.0400,1.799992
_59_,VPWR,li1,34.2700,13.6000,1.799987
_58_,VPWR,li1,36.5700,13.6000,1.799987
_57_,VPWR,li1,22.3100,13.6000,1.799990
_56_,VPWR,li1,17.9400,13.6000,1.799988
_55_,VPWR,li1,16.3300,13.6000,1.799988
_54_,VPWR,li1,20.0100,13.6000,1.799989
_53_,VPWR,li1,28.5200,13.6000,1.799988
_52_,VPWR,li1,24.3800,19.0400,1.799995
_51_,VPWR,li1,30.1300,19.0400,1.799993
_50_,VPWR,li1,9.8900,19.0400,1.799993
_49_,VPWR,li1,29.6700,13.6000,1.799988
_48_,VPWR,li1,13.1100,13.6000,1.799987
_47_,VPWR,li1,11.5000,13.6000,1.799987
_46_,VPWR,li1,14.7200,13.6000,1.799987
_45_,VPWR,li1,25.5300,13.6000,1.799990
_44_,VPWR,li1,10.3500,24.4800,1.799990
