net,length_um
net2,50.22µm
net4,38.12µm
net3,37.535µm
net8,34.08µm
_005_,31.96µm
net6,26.7µm
_007_,24.78µm
net5,24.64µm
net7,23.16µm
net1,22.86µm
_015_,21.76µm
_031_,20.52µm
_040_,20.2µm
_017_,18.03µm
_026_,14.94µm
_036_,14.6µm
_027_,13.4µm
_049_,12.7µm
_018_,11.88µm
_019_,11.38µm
_002_,10.96µm
_045_,10.84µm
_042_,10.62µm
_011_,10.34µm
_001_,10.18µm
B[3],10.17µm
P[7],9.86µm
_024_,9.75µm
_022_,9.02µm
P[1],8.96µm
P[2],8.96µm
_047_,8.86µm
_023_,8.82µm
_044_,8.76µm
_056_,8.66µm
_032_,8.46µm
_034_,8.46µm
A[3],8.15µm
_052_,8.12µm
_028_,8µm
_013_,7.78µm
_033_,7.76µm
_008_,7.56µm
A[1],7.45µm
_053_,7.12µm
_035_,7.08µm
_041_,6.86µm
_048_,6.86µm
_051_,6.6µm
B[2],6.31µm
_012_,6.2µm
_054_,6.06µm
B[0],5.97µm
P[4],5.75µm
P[6],5.75µm
net14,5.72µm
_043_,5.485µm
_000_,5.38µm
A[0],5.29µm
B[1],5.29µm
_010_,5.28µm
_038_,5.28µm
_039_,5.28µm
_055_,5.28µm
_020_,5.14µm
A[2],5.07µm
_057_,4.92µm
net9,4.8µm
P[3],4.73µm
_006_,4.46µm
P[5],4.39µm
_025_,4.36µm
_016_,4.1µm
_030_,4.02µm
net16,3.93µm
_021_,3.88µm
_046_,3.22µm
net11,3.22µm
_050_,3.08µm
_009_,2.96µm
net12,2.84µm
_029_,2.62µm
_003_,2.5µm
net10,2.18µm
_014_,2.04µm
net15,2.04µm
net13,1.6µm
_037_,1.26µm
_004_,0.46µm
