Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,40.4800,38.0800,0.000011
FILLER_9_63,VGND,li1,37.2600,38.0800,0.000010
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000009
FILLER_9_50,VGND,li1,29.9000,38.0800,0.000008
FILLER_9_38,VGND,li1,25.7600,38.0800,0.000006
FILLER_9_29,VGND,li1,20.2400,38.0800,0.000006
FILLER_9_22,VGND,li1,17.0200,38.0800,0.000007
FILLER_9_10,VGND,li1,12.8800,38.0800,0.000007
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000006
FILLER_8_70,VGND,li1,39.5600,32.6400,0.000006
FILLER_8_48,VGND,li1,28.0600,32.6400,0.000005
FILLER_8_29,VGND,li1,19.5500,32.6400,0.000006
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000006
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000008
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000006
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000006
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000006
FILLER_7_50,VGND,li1,28.7500,32.6400,0.000005
FILLER_7_46,VGND,li1,27.6000,32.6400,0.000005
FILLER_7_37,VGND,li1,23.4600,32.6400,0.000005
FILLER_7_19,VGND,li1,16.1000,32.6400,0.000007
FILLER_7_14,VGND,li1,12.4200,32.6400,0.000007
FILLER_7_10,VGND,li1,10.3500,32.6400,0.000008
FILLER_7_3,VGND,li1,7.1300,32.6400,0.000008
FILLER_6_76,VGND,li1,40.7100,27.2000,0.000025
FILLER_6_58,VGND,li1,32.8900,27.2000,0.000020
FILLER_6_44,VGND,li1,26.6800,27.2000,0.000013
FILLER_6_29,VGND,li1,19.0900,27.2000,0.000016
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000016
FILLER_5_69,VGND,li1,40.0200,27.2000,0.000024
FILLER_5_63,VGND,li1,34.7300,27.2000,0.000021
FILLER_5_57,VGND,li1,33.1200,27.2000,0.000020
FILLER_5_45,VGND,li1,26.4500,27.2000,0.000013
FILLER_5_41,VGND,li1,25.3000,27.2000,0.000013
FILLER_5_23,VGND,li1,16.3300,27.2000,0.000017
FILLER_5_19,VGND,li1,15.1800,27.2000,0.000017
FILLER_4_76,VGND,li1,40.7100,21.7600,0.000021
FILLER_4_70,VGND,li1,39.1000,21.7600,0.000019
FILLER_4_62,VGND,li1,34.5000,21.7600,0.000017
FILLER_4_53,VGND,li1,30.5900,21.7600,0.000014
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000013
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000013
FILLER_4_20,VGND,li1,16.5600,21.7600,0.000014
FILLER_4_13,VGND,li1,12.4200,21.7600,0.000015
FILLER_3_79,VGND,li1,42.3200,21.7600,0.000021
FILLER_3_73,VGND,li1,39.3300,21.7600,0.000019
FILLER_3_63,VGND,li1,34.7300,21.7600,0.000017
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000016
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000014
FILLER_3_49,VGND,li1,29.4400,21.7600,0.000014
FILLER_3_40,VGND,li1,25.3000,21.7600,0.000011
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000015
FILLER_2_71,VGND,li1,39.5600,16.3200,0.000019
FILLER_2_62,VGND,li1,34.9600,16.3200,0.000016
FILLER_2_50,VGND,li1,31.2800,16.3200,0.000014
FILLER_2_41,VGND,li1,24.8400,16.3200,0.000010
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000011
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000012
FILLER_2_18,VGND,li1,15.1800,16.3200,0.000012
FILLER_1_74,VGND,li1,40.4800,16.3200,0.000019
FILLER_1_62,VGND,li1,36.8000,16.3200,0.000017
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000014
FILLER_1_50,VGND,li1,28.7500,16.3200,0.000013
FILLER_1_39,VGND,li1,24.1500,16.3200,0.000011
FILLER_1_19,VGND,li1,14.4900,16.3200,0.000012
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000012
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000008
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000008
FILLER_0_50,VGND,li1,28.9800,10.8800,0.000007
FILLER_0_41,VGND,li1,25.7600,10.8800,0.000006
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000007
FILLER_0_20,VGND,li1,14.9500,10.8800,0.000009
FILLER_0_16,VGND,li1,13.8000,10.8800,0.000009
FILLER_0_7,VGND,li1,8.9700,10.8800,0.000009
mult4_SarsaNStepsRuido_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_16,VGND,li1,42.0900,16.3200,0.000020
output15,VGND,li1,33.5800,38.0800,0.000009
output14,VGND,li1,41.8600,38.0800,0.000011
output13,VGND,li1,41.8600,27.2000,0.000025
output12,VGND,li1,41.8600,21.7600,0.000021
output11,VGND,li1,41.8600,16.3200,0.000020
output10,VGND,li1,30.3600,10.8800,0.000008
output9,VGND,li1,17.4800,10.8800,0.000008
input8,VGND,li1,7.8200,32.6400,0.000008
input7,VGND,li1,7.5900,27.2000,0.000018
input6,VGND,li1,9.2000,16.3200,0.000012
input5,VGND,li1,9.2000,21.7600,0.000015
input4,VGND,li1,9.4300,38.0800,0.000008
input3,VGND,li1,7.8200,38.0800,0.000008
input2,VGND,li1,7.8200,10.8800,0.000009
input1,VGND,li1,9.2000,27.2000,0.000018
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000008
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000007
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000006
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000006
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000016
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000018
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000014
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000016
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000011
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000014
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000008
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000008
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000008
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000008
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000008
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000018
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000018
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000015
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000015
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000009
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000011
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000006
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000006
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000025
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000025
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000021
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000021
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000020
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000020
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000008
_122_,VGND,li1,37.0300,16.3200,0.000017
_121_,VGND,li1,32.8900,16.3200,0.000015
_120_,VGND,li1,32.8900,32.6400,0.000006
_119_,VGND,li1,36.1100,32.6400,0.000006
_118_,VGND,li1,35.4200,27.2000,0.000021
_117_,VGND,li1,29.9000,32.6400,0.000006
_116_,VGND,li1,25.5300,32.6400,0.000005
_115_,VGND,li1,23.9200,32.6400,0.000005
_114_,VGND,li1,19.0900,32.6400,0.000006
_113_,VGND,li1,38.8700,27.2000,0.000024
_112_,VGND,li1,36.3400,21.7600,0.000018
_111_,VGND,li1,36.1100,27.2000,0.000021
_110_,VGND,li1,29.9000,32.6400,0.000006
_109_,VGND,li1,31.0500,27.2000,0.000018
_108_,VGND,li1,26.4500,32.6400,0.000005
_107_,VGND,li1,21.3900,32.6400,0.000005
_106_,VGND,li1,22.3100,38.0800,0.000006
_105_,VGND,li1,21.3900,32.6400,0.000005
_104_,VGND,li1,20.7000,27.2000,0.000015
_103_,VGND,li1,23.2300,27.2000,0.000014
_102_,VGND,li1,16.3300,32.6400,0.000007
_101_,VGND,li1,13.1100,32.6400,0.000007
_100_,VGND,li1,10.3500,32.6400,0.000008
_099_,VGND,li1,40.7100,21.7600,0.000021
_098_,VGND,li1,35.8800,21.7600,0.000018
_097_,VGND,li1,37.9500,21.7600,0.000019
_096_,VGND,li1,29.9000,16.3200,0.000013
_095_,VGND,li1,26.9100,16.3200,0.000012
