Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,40.4800,35.3600,1.799982
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799983
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799984
FILLER_9_50,VPWR,li1,29.9000,35.3600,1.799985
FILLER_9_38,VPWR,li1,25.7600,35.3600,1.799988
FILLER_9_29,VPWR,li1,20.2400,35.3600,1.799991
FILLER_9_22,VPWR,li1,17.0200,35.3600,1.799990
FILLER_9_10,VPWR,li1,12.8800,35.3600,1.799990
FILLER_8_78,VPWR,li1,42.0900,35.3600,1.799981
FILLER_8_70,VPWR,li1,39.5600,35.3600,1.799982
FILLER_8_48,VPWR,li1,28.0600,35.3600,1.799986
FILLER_8_29,VPWR,li1,19.5500,35.3600,1.799991
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799991
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799989
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799976
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799980
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799982
FILLER_7_50,VPWR,li1,28.7500,29.9200,1.799984
FILLER_7_46,VPWR,li1,27.6000,29.9200,1.799984
FILLER_7_37,VPWR,li1,23.4600,29.9200,1.799987
FILLER_7_19,VPWR,li1,16.1000,29.9200,1.799988
FILLER_7_14,VPWR,li1,12.4200,29.9200,1.799987
FILLER_7_10,VPWR,li1,10.3500,29.9200,1.799987
FILLER_7_3,VPWR,li1,7.1300,29.9200,1.799987
FILLER_6_76,VPWR,li1,40.7100,29.9200,1.799976
FILLER_6_58,VPWR,li1,32.8900,29.9200,1.799980
FILLER_6_44,VPWR,li1,26.6800,29.9200,1.799986
FILLER_6_29,VPWR,li1,19.0900,29.9200,1.799988
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799988
FILLER_5_69,VPWR,li1,40.0200,24.4800,1.799981
FILLER_5_63,VPWR,li1,34.7300,24.4800,1.799983
FILLER_5_57,VPWR,li1,33.1200,24.4800,1.799984
FILLER_5_45,VPWR,li1,26.4500,24.4800,1.799989
FILLER_5_41,VPWR,li1,25.3000,24.4800,1.799989
FILLER_5_23,VPWR,li1,16.3300,24.4800,1.799990
FILLER_5_19,VPWR,li1,15.1800,24.4800,1.799990
FILLER_4_76,VPWR,li1,40.7100,24.4800,1.799981
FILLER_4_70,VPWR,li1,39.1000,24.4800,1.799981
FILLER_4_62,VPWR,li1,34.5000,24.4800,1.799983
FILLER_4_53,VPWR,li1,30.5900,24.4800,1.799985
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799987
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799991
FILLER_4_20,VPWR,li1,16.5600,24.4800,1.799990
FILLER_4_13,VPWR,li1,12.4200,24.4800,1.799989
FILLER_3_79,VPWR,li1,42.3200,19.0400,1.799973
FILLER_3_73,VPWR,li1,39.3300,19.0400,1.799974
FILLER_3_63,VPWR,li1,34.7300,19.0400,1.799977
FILLER_3_57,VPWR,li1,32.2000,19.0400,1.799979
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799980
FILLER_3_49,VPWR,li1,29.4400,19.0400,1.799980
FILLER_3_40,VPWR,li1,25.3000,19.0400,1.799984
FILLER_3_3,VPWR,li1,7.8200,19.0400,1.799985
FILLER_2_71,VPWR,li1,39.5600,19.0400,1.799974
FILLER_2_62,VPWR,li1,34.9600,19.0400,1.799977
FILLER_2_50,VPWR,li1,31.2800,19.0400,1.799979
FILLER_2_41,VPWR,li1,24.8400,19.0400,1.799985
FILLER_2_29,VPWR,li1,21.6200,19.0400,1.799988
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799986
FILLER_2_18,VPWR,li1,15.1800,19.0400,1.799986
FILLER_1_74,VPWR,li1,40.4800,13.6000,1.799986
FILLER_1_62,VPWR,li1,36.8000,13.6000,1.799986
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799986
FILLER_1_50,VPWR,li1,28.7500,13.6000,1.799987
FILLER_1_39,VPWR,li1,24.1500,13.6000,1.799989
FILLER_1_19,VPWR,li1,14.4900,13.6000,1.799989
FILLER_1_3,VPWR,li1,7.3600,13.6000,1.799987
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799986
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799986
FILLER_0_50,VPWR,li1,28.9800,13.6000,1.799987
FILLER_0_41,VPWR,li1,25.7600,13.6000,1.799989
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799991
FILLER_0_20,VPWR,li1,14.9500,13.6000,1.799989
FILLER_0_16,VPWR,li1,13.8000,13.6000,1.799988
FILLER_0_7,VPWR,li1,8.9700,13.6000,1.799988
mult4_SarsaNStepsRuido_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_16,VPWR,li1,42.0900,13.6000,1.799986
output15,VPWR,li1,33.5800,35.3600,1.799984
output14,VPWR,li1,41.8600,35.3600,1.799981
output13,VPWR,li1,41.8600,29.9200,1.799976
output12,VPWR,li1,41.8600,24.4800,1.799979
output11,VPWR,li1,41.8600,19.0400,1.799973
output10,VPWR,li1,30.3600,13.6000,1.799986
output9,VPWR,li1,17.4800,13.6000,1.799989
input8,VPWR,li1,7.8200,35.3600,1.799989
input7,VPWR,li1,7.5900,29.9200,1.799987
input6,VPWR,li1,9.2000,19.0400,1.799985
input5,VPWR,li1,9.2000,24.4800,1.799989
input4,VPWR,li1,9.4300,35.3600,1.799989
