net,length_um
net5,52.98µm
net4,40.18µm
net6,40.04µm
net8,35.48µm
_026_,34.78µm
net2,31.01µm
net7,28.46µm
net3,27.84µm
net1,25.2µm
_025_,23.58µm
_010_,23.06µm
_014_,18.46µm
_016_,17.9µm
_043_,15.7µm
_017_,15.62µm
_023_,15.34µm
_024_,14.98µm
_046_,14.855µm
_002_,12.74µm
_004_,12.56µm
_039_,12.4µm
_003_,11.7µm
_022_,11.48µm
_031_,11.02µm
_036_,10.74µm
P[6],10.32µm
_028_,10.24µm
A[2],9.65µm
_005_,9.08µm
_008_,9.06µm
P[1],8.96µm
_006_,8.92µm
B[0],8.84µm
B[1],8.72µm
_035_,8.72µm
_011_,8.66µm
_032_,8.52µm
_021_,8.14µm
_012_,8.1µm
_000_,7.66µm
_015_,7.62µm
_013_,7.46µm
A[1],7.45µm
net10,7.12µm
net16,6.79µm
_030_,6.26µm
_037_,6.2µm
_047_,6.06µm
net13,6.06µm
P[5],5.75µm
P[7],5.75µm
_045_,5.7µm
B[2],5.29µm
_033_,5.22µm
net15,5.22µm
B[3],5.07µm
P[3],5.07µm
_027_,5.02µm
_042_,4.9µm
_044_,4.88µm
_034_,4.82µm
A[0],4.61µm
A[3],4.61µm
P[2],4.39µm
P[4],4.39µm
_040_,4.24µm
_007_,3.88µm
_019_,3.1µm
_020_,3.08µm
_048_,2.96µm
_038_,2.5µm
net14,2.18µm
_001_,2.04µm
_041_,1.94µm
_009_,1.84µm
_018_,1.72µm
net9,1.72µm
net12,1.6µm
_029_,1.38µm
net11,1.26µm
