Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_73,VPWR,li1,39.3300,35.3600,1.799961
FILLER_9_69,VPWR,li1,38.1800,35.3600,1.799962
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799964
FILLER_9_41,VPWR,li1,25.3000,35.3600,1.799973
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799980
FILLER_9_26,VPWR,li1,17.9400,35.3600,1.799978
FILLER_9_14,VPWR,li1,14.7200,35.3600,1.799977
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799959
FILLER_8_72,VPWR,li1,40.4800,35.3600,1.799961
FILLER_8_62,VPWR,li1,34.7300,35.3600,1.799964
FILLER_8_54,VPWR,li1,32.2000,35.3600,1.799966
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799978
FILLER_8_15,VPWR,li1,13.8000,35.3600,1.799977
FILLER_8_11,VPWR,li1,10.8100,35.3600,1.799976
FILLER_7_69,VPWR,li1,39.1000,29.9200,1.799974
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799977
FILLER_7_52,VPWR,li1,30.3600,29.9200,1.799979
FILLER_7_40,VPWR,li1,26.6800,29.9200,1.799982
FILLER_7_35,VPWR,li1,22.0800,29.9200,1.799987
FILLER_7_25,VPWR,li1,18.4000,29.9200,1.799987
FILLER_7_7,VPWR,li1,9.2000,29.9200,1.799985
FILLER_6_73,VPWR,li1,40.9400,29.9200,1.799972
FILLER_6_50,VPWR,li1,29.9000,29.9200,1.799979
FILLER_6_36,VPWR,li1,22.5400,29.9200,1.799985
FILLER_6_23,VPWR,li1,16.5600,29.9200,1.799986
FILLER_6_3,VPWR,li1,7.3600,29.9200,1.799985
FILLER_5_77,VPWR,li1,41.8600,24.4800,1.799989
FILLER_5_69,VPWR,li1,37.4900,24.4800,1.799990
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799990
FILLER_5_46,VPWR,li1,27.3700,24.4800,1.799992
FILLER_5_38,VPWR,li1,24.8400,24.4800,1.799993
FILLER_5_29,VPWR,li1,19.7800,24.4800,1.799994
FILLER_5_13,VPWR,li1,13.3400,24.4800,1.799993
FILLER_4_80,VPWR,li1,42.5500,24.4800,1.799989
FILLER_4_74,VPWR,li1,40.9400,24.4800,1.799989
FILLER_4_59,VPWR,li1,35.4200,24.4800,1.799990
FILLER_4_48,VPWR,li1,28.9800,24.4800,1.799991
FILLER_4_39,VPWR,li1,23.9200,24.4800,1.799993
FILLER_4_33,VPWR,li1,20.9300,24.4800,1.799994
FILLER_4_29,VPWR,li1,19.7800,24.4800,1.799994
FILLER_4_25,VPWR,li1,17.7100,24.4800,1.799993
FILLER_4_17,VPWR,li1,15.1800,24.4800,1.799993
FILLER_4_13,VPWR,li1,11.7300,24.4800,1.799993
FILLER_3_77,VPWR,li1,41.8600,19.0400,1.799990
FILLER_3_57,VPWR,li1,31.9700,19.0400,1.799991
FILLER_3_54,VPWR,li1,30.8200,19.0400,1.799991
FILLER_3_46,VPWR,li1,28.5200,19.0400,1.799992
FILLER_3_27,VPWR,li1,18.4000,19.0400,1.799993
FILLER_3_10,VPWR,li1,10.3500,19.0400,1.799991
FILLER_2_80,VPWR,li1,42.5500,19.0400,1.799990
