Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_73,VGND,li1,39.3300,38.0800,0.000020
FILLER_9_69,VGND,li1,38.1800,38.0800,0.000020
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000018
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000015
FILLER_9_49,VGND,li1,29.4400,38.0800,0.000015
FILLER_9_41,VGND,li1,25.3000,38.0800,0.000012
FILLER_9_33,VGND,li1,20.9300,38.0800,0.000013
FILLER_9_29,VGND,li1,19.7800,38.0800,0.000013
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000013
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000014
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000015
FILLER_8_73,VGND,li1,40.9400,32.6400,0.000027
FILLER_8_59,VGND,li1,32.8900,32.6400,0.000022
FILLER_8_51,VGND,li1,29.2100,32.6400,0.000017
FILLER_8_45,VGND,li1,27.6000,32.6400,0.000017
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000014
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000014
FILLER_8_14,VGND,li1,14.7200,32.6400,0.000014
FILLER_8_3,VGND,li1,8.2800,32.6400,0.000014
FILLER_7_75,VGND,li1,40.4800,32.6400,0.000027
FILLER_7_67,VGND,li1,36.5700,32.6400,0.000024
FILLER_7_63,VGND,li1,35.4200,32.6400,0.000024
FILLER_7_50,VGND,li1,29.9000,32.6400,0.000019
FILLER_7_38,VGND,li1,25.7600,32.6400,0.000015
FILLER_7_26,VGND,li1,18.1700,32.6400,0.000014
FILLER_7_18,VGND,li1,15.6400,32.6400,0.000014
FILLER_7_9,VGND,li1,9.8900,32.6400,0.000014
FILLER_7_3,VGND,li1,8.2800,32.6400,0.000014
FILLER_6_78,VGND,li1,42.0900,27.2000,0.000020
FILLER_6_70,VGND,li1,39.5600,27.2000,0.000020
FILLER_6_63,VGND,li1,34.7300,27.2000,0.000017
FILLER_6_54,VGND,li1,31.2800,27.2000,0.000016
FILLER_6_41,VGND,li1,25.7600,27.2000,0.000012
FILLER_6_22,VGND,li1,17.0200,27.2000,0.000016
FILLER_5_76,VGND,li1,40.7100,27.2000,0.000020
FILLER_5_63,VGND,li1,34.7300,27.2000,0.000017
FILLER_5_57,VGND,li1,33.1200,27.2000,0.000017
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000016
FILLER_5_41,VGND,li1,27.1400,27.2000,0.000014
FILLER_5_14,VGND,li1,14.7200,27.2000,0.000017
FILLER_4_73,VGND,li1,39.3300,21.7600,0.000007
FILLER_4_65,VGND,li1,37.2600,21.7600,0.000007
FILLER_4_45,VGND,li1,26.4500,21.7600,0.000006
FILLER_4_41,VGND,li1,25.3000,21.7600,0.000005
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000006
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000007
FILLER_4_19,VGND,li1,16.1000,21.7600,0.000007
FILLER_3_77,VGND,li1,41.8600,21.7600,0.000007
FILLER_3_69,VGND,li1,37.4900,21.7600,0.000007
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000006
FILLER_3_52,VGND,li1,30.3600,21.7600,0.000006
FILLER_3_40,VGND,li1,24.3800,21.7600,0.000005
FILLER_3_23,VGND,li1,16.3300,21.7600,0.000007
FILLER_3_17,VGND,li1,14.7200,21.7600,0.000007
FILLER_3_11,VGND,li1,10.8100,21.7600,0.000008
FILLER_3_3,VGND,li1,7.3600,21.7600,0.000009
FILLER_2_56,VGND,li1,31.9700,16.3200,0.000009
FILLER_2_47,VGND,li1,28.5200,16.3200,0.000008
FILLER_2_35,VGND,li1,24.3800,16.3200,0.000008
FILLER_2_29,VGND,li1,19.3200,16.3200,0.000010
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000010
FILLER_2_19,VGND,li1,16.1000,16.3200,0.000010
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000010
FILLER_1_64,VGND,li1,35.4200,16.3200,0.000009
FILLER_1_48,VGND,li1,28.2900,16.3200,0.000008
FILLER_1_34,VGND,li1,21.3900,16.3200,0.000009
FILLER_1_21,VGND,li1,16.5600,16.3200,0.000010
FILLER_0_75,VGND,li1,41.4000,10.8800,0.000003
FILLER_0_63,VGND,li1,37.2600,10.8800,0.000003
FILLER_0_54,VGND,li1,30.8200,10.8800,0.000003
FILLER_0_42,VGND,li1,27.6000,10.8800,0.000003
FILLER_0_34,VGND,li1,22.0800,10.8800,0.000003
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000004
FILLER_0_22,VGND,li1,16.1000,10.8800,0.000004
FILLER_0_3,VGND,li1,8.7400,10.8800,0.000004
mult4_SarsaNStepsRuido_e9_SarsaNStepsRuido_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_16,VGND,li1,40.2500,38.0800,0.000021
output15,VGND,li1,41.8600,21.7600,0.000007
output14,VGND,li1,41.8600,27.2000,0.000020
output13,VGND,li1,41.8600,32.6400,0.000027
output12,VGND,li1,41.8600,38.0800,0.000021
output11,VGND,li1,27.1400,38.0800,0.000014
output10,VGND,li1,7.8200,38.0800,0.000016
output9,VGND,li1,7.8200,27.2000,0.000019
input8,VGND,li1,40.4800,16.3200,0.000010
input7,VGND,li1,23.9200,10.8800,0.000003
input6,VGND,li1,9.2000,16.3200,0.000012
input5,VGND,li1,7.8200,16.3200,0.000012
input4,VGND,li1,17.4800,10.8800,0.000004
input3,VGND,li1,11.5000,10.8800,0.000004
input2,VGND,li1,7.8200,21.7600,0.000009
input1,VGND,li1,9.2000,27.2000,0.000018
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000016
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000013
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000014
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000019
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000016
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000016
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000007
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000006
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000010
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000009
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000003
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000004
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000016
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000014
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000014
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000019
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000019
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000009
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000009
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000012
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000004
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000021
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000027
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000027
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000020
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000020
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000007
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000007
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000010
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000010
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000003
_112_,VGND,li1,22.7700,38.0800,0.000012
_111_,VGND,li1,39.3300,21.7600,0.000007
_110_,VGND,li1,36.5700,16.3200,0.000010
_109_,VGND,li1,40.2500,21.7600,0.000007
_108_,VGND,li1,38.8700,27.2000,0.000020
_107_,VGND,li1,36.1100,27.2000,0.000018
_106_,VGND,li1,36.5700,16.3200,0.000010
_105_,VGND,li1,23.0000,16.3200,0.000008
_104_,VGND,li1,33.8100,16.3200,0.000009
_103_,VGND,li1,38.4100,32.6400,0.000025
_102_,VGND,li1,33.3500,27.2000,0.000017
_101_,VGND,li1,33.1200,32.6400,0.000022
_100_,VGND,li1,36.3400,27.2000,0.000018
_099_,VGND,li1,27.8300,21.7600,0.000006
_098_,VGND,li1,30.8200,21.7600,0.000006
_097_,VGND,li1,34.0400,21.7600,0.000006
_096_,VGND,li1,25.9900,16.3200,0.000007
_095_,VGND,li1,19.5500,16.3200,0.000010
_094_,VGND,li1,20.4700,10.8800,0.000003
_093_,VGND,li1,14.0300,10.8800,0.000004
_092_,VGND,li1,33.3500,16.3200,0.000009
_091_,VGND,li1,30.1300,16.3200,0.000009
_090_,VGND,li1,33.1200,10.8800,0.000003
_089_,VGND,li1,37.9500,32.6400,0.000025
_088_,VGND,li1,34.2700,32.6400,0.000022
_087_,VGND,li1,36.1100,32.6400,0.000024
_086_,VGND,li1,23.6900,32.6400,0.000013
_085_,VGND,li1,21.8500,32.6400,0.000013
_084_,VGND,li1,22.0800,32.6400,0.000013
_083_,VGND,li1,31.0500,32.6400,0.000019
_082_,VGND,li1,25.5300,32.6400,0.000015
_081_,VGND,li1,20.0100,32.6400,0.000014
_080_,VGND,li1,13.5700,16.3200,0.000011
_079_,VGND,li1,13.3400,16.3200,0.000011
_078_,VGND,li1,11.5000,16.3200,0.000011
_077_,VGND,li1,20.4700,27.2000,0.000015
_076_,VGND,li1,20.4700,32.6400,0.000014
_075_,VGND,li1,23.2300,27.2000,0.000013
_074_,VGND,li1,18.8600,27.2000,0.000015
_073_,VGND,li1,21.3900,27.2000,0.000014
_072_,VGND,li1,28.7500,27.2000,0.000014
_071_,VGND,li1,26.4500,21.7600,0.000006
_070_,VGND,li1,28.7500,21.7600,0.000006
_069_,VGND,li1,22.5400,21.7600,0.000006
_068_,VGND,li1,20.7000,16.3200,0.000009
_067_,VGND,li1,19.5500,21.7600,0.000006
_066_,VGND,li1,23.4600,27.2000,0.000013
_065_,VGND,li1,17.2500,21.7600,0.000007
_064_,VGND,li1,12.1900,21.7600,0.000008
_063_,VGND,li1,30.5900,16.3200,0.000009
_062_,VGND,li1,10.8100,32.6400,0.000014
_061_,VGND,li1,11.2700,32.6400,0.000014
_060_,VGND,li1,13.1100,32.6400,0.000014
_059_,VGND,li1,9.4300,16.3200,0.000012
_058_,VGND,li1,12.8800,27.2000,0.000017
_057_,VGND,li1,14.9500,27.2000,0.000017
_056_,VGND,li1,10.3500,27.2000,0.000018
_055_,VGND,li1,10.5800,21.7600,0.000008
_054_,VGND,li1,9.2000,21.7600,0.000008
_053_,VGND,li1,13.3400,21.7600,0.000008
