net,length_um
net8,55.92µm
net7,54.91µm
net6,42.8µm
net5,39.86µm
net3,39.56µm
net4,34.74µm
net2,34.39µm
_07_,32.62µm
net1,28.7µm
_02_,20.18µm
_05_,19.24µm
_26_,19.06µm
_03_,16.3µm
_08_,14.6µm
_29_,14.56µm
_31_,12.32µm
_12_,12.18µm
_09_,11.58µm
_17_,11.44µm
_36_,11.22µm
P[2],10.34µm
P[6],10.32µm
_11_,10.255µm
A[0],10.1µm
A[3],9.77µm
A[1],9.3µm
_22_,9.28µm
P[1],8.96µm
_30_,8.9µm
B[2],8.84µm
B[0],8.72µm
_33_,8.7µm
_13_,8.5µm
_37_,8.38µm
_24_,8.36µm
_20_,8.32µm
_39_,7.9µm
net10,7.9µm
_34_,7.86µm
_38_,7.78µm
_44_,7.36µm
_40_,7.06µm
_43_,6.86µm
_28_,6.36µm
B[1],6.09µm
_00_,5.98µm
_16_,5.96µm
_10_,5.94µm
P[3],5.75µm
P[5],5.75µm
P[7],5.75µm
_41_,5.72µm
_14_,5.68µm
_25_,5.6µm
A[2],5.41µm
B[3],5.07µm
net15,4.8µm
_27_,4.44µm
P[4],4.39µm
_18_,4.3µm
_15_,4.22µm
net13,4.22µm
net16,3.93µm
_32_,3.42µm
_04_,3.1µm
_35_,3.08µm
_19_,2.76µm
_42_,2.74µm
net9,2.64µm
_45_,2.5µm
_21_,2.3µm
_01_,2.18µm
_23_,2.16µm
net12,2.16µm
net11,1.7µm
_06_,1.26µm
net14,1.26µm
