net,length_um
net7,63.4µm
net1,47.01µm
net6,43.8µm
net2,42.02µm
net5,41.175µm
net8,40.44µm
net4,37.13µm
_003_,29.42µm
_048_,26.1µm
net3,25.3µm
_007_,24.12µm
_023_,23.94µm
_021_,23.82µm
_026_,20.42µm
_029_,17.68µm
_039_,14.66µm
_018_,14.64µm
_013_,14.32µm
_042_,14.3µm
_002_,13.96µm
_008_,13.54µm
P[0],13.52µm
P[6],12.16µm
_016_,12.04µm
_019_,11.08µm
_032_,11.06µm
_033_,10.96µm
_045_,10.62µm
_047_,10.42µm
_017_,10.34µm
P[7],10.32µm
A[1],10.22µm
_040_,9.88µm
_036_,9.7µm
_009_,9.62µm
_030_,9.58µm
_046_,9.42µm
_000_,9.2µm
_006_,8.92µm
B[2],8.84µm
B[0],8.72µm
_035_,8.66µm
_027_,8.655µm
P[1],8.5µm
A[0],8.38µm
_031_,8.38µm
_038_,7.74µm
P[3],7.37µm
_014_,7.18µm
_024_,7.18µm
_041_,7.12µm
A[3],7.01µm
_012_,6.54µm
_010_,6.52µm
B[1],6.09µm
P[5],5.75µm
_020_,5.4µm
A[2],5.29µm
P[4],5.07µm
_015_,5.02µm
_037_,4.76µm
_044_,4.76µm
B[3],4.61µm
_049_,4.58µm
P[2],4.39µm
_005_,3.9µm
_025_,3.9µm
_034_,3.44µm
_028_,3.42µm
net16,3.42µm
net14,3.3µm
_004_,3.08µm
net11,3.08µm
net13,2.62µm
_011_,2.3µm
net12,2.04µm
_043_,1.84µm
_001_,1.38µm
_050_,1.38µm
net10,1.14µm
_022_,0.92µm
net9,0.8µm
net15,0.8µm
