net,length_um
net6,52.34µm
net7,50.12µm
net8,49.56µm
net5,42.04µm
net3,35.07µm
net4,34.18µm
net2,32.58µm
net1,27.01µm
_013_,24.94µm
_006_,20.32µm
_002_,18.49µm
_009_,16.42µm
_038_,15.72µm
_014_,14.73µm
_034_,14.68µm
_010_,14.38µm
_021_,14.14µm
_018_,12.82µm
_016_,12.42µm
_033_,12.18µm
P[2],11.94µm
A[0],11.78µm
P[1],11.72µm
_040_,11.66µm
B[0],11.36µm
_028_,11.08µm
_015_,10.96µm
P[0],10.8µm
_041_,10.36µm
P[6],10.32µm
_027_,9.25µm
_037_,9.08µm
_030_,8.66µm
_031_,8.5µm
B[2],8.38µm
_036_,8.36µm
A[1],8.26µm
P[4],8.07µm
A[3],8.01µm
_005_,7.58µm
_024_,7.4µm
_044_,7.32µm
_045_,7.24µm
_026_,7.2µm
_008_,7µm
_022_,6.78µm
net14,6.6µm
_039_,6.4µm
_032_,6.26µm
B[1],6.09µm
_025_,5.94µm
P[3],5.75µm
P[5],5.75µm
P[7],5.75µm
A[2],5.41µm
_003_,5.36µm
_019_,5.28µm
_035_,5.26µm
B[3],5.07µm
_029_,4.9µm
net12,4.88µm
_042_,4.82µm
_000_,4.78µm
_011_,4.56µm
_007_,4.14µm
_017_,3.66µm
_004_,3.42µm
net16,3.42µm
_020_,3.22µm
_023_,3.1µm
_012_,2.98µm
_046_,2.62µm
net11,2.06µm
_043_,1.82µm
net15,1.72µm
_001_,1.46µm
net9,0.46µm
net10,0.46µm
net13,0.46µm
