Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000020
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000017
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000015
FILLER_9_42,VGND,li1,27.6000,38.0800,0.000013
FILLER_9_36,VGND,li1,22.5400,38.0800,0.000013
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000014
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000014
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000014
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000009
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000009
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000008
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000007
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000007
FILLER_8_16,VGND,li1,13.3400,32.6400,0.000008
FILLER_8_3,VGND,li1,8.2800,32.6400,0.000008
FILLER_7_80,VGND,li1,42.5500,32.6400,0.000009
FILLER_7_74,VGND,li1,40.9400,32.6400,0.000009
FILLER_7_57,VGND,li1,32.6600,32.6400,0.000008
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000008
FILLER_7_31,VGND,li1,22.5400,32.6400,0.000007
FILLER_7_19,VGND,li1,17.0200,32.6400,0.000007
FILLER_7_15,VGND,li1,12.6500,32.6400,0.000008
FILLER_7_7,VGND,li1,10.5800,32.6400,0.000008
FILLER_6_79,VGND,li1,42.3200,27.2000,0.000022
FILLER_6_68,VGND,li1,37.2600,27.2000,0.000022
FILLER_6_60,VGND,li1,34.9600,27.2000,0.000020
FILLER_6_52,VGND,li1,29.6700,27.2000,0.000016
FILLER_6_48,VGND,li1,28.5200,27.2000,0.000016
FILLER_6_40,VGND,li1,24.1500,27.2000,0.000014
FILLER_6_34,VGND,li1,22.5400,27.2000,0.000014
FILLER_6_18,VGND,li1,14.4900,27.2000,0.000017
FILLER_5_79,VGND,li1,42.3200,27.2000,0.000022
FILLER_5_69,VGND,li1,37.4900,27.2000,0.000022
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000020
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000018
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000016
FILLER_5_40,VGND,li1,24.1500,27.2000,0.000014
FILLER_5_34,VGND,li1,22.5400,27.2000,0.000014
FILLER_5_19,VGND,li1,17.0200,27.2000,0.000016
FILLER_5_7,VGND,li1,8.9700,27.2000,0.000018
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000013
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000011
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000009
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000008
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000009
FILLER_4_19,VGND,li1,16.1000,21.7600,0.000009
FILLER_4_7,VGND,li1,11.5000,21.7600,0.000009
FILLER_3_79,VGND,li1,42.3200,21.7600,0.000014
FILLER_3_36,VGND,li1,22.5400,21.7600,0.000008
FILLER_3_28,VGND,li1,19.0900,21.7600,0.000009
FILLER_3_3,VGND,li1,8.2800,21.7600,0.000010
FILLER_2_79,VGND,li1,42.3200,16.3200,0.000007
FILLER_2_61,VGND,li1,36.3400,16.3200,0.000006
FILLER_2_49,VGND,li1,30.8200,16.3200,0.000005
FILLER_2_38,VGND,li1,23.9200,16.3200,0.000005
FILLER_2_23,VGND,li1,16.5600,16.3200,0.000006
FILLER_2_11,VGND,li1,13.3400,16.3200,0.000006
FILLER_2_7,VGND,li1,8.9700,16.3200,0.000006
FILLER_2_3,VGND,li1,7.8200,16.3200,0.000006
FILLER_1_75,VGND,li1,41.4000,16.3200,0.000007
FILLER_1_61,VGND,li1,33.8100,16.3200,0.000006
FILLER_1_57,VGND,li1,32.6600,16.3200,0.000006
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000005
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000005
FILLER_1_42,VGND,li1,25.0700,16.3200,0.000004
FILLER_1_34,VGND,li1,23.0000,16.3200,0.000005
FILLER_1_29,VGND,li1,19.3200,16.3200,0.000006
FILLER_1_22,VGND,li1,16.1000,16.3200,0.000006
FILLER_1_11,VGND,li1,11.0400,16.3200,0.000006
FILLER_1_3,VGND,li1,8.7400,16.3200,0.000006
FILLER_0_80,VGND,li1,42.5500,10.8800,0.000012
FILLER_0_76,VGND,li1,41.4000,10.8800,0.000012
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000010
