Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_405,VGND,li1,192.2800,184.9600,0.000027
FILLER_64_393,VGND,li1,189.0600,184.9600,0.000027
FILLER_64_389,VGND,li1,185.1500,184.9600,0.000027
FILLER_64_377,VGND,li1,181.7000,184.9600,0.000027
FILLER_64_365,VGND,li1,176.1800,184.9600,0.000034
FILLER_64_361,VGND,li1,172.2700,184.9600,0.000045
FILLER_64_349,VGND,li1,168.8200,184.9600,0.000054
FILLER_64_337,VGND,li1,163.3000,184.9600,0.000069
FILLER_64_335,VGND,li1,159.8500,184.9600,0.000079
FILLER_64_327,VGND,li1,157.7800,184.9600,0.000085
FILLER_64_315,VGND,li1,151.1100,184.9600,0.000099
FILLER_64_305,VGND,li1,146.5100,184.9600,0.000103
FILLER_64_293,VGND,li1,143.0600,184.9600,0.000103
FILLER_64_289,VGND,li1,138.6900,184.9600,0.000104
FILLER_64_281,VGND,li1,136.6200,184.9600,0.000105
FILLER_64_277,VGND,li1,133.6300,184.9600,0.000105
FILLER_64_265,VGND,li1,130.1800,184.9600,0.000106
FILLER_64_253,VGND,li1,124.6600,184.9600,0.000106
FILLER_64_249,VGND,li1,120.7500,184.9600,0.000107
FILLER_64_237,VGND,li1,117.3000,184.9600,0.000108
FILLER_64_230,VGND,li1,112.2400,184.9600,0.000109
FILLER_64_225,VGND,li1,109.4800,184.9600,0.000109
FILLER_64_223,VGND,li1,108.3300,184.9600,0.000109
FILLER_64_217,VGND,li1,106.7200,184.9600,0.000109
FILLER_64_206,VGND,li1,100.7400,184.9600,0.000106
FILLER_64_195,VGND,li1,95.4500,184.9600,0.000101
FILLER_64_189,VGND,li1,93.1500,184.9600,0.000098
FILLER_64_181,VGND,li1,90.6200,184.9600,0.000095
FILLER_64_169,VGND,li1,86.0200,184.9600,0.000089
FILLER_64_165,VGND,li1,82.1100,184.9600,0.000083
FILLER_64_153,VGND,li1,78.6600,184.9600,0.000080
FILLER_64_141,VGND,li1,73.1400,184.9600,0.000073
FILLER_64_137,VGND,li1,69.2300,184.9600,0.000068
FILLER_64_125,VGND,li1,65.7800,184.9600,0.000064
FILLER_64_113,VGND,li1,60.2600,184.9600,0.000057
FILLER_64_109,VGND,li1,56.3500,184.9600,0.000050
FILLER_64_97,VGND,li1,52.9000,184.9600,0.000048
FILLER_64_85,VGND,li1,47.3800,184.9600,0.000041
FILLER_64_81,VGND,li1,43.4700,184.9600,0.000036
FILLER_64_69,VGND,li1,40.0200,184.9600,0.000031
FILLER_64_57,VGND,li1,34.5000,184.9600,0.000024
FILLER_64_53,VGND,li1,30.5900,184.9600,0.000019
FILLER_64_41,VGND,li1,27.1400,184.9600,0.000015
FILLER_64_29,VGND,li1,21.6200,184.9600,0.000013
FILLER_64_27,VGND,li1,18.1700,184.9600,0.000013
FILLER_64_15,VGND,li1,15.1800,184.9600,0.000013
FILLER_64_3,VGND,li1,9.6600,184.9600,0.000013
