net,length_um
net13,273.92µm
net5,187.36µm
net38,169.94µm
net6,144.7µm
net14,137.4µm
net47,131.19µm
net9,129.79µm
net11,119.26µm
net46,114.14µm
net12,113.38µm
net68,111.32µm
net44,106.73µm
net43,106.44µm
net4,105.64µm
net36,105.375µm
net37,102.07µm
net3,98.18µm
net40,96.24µm
net35,93µm
net10,92.54µm
net61,78.5µm
_099_,76.64µm
net39,76.18µm
net31,73.8µm
net70,72.24µm
_268_,68.89µm
net34,68.83µm
net1,68.48µm
net45,66.81µm
net84,64.73µm
_081_,63.16µm
net50,62µm
_265_,60.12µm
net48,59.54µm
_192_,58.38µm
net7,58.08µm
_155_,56.92µm
net16,55.14µm
_120_,54.7µm
_136_,54.665µm
net8,54.3µm
_257_,53.91µm
net30,52.52µm
net49,51.73µm
_062_,51.26µm
_013_,51.02µm
_063_,50.7µm
_005_,50.54µm
net27,48.66µm
net2,48.28µm
net52,47.54µm
net67,47.36µm
net20,45.74µm
_236_,45.72µm
_042_,44.72µm
_173_,44.36µm
net73,43.52µm
net18,42.52µm
_146_,41.84µm
net19,40.98µm
net29,40.92µm
_286_,39.38µm
net28,39.24µm
_254_,36.32µm
_197_,36.28µm
_194_,35.62µm
_106_,35.56µm
_219_,34.66µm
_058_,34.56µm
_116_,34.42µm
net32,33.58µm
net41,30.96µm
_010_,30.94µm
net51,30.75µm
_172_,30.66µm
_008_,30.58µm
net21,30.48µm
_123_,30.34µm
net80,30.3µm
net74,30.15µm
net65,29.96µm
_226_,29.54µm
_045_,28.78µm
net33,28.62µm
_110_,27.52µm
net60,27.16µm
_020_,26.905µm
_055_,26.82µm
_205_,26.41µm
_009_,26.26µm
_068_,25.96µm
_150_,25.6µm
_185_,25.49µm
_029_,25.18µm
_083_,25.1µm
_271_,25.02µm
_229_,24.82µm
_189_,24.68µm
_269_,24.14µm
_147_,23.98µm
_303_,23.7µm
_261_,23.56µm
_087_,23.5µm
_297_,23.39µm
_039_,23.14µm
_287_,22.34µm
net42,22.18µm
_223_,22.16µm
_184_,22µm
_060_,21.62µm
_270_,21.42µm
_267_,21.3µm
_018_,21.28µm
_298_,21.02µm
_188_,20.84µm
_091_,20.82µm
net66,20.68µm
_264_,20.28µm
_301_,20.2µm
_176_,20.12µm
_107_,19.92µm
_175_,19.82µm
_208_,19.76µm
_201_,19.72µm
_211_,19.7µm
_276_,19.68µm
_074_,19.44µm
_138_,19.2µm
_027_,19.08µm
_221_,19.08µm
_250_,18.84µm
_292_,18.68µm
_195_,18.64µm
_026_,18.36µm
_103_,18.24µm
_144_,18.16µm
_187_,18.1µm
_278_,18.02µm
_255_,17.66µm
_209_,17.5µm
_075_,17.44µm
_273_,17.4µm
_050_,17.14µm
_101_,17.14µm
_031_,17.1µm
_036_,17.08µm
_003_,17.02µm
_199_,16.86µm
net82,16.78µm
_025_,16.72µm
_249_,16.72µm
_198_,16.54µm
_181_,16.53µm
_004_,16.5µm
_157_,16.48µm
_227_,16.46µm
_234_,16.44µm
net63,16.4µm
_149_,16.38µm
_158_,16.34µm
_216_,16.24µm
_251_,16.14µm
_088_,16.1µm
_082_,16µm
_114_,15.8µm
_159_,15.78µm
_290_,15.27µm
_057_,15.26µm
_242_,15.22µm
_132_,15.18µm
_140_,15.1µm
_164_,15.02µm
_097_,15µm
_079_,14.98µm
_061_,14.92µm
_127_,14.88µm
_038_,14.44µm
_262_,14.24µm
_145_,14.22µm
_169_,14.22µm
_204_,14.16µm
_232_,14.12µm
_279_,14.1µm
_077_,14.02µm
_215_,13.98µm
_284_,13.94µm
A[6],13.72µm
_217_,13.695µm
net75,13.68µm
_253_,13.66µm
_041_,13.58µm
_280_,13.54µm
_259_,13.52µm
net15,13.5µm
_156_,13.44µm
_019_,13.4µm
_170_,13.335µm
_139_,13.26µm
_248_,13.26µm
_089_,13.22µm
P[13],13.06µm
_053_,12.76µm
_054_,12.72µm
_180_,12.62µm
net25,12.62µm
_302_,12.58µm
_165_,12.5µm
_142_,12.34µm
_000_,12.3µm
_046_,12.3µm
_207_,12.16µm
_085_,12.12µm
P[8],12.06µm
_006_,12µm
_056_,11.78µm
_125_,11.68µm
_171_,11.5µm
_212_,11.46µm
_167_,11.42µm
_296_,11.36µm
A[7],11.34µm
B[6],11.34µm
B[7],11.34µm
_064_,11.34µm
_235_,11.16µm
_112_,11.14µm
_113_,11.06µm
_129_,11.04µm
_069_,11µm
_098_,10.98µm
_258_,10.94µm
_070_,10.92µm
_051_,10.89µm
_152_,10.68µm
_293_,10.64µm
_291_,10.62µm
P[15],10.54µm
P[14],10.42µm
net54,10.32µm
_182_,10.24µm
_289_,10.24µm
_011_,10.22µm
_243_,10.18µm
_015_,10.16µm
net83,10.14µm
_178_,10.08µm
_224_,10.08µm
_076_,9.94µm
_094_,9.82µm
_134_,9.8µm
_305_,9.78µm
_030_,9.74µm
_238_,9.74µm
_109_,9.7µm
_065_,9.66µm
_024_,9.5µm
_095_,9.5µm
_263_,9.5µm
_190_,9.28µm
_137_,9.08µm
