net,length_um
net48,197.44µm
net50,185.715µm
net47,159.02µm
net44,142.8µm
net45,136.04µm
net40,130.195µm
net34,128.5µm
net41,127.635µm
net3,121.3µm
net42,115.52µm
net55,115.305µm
net4,114.855µm
net14,114.64µm
net6,110.62µm
net37,108.72µm
net1,106.02µm
net16,105.78µm
net52,105.455µm
net38,102.92µm
net36,97.86µm
net33,85.51µm
net2,84.62µm
net13,80.92µm
net30,79.14µm
net53,74.735µm
net31,70.88µm
net12,70.86µm
net32,70.78µm
net26,69.22µm
_089_,68.66µm
net9,64.96µm
net5,64µm
net15,63.9µm
net43,63.43µm
net54,61.395µm
net46,61.2µm
net27,60.74µm
_104_,59.28µm
net7,58.62µm
net11,57.94µm
net18,54.42µm
net28,52.78µm
net29,51.74µm
_146_,50.8µm
net19,50.74µm
_076_,49.54µm
net20,48.48µm
_047_,48.44µm
_242_,47.02µm
_046_,46.16µm
_247_,45.44µm
_189_,45.245µm
net39,44.74µm
net51,44.6µm
net49,44.01µm
net21,39.58µm
_133_,36.82µm
_167_,36.46µm
_105_,35.98µm
_134_,35.74µm
_086_,35.1µm
_077_,35.065µm
_273_,34.42µm
_012_,33.42µm
_188_,33.26µm
net35,32.58µm
_152_,31.74µm
_154_,30.98µm
_014_,30.66µm
_019_,30.64µm
_269_,30.52µm
_218_,30.18µm
net10,29.86µm
_119_,29.58µm
net8,29.12µm
net62,29µm
_160_,28.86µm
_057_,27.82µm
_109_,27.625µm
_170_,27.38µm
_164_,27.26µm
_234_,27.22µm
_193_,26.66µm
_196_,26.08µm
_042_,25.9µm
_041_,25.58µm
_081_,25.52µm
_250_,24.9µm
_130_,24.26µm
_098_,24.2µm
_178_,24.14µm
_010_,23.9µm
_206_,23.8µm
_088_,23.52µm
_141_,23.32µm
_007_,23.16µm
_266_,22.86µm
_186_,22.7µm
net22,22.7µm
_058_,22.04µm
_150_,22.02µm
_024_,21.86µm
_114_,21.68µm
_209_,21.6µm
_129_,21.585µm
_238_,21.4µm
_121_,21µm
_227_,21µm
_144_,20.94µm
_090_,20.78µm
_252_,20.74µm
_253_,20.66µm
_231_,20.615µm
_017_,20.42µm
_230_,20.06µm
net58,19.9µm
_009_,19.88µm
_157_,19.88µm
_008_,19.86µm
_185_,19.5µm
_201_,19.3µm
_191_,19.22µm
_175_,19.14µm
_059_,18.72µm
_139_,18.68µm
_120_,18.48µm
_177_,18.48µm
_029_,18.34µm
_161_,18.28µm
_080_,18.235µm
_198_,18.16µm
_072_,18.02µm
_001_,17.78µm
_123_,17.64µm
_004_,17.5µm
_260_,17.28µm
_138_,17.22µm
_243_,17.18µm
_270_,16.62µm
_035_,16.56µm
_267_,16.4µm
_181_,16.3µm
_256_,16.2µm
_034_,16.14µm
_153_,16.12µm
_079_,15.99µm
_002_,15.72µm
_045_,15.64µm
_279_,15.64µm
_183_,15.56µm
_272_,15.55µm
_275_,15.38µm
_084_,15.3µm
_107_,15.3µm
_162_,15.26µm
_005_,15.1µm
_143_,15.1µm
_219_,14.96µm
_073_,14.92µm
_258_,14.68µm
_050_,14.38µm
_110_,14.1µm
_239_,14µm
_165_,13.66µm
_132_,13.58µm
_199_,13.58µm
_092_,13.545µm
_148_,13.52µm
_255_,13.48µm
_049_,13.36µm
_038_,13.355µm
_016_,13.34µm
_149_,13.3µm
y[10],13.06µm
y[11],13.06µm
_040_,12.96µm
_248_,12.96µm
_261_,12.9µm
_106_,12.74µm
_246_,12.72µm
net59,12.72µm
_257_,12.6µm
_259_,12.58µm
_051_,12.44µm
_031_,12.24µm
_208_,12.24µm
_236_,12.15µm
y[12],12.14µm
_145_,12.1µm
_280_,12.08µm
_140_,12.02µm
_102_,12µm
_082_,11.96µm
y[9],11.92µm
_030_,11.88µm
_116_,11.84µm
_235_,11.78µm
_036_,11.76µm
y[0],11.68µm
