Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.799996
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799996
FILLER_9_48,VPWR,li1,28.5200,35.3600,1.799996
FILLER_9_42,VPWR,li1,25.5300,35.3600,1.799996
FILLER_9_37,VPWR,li1,22.7700,35.3600,1.799997
FILLER_9_29,VPWR,li1,20.7000,35.3600,1.799997
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799997
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799997
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799997
FILLER_8_73,VPWR,li1,40.9400,35.3600,1.799996
FILLER_8_61,VPWR,li1,36.3400,35.3600,1.799996
FILLER_8_49,VPWR,li1,30.8200,35.3600,1.799996
FILLER_8_45,VPWR,li1,26.4500,35.3600,1.799996
FILLER_8_41,VPWR,li1,25.3000,35.3600,1.799996
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799997
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799997
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799997
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799997
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799999
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799999
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799999
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799999
FILLER_7_39,VPWR,li1,26.2200,29.9200,1.799999
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.799999
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799999
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799999
FILLER_6_73,VPWR,li1,40.9400,29.9200,1.799999
FILLER_6_61,VPWR,li1,36.3400,29.9200,1.799999
FILLER_6_49,VPWR,li1,30.8200,29.9200,1.799999
FILLER_6_35,VPWR,li1,21.8500,29.9200,1.799999
FILLER_6_29,VPWR,li1,20.2400,29.9200,1.799999
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799999
FILLER_6_15,VPWR,li1,15.1800,29.9200,1.799999
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.799999
FILLER_5_69,VPWR,li1,40.0200,24.4800,1.800000
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.800000
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.800000
FILLER_5_41,VPWR,li1,27.1400,24.4800,1.800000
FILLER_5_35,VPWR,li1,21.8500,24.4800,1.800000
FILLER_5_27,VPWR,li1,19.7800,24.4800,1.800000
FILLER_5_15,VPWR,li1,15.1800,24.4800,1.800000
FILLER_5_3,VPWR,li1,9.6600,24.4800,1.800000
FILLER_4_77,VPWR,li1,41.8600,24.4800,1.800000
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.800000
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.800000
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.800000
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.800000
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.800000
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.800000
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.800000
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.799999
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.799999
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799999
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.799999
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.799999
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.799999
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.799999
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799999
FILLER_2_75,VPWR,li1,41.4000,19.0400,1.799999
