net,length_um
net8,51.56µm
net3,44.375µm
net6,42.74µm
_16_,37.64µm
net2,29.82µm
mul_ll.pp1,20.5µm
_15_,18.34µm
net4,17.8µm
net1,17.74µm
_13_,16.75µm
_06_,14.93µm
net5,14.38µm
net7,13.77µm
_24_,12.22µm
_19_,11.96µm
_10_,11.46µm
net14,11.2µm
_08_,10.81µm
P[2],10.78µm
_07_,10.36µm
B[2],9.18µm
_12_,9.12µm
P[0],8.96µm
_05_,8.94µm
A[2],8.84µm
A[0],8.72µm
B[0],8.72µm
net13,8.44µm
net12,8.1µm
_01_,7.93µm
_18_,7.18µm
_22_,6.44µm
_02_,6.4µm
B[3],6.09µm
B[1],5.97µm
P[3],5.75µm
P[5],5.75µm
P[6],5.75µm
_11_,5.7µm
net9,5.68µm
net15,5.68µm
_21_,5.36µm
P[7],5.07µm
A[1],4.95µm
_23_,4.88µm
_04_,4.8µm
net16,4.8µm
P[1],4.73µm
A[3],4.61µm
P[4],4.39µm
_00_,4µm
_09_,3.9µm
_14_,3.78µm
net11,2.96µm
_17_,2.3µm
net10,2.06µm
_03_,1.84µm
_20_,1.84µm
_25_,1.165µm
