Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000009
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000007
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000006
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000005
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000005
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000006
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000007
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000007
FILLER_8_77,VGND,li1,41.8600,32.6400,0.000003
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000003
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000003
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000003
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000003
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000003
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000003
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000004
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000003
FILLER_7_64,VGND,li1,37.7200,32.6400,0.000003
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000003
FILLER_7_46,VGND,li1,28.5200,32.6400,0.000003
FILLER_7_40,VGND,li1,24.1500,32.6400,0.000002
FILLER_7_27,VGND,li1,19.7800,32.6400,0.000003
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000003
FILLER_7_7,VGND,li1,8.9700,32.6400,0.000004
FILLER_6_79,VGND,li1,42.3200,27.2000,0.000005
FILLER_6_67,VGND,li1,39.1000,27.2000,0.000005
FILLER_6_55,VGND,li1,33.5800,27.2000,0.000005
FILLER_6_43,VGND,li1,28.0600,27.2000,0.000004
FILLER_6_20,VGND,li1,16.5600,27.2000,0.000005
FILLER_6_6,VGND,li1,9.6600,27.2000,0.000006
FILLER_5_73,VGND,li1,40.9400,27.2000,0.000005
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000004
FILLER_5_43,VGND,li1,28.0600,27.2000,0.000004
FILLER_5_31,VGND,li1,22.5400,27.2000,0.000004
