net,length_um
net8,47.15µm
net6,45.22µm
net3,35.92µm
_15_,32.68µm
net7,26.84µm
net4,24.7µm
_18_,21.82µm
_10_,19.845µm
_14_,19.68µm
net2,19.54µm
_09_,14.44µm
net1,14.38µm
_11_,12.905µm
_01_,11.66µm
_22_,11.08µm
P[5],10.32µm
P[6],10.32µm
P[7],9.86µm
_00_,9.16µm
P[0],8.96µm
_12_,8.9µm
A[0],8.72µm
A[2],8.72µm
B[0],8.72µm
mul_ll.pp2,8.32µm
_20_,8.12µm
_07_,8.08µm
net5,7.9µm
_06_,7.52µm
_02_,7.1µm
_19_,6.64µm
net12,6.32µm
net11,6.2µm
_17_,6.18µm
net14,6.06µm
A[1],5.97µm
_16_,5.94µm
net13,5.86µm
P[1],5.75µm
B[1],5.63µm
B[2],5.63µm
net15,5.6µm
_13_,5.26µm
P[3],5.07µm
P[4],5.07µm
net10,4.92µm
P[2],4.73µm
A[3],4.61µm
B[3],4.61µm
_04_,4.46µm
_05_,3.08µm
_03_,2.98µm
_21_,2.96µm
net16,2.96µm
_23_,2.06µm
net9,2.04µm
mul_ll.pp1,1.38µm
_08_,0.92µm
