net,length_um
net8,44.6µm
net6,42.06µm
net3,39.8µm
net1,36.49µm
_15_,31.16µm
net4,30.16µm
net7,22.06µm
_09_,19.24µm
_10_,15.58µm
_18_,14.44µm
B[0],13.32µm
net2,13.06µm
_14_,12.96µm
_11_,11.665µm
net5,11.44µm
_22_,11.24µm
P[5],10.32µm
P[7],10.32µm
mul_ll.pp2,9.7µm
_12_,9.18µm
P[0],8.96µm
A[0],8.72µm
A[2],8.72µm
net11,8.24µm
net12,7.56µm
net15,7.44µm
net13,6.9µm
_01_,6.75µm
_21_,6.18µm
A[1],5.97µm
_06_,5.84µm
P[1],5.75µm
P[6],5.75µm
B[1],5.63µm
B[2],5.63µm
_13_,5.57µm
P[3],5.07µm
P[4],5.07µm
_16_,5.02µm
_20_,5.02µm
net10,4.92µm
_02_,4.8µm
_19_,4.8µm
P[2],4.73µm
B[3],4.61µm
_07_,4.46µm
_23_,4.36µm
A[3],4.27µm
_08_,3.88µm
_00_,3.56µm
_04_,3.54µm
_03_,2.96µm
_05_,2.62µm
mul_ll.pp1,2.5µm
_17_,2.04µm
net14,2.04µm
net16,2.04µm
net9,1.14µm
