Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000010
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000008
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000007
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000006
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000006
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000007
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000007
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000008
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000014
FILLER_8_70,VGND,li1,39.5600,32.6400,0.000013
FILLER_8_61,VGND,li1,34.0400,32.6400,0.000011
FILLER_8_53,VGND,li1,31.7400,32.6400,0.000010
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000007
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000007
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000007
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000007
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000008
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000013
FILLER_7_61,VGND,li1,34.0400,32.6400,0.000011
FILLER_7_57,VGND,li1,31.9700,32.6400,0.000010
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000009
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000009
FILLER_7_39,VGND,li1,26.2200,32.6400,0.000006
FILLER_7_27,VGND,li1,20.7000,32.6400,0.000007
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000007
FILLER_7_7,VGND,li1,8.9700,32.6400,0.000008
FILLER_6_77,VGND,li1,41.8600,27.2000,0.000006
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000006
FILLER_6_57,VGND,li1,32.2000,27.2000,0.000006
FILLER_6_45,VGND,li1,26.4500,27.2000,0.000004
FILLER_6_29,VGND,li1,19.0900,27.2000,0.000005
FILLER_6_20,VGND,li1,16.5600,27.2000,0.000006
FILLER_6_11,VGND,li1,11.0400,27.2000,0.000006
FILLER_6_3,VGND,li1,8.7400,27.2000,0.000006
FILLER_5_74,VGND,li1,40.2500,27.2000,0.000006
FILLER_5_62,VGND,li1,36.8000,27.2000,0.000006
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000006
