Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,39.1000,35.3600,1.799987
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799989
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799990
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799992
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799992
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799992
FILLER_8_78,VPWR,li1,42.0900,35.3600,1.799986
FILLER_8_70,VPWR,li1,39.5600,35.3600,1.799987
FILLER_8_61,VPWR,li1,34.0400,35.3600,1.799989
FILLER_8_53,VPWR,li1,31.7400,35.3600,1.799990
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799992
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799993
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799992
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799991
FILLER_7_76,VPWR,li1,40.7100,29.9200,1.799981
FILLER_7_61,VPWR,li1,34.0400,29.9200,1.799984
FILLER_7_57,VPWR,li1,31.9700,29.9200,1.799985
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799986
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799986
FILLER_7_39,VPWR,li1,26.2200,29.9200,1.799989
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.799992
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799991
FILLER_7_7,VPWR,li1,8.9700,29.9200,1.799991
FILLER_6_77,VPWR,li1,41.8600,29.9200,1.799981
FILLER_6_65,VPWR,li1,38.1800,29.9200,1.799982
FILLER_6_57,VPWR,li1,32.2000,29.9200,1.799985
FILLER_6_45,VPWR,li1,26.4500,29.9200,1.799989
FILLER_6_29,VPWR,li1,19.0900,29.9200,1.799992
FILLER_6_20,VPWR,li1,16.5600,29.9200,1.799991
FILLER_6_11,VPWR,li1,11.0400,29.9200,1.799991
FILLER_6_3,VPWR,li1,8.7400,29.9200,1.799991
FILLER_5_74,VPWR,li1,40.2500,24.4800,1.799987
FILLER_5_62,VPWR,li1,36.8000,24.4800,1.799988
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799989
FILLER_5_44,VPWR,li1,27.6000,24.4800,1.799991
FILLER_5_37,VPWR,li1,23.4600,24.4800,1.799993
FILLER_5_25,VPWR,li1,19.7800,24.4800,1.799992
FILLER_5_13,VPWR,li1,14.2600,24.4800,1.799991
FILLER_4_73,VPWR,li1,40.0200,24.4800,1.799987
FILLER_4_61,VPWR,li1,36.3400,24.4800,1.799988
FILLER_4_51,VPWR,li1,29.2100,24.4800,1.799990
FILLER_4_46,VPWR,li1,27.1400,24.4800,1.799991
FILLER_4_34,VPWR,li1,23.9200,24.4800,1.799992
FILLER_4_26,VPWR,li1,17.9400,24.4800,1.799992
FILLER_4_19,VPWR,li1,14.9500,24.4800,1.799991
FILLER_4_13,VPWR,li1,11.7300,24.4800,1.799991
FILLER_4_7,VPWR,li1,10.1200,24.4800,1.799990
FILLER_3_78,VPWR,li1,42.0900,19.0400,1.799990
FILLER_3_70,VPWR,li1,39.5600,19.0400,1.799990
FILLER_3_57,VPWR,li1,33.5800,19.0400,1.799991
FILLER_3_50,VPWR,li1,29.9000,19.0400,1.799992
FILLER_3_38,VPWR,li1,25.7600,19.0400,1.799993
FILLER_3_29,VPWR,li1,19.7800,19.0400,1.799994
FILLER_3_24,VPWR,li1,17.0200,19.0400,1.799994
FILLER_3_11,VPWR,li1,11.2700,19.0400,1.799994
FILLER_3_3,VPWR,li1,8.7400,19.0400,1.799993
FILLER_2_76,VPWR,li1,40.7100,19.0400,1.799990
FILLER_2_68,VPWR,li1,38.6400,19.0400,1.799990
FILLER_2_47,VPWR,li1,27.3700,19.0400,1.799993
FILLER_2_43,VPWR,li1,26.2200,19.0400,1.799993
FILLER_2_35,VPWR,li1,21.8500,19.0400,1.799995
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799994
FILLER_2_21,VPWR,li1,16.5600,19.0400,1.799994
FILLER_2_7,VPWR,li1,9.6600,19.0400,1.799993
FILLER_1_74,VPWR,li1,40.2500,13.6000,1.799986
