Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,41.4000,35.3600,1.799991
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799991
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799991
FILLER_9_55,VPWR,li1,31.0500,35.3600,1.799991
FILLER_9_51,VPWR,li1,29.2100,35.3600,1.799992
FILLER_9_45,VPWR,li1,27.6000,35.3600,1.799992
FILLER_9_41,VPWR,li1,24.6100,35.3600,1.799993
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_9_16,VPWR,li1,15.6400,35.3600,1.799991
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799991
FILLER_8_74,VPWR,li1,40.9400,35.3600,1.799991
FILLER_8_47,VPWR,li1,27.3700,35.3600,1.799992
FILLER_8_37,VPWR,li1,23.0000,35.3600,1.799993
FILLER_8_29,VPWR,li1,20.7000,35.3600,1.799994
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799992
FILLER_8_23,VPWR,li1,17.0200,35.3600,1.799992
FILLER_8_11,VPWR,li1,10.8100,35.3600,1.799990
FILLER_7_76,VPWR,li1,40.7100,29.9200,1.799988
FILLER_7_70,VPWR,li1,39.1000,29.9200,1.799988
FILLER_7_57,VPWR,li1,33.1200,29.9200,1.799989
FILLER_7_50,VPWR,li1,29.9000,29.9200,1.799990
FILLER_7_37,VPWR,li1,23.2300,29.9200,1.799992
FILLER_7_29,VPWR,li1,20.7000,29.9200,1.799993
FILLER_7_20,VPWR,li1,15.1800,29.9200,1.799992
FILLER_7_3,VPWR,li1,7.3600,29.9200,1.799990
FILLER_6_78,VPWR,li1,42.0900,29.9200,1.799987
FILLER_6_70,VPWR,li1,39.5600,29.9200,1.799988
FILLER_6_58,VPWR,li1,34.9600,29.9200,1.799988
FILLER_6_37,VPWR,li1,22.7700,29.9200,1.799992
FILLER_6_29,VPWR,li1,20.7000,29.9200,1.799993
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799992
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799992
FILLER_5_78,VPWR,li1,42.0900,24.4800,1.799995
FILLER_5_66,VPWR,li1,38.6400,24.4800,1.799995
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799995
FILLER_5_33,VPWR,li1,22.5400,24.4800,1.799996
FILLER_5_6,VPWR,li1,9.2000,24.4800,1.799994
FILLER_4_79,VPWR,li1,42.3200,24.4800,1.799995
FILLER_4_71,VPWR,li1,40.0200,24.4800,1.799995
FILLER_4_59,VPWR,li1,35.4200,24.4800,1.799995
FILLER_4_53,VPWR,li1,30.3600,24.4800,1.799995
FILLER_4_45,VPWR,li1,26.4500,24.4800,1.799996
FILLER_4_41,VPWR,li1,25.3000,24.4800,1.799996
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799996
FILLER_4_25,VPWR,li1,17.7100,24.4800,1.799995
FILLER_4_17,VPWR,li1,15.1800,24.4800,1.799995
FILLER_4_11,VPWR,li1,10.8100,24.4800,1.799994
FILLER_4_7,VPWR,li1,9.6600,24.4800,1.799994
FILLER_3_78,VPWR,li1,42.0900,19.0400,1.799977
FILLER_3_70,VPWR,li1,39.5600,19.0400,1.799978
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799983
FILLER_3_44,VPWR,li1,26.2200,19.0400,1.799986
FILLER_3_32,VPWR,li1,23.0000,19.0400,1.799987
FILLER_3_20,VPWR,li1,17.4800,19.0400,1.799988
FILLER_3_11,VPWR,li1,10.8100,19.0400,1.799987
FILLER_3_3,VPWR,li1,8.7400,19.0400,1.799986
FILLER_2_73,VPWR,li1,40.0200,19.0400,1.799978
FILLER_2_54,VPWR,li1,30.5900,19.0400,1.799983
FILLER_2_48,VPWR,li1,28.9800,19.0400,1.799984
FILLER_2_36,VPWR,li1,24.8400,19.0400,1.799986
FILLER_2_21,VPWR,li1,15.4100,19.0400,1.799987
FILLER_2_17,VPWR,li1,14.2600,19.0400,1.799987
FILLER_2_11,VPWR,li1,10.8100,19.0400,1.799987
