net,length_um
net3,61.68µm
net8,61.26µm
net6,48.275µm
net1,35µm
_13_,26.26µm
net7,23.16µm
_00_,22.04µm
_21_,19.1µm
net2,17.84µm
net4,17.8µm
_11_,17.46µm
_17_,15.32µm
_02_,15.22µm
_09_,15.04µm
_14_,14.38µm
_16_,12.265µm
_12_,11.08µm
_07_,10.38µm
_10_,10.185µm
P[5],9.86µm
net5,9.645µm
P[2],8.96µm
A[0],8.72µm
B[0],8.72µm
net13,8.58µm
P[0],8.5µm
_06_,7.77µm
net12,7.7µm
_01_,7.54µm
_03_,7.2µm
_15_,6.52µm
A[2],6.09µm
B[3],6.09µm
net15,6.06µm
B[2],5.97µm
_04_,5.84µm
P[6],5.75µm
A[1],5.63µm
_22_,5.6µm
B[1],5.41µm
P[3],5.07µm
mul_ll.pp0,4.94µm
P[1],4.73µm
A[3],4.61µm
_05_,4.46µm
_19_,4.44µm
P[4],4.39µm
P[7],4.39µm
net10,4.36µm
_18_,4.14µm
net16,3.9µm
net14,3.3µm
_20_,2.96µm
net11,2.96µm
net9,2.5µm
_08_,0.92µm
