Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000008
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000007
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000006
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000005
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000006
FILLER_9_23,VGND,li1,16.3300,38.0800,0.000007
FILLER_9_15,VGND,li1,14.2600,38.0800,0.000007
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000007
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000004
FILLER_8_70,VGND,li1,39.5600,32.6400,0.000003
FILLER_8_60,VGND,li1,33.8100,32.6400,0.000003
FILLER_8_48,VGND,li1,30.3600,32.6400,0.000003
FILLER_8_36,VGND,li1,24.8400,32.6400,0.000002
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000002
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000002
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000002
FILLER_7_74,VGND,li1,40.2500,32.6400,0.000003
FILLER_7_65,VGND,li1,35.6500,32.6400,0.000003
FILLER_7_57,VGND,li1,33.5800,32.6400,0.000003
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000003
FILLER_7_43,VGND,li1,28.0600,32.6400,0.000002
FILLER_7_27,VGND,li1,18.6300,32.6400,0.000002
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000002
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000002
FILLER_6_76,VGND,li1,40.9400,27.2000,0.000008
FILLER_6_68,VGND,li1,38.6400,27.2000,0.000008
FILLER_6_52,VGND,li1,29.6700,27.2000,0.000007
FILLER_6_40,VGND,li1,26.6800,27.2000,0.000006
FILLER_6_15,VGND,li1,12.8800,27.2000,0.000008
FILLER_6_7,VGND,li1,10.5800,27.2000,0.000008
FILLER_5_76,VGND,li1,40.9400,27.2000,0.000008
FILLER_5_68,VGND,li1,38.6400,27.2000,0.000008
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000007
FILLER_5_46,VGND,li1,28.5200,27.2000,0.000007
FILLER_5_34,VGND,li1,23.9200,27.2000,0.000006
FILLER_5_22,VGND,li1,18.4000,27.2000,0.000007
FILLER_5_15,VGND,li1,13.1100,27.2000,0.000008
FILLER_5_7,VGND,li1,10.5800,27.2000,0.000008
FILLER_4_74,VGND,li1,40.4800,21.7600,0.000004
FILLER_4_61,VGND,li1,33.8100,21.7600,0.000004
FILLER_4_49,VGND,li1,30.8200,21.7600,0.000004
FILLER_4_37,VGND,li1,25.3000,21.7600,0.000003
FILLER_4_29,VGND,li1,19.0900,21.7600,0.000004
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000004
FILLER_4_19,VGND,li1,16.1000,21.7600,0.000004
FILLER_4_7,VGND,li1,11.5000,21.7600,0.000004
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000004
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000004
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000004
FILLER_3_46,VGND,li1,28.5200,21.7600,0.000003
FILLER_3_34,VGND,li1,23.9200,21.7600,0.000003
FILLER_3_15,VGND,li1,14.2600,21.7600,0.000004
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000004
FILLER_2_76,VGND,li1,40.7100,16.3200,0.000009
FILLER_2_70,VGND,li1,39.1000,16.3200,0.000009
FILLER_2_38,VGND,li1,23.9200,16.3200,0.000007
FILLER_2_29,VGND,li1,19.0900,16.3200,0.000009
FILLER_2_24,VGND,li1,17.4800,16.3200,0.000009
FILLER_2_19,VGND,li1,14.7200,16.3200,0.000010
FILLER_2_7,VGND,li1,11.5000,16.3200,0.000010
FILLER_1_74,VGND,li1,40.2500,16.3200,0.000009
FILLER_1_66,VGND,li1,37.7200,16.3200,0.000009
FILLER_1_50,VGND,li1,28.7500,16.3200,0.000007
FILLER_1_44,VGND,li1,27.1400,16.3200,0.000007
FILLER_1_35,VGND,li1,23.0000,16.3200,0.000007
FILLER_1_27,VGND,li1,18.1700,16.3200,0.000009
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000010
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000011
FILLER_0_75,VGND,li1,41.4000,10.8800,0.000005
FILLER_0_63,VGND,li1,37.2600,10.8800,0.000005
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000005
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000005
FILLER_0_49,VGND,li1,28.7500,10.8800,0.000005
FILLER_0_42,VGND,li1,25.5300,10.8800,0.000004
FILLER_0_34,VGND,li1,23.0000,10.8800,0.000004
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000004
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000004
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000004
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000004
output16,VGND,li1,41.8600,32.6400,0.000004
output15,VGND,li1,41.8600,38.0800,0.000008
output14,VGND,li1,17.4800,38.0800,0.000007
output13,VGND,li1,7.8200,27.2000,0.000008
output12,VGND,li1,7.8200,16.3200,0.000012
output11,VGND,li1,27.1400,10.8800,0.000005
output10,VGND,li1,41.8600,16.3200,0.000009
output9,VGND,li1,33.5800,10.8800,0.000005
input8,VGND,li1,7.8200,21.7600,0.000005
input7,VGND,li1,42.0900,21.7600,0.000004
input6,VGND,li1,41.8600,16.3200,0.000009
input5,VGND,li1,30.1300,10.8800,0.000005
input4,VGND,li1,42.0900,27.2000,0.000008
input3,VGND,li1,7.8200,27.2000,0.000008
input2,VGND,li1,42.0900,27.2000,0.000008
input1,VGND,li1,20.4700,10.8800,0.000004
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000006
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000006
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000002
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000003
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000007
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000007
