net,length_um
net3,36.03µm
_15_,33.065µm
net4,29.68µm
net8,27.74µm
net1,24.56µm
_14_,24.22µm
net2,23.32µm
net6,22.5µm
_16_,21.02µm
_03_,20.6µm
_35_,19.28µm
_23_,16.14µm
_02_,15.9µm
_18_,15.4µm
B[0],15.38µm
_27_,13.64µm
_00_,13.36µm
_07_,13.32µm
_09_,13.02µm
_17_,12.46µm
_21_,12.26µm
_26_,11.66µm
_10_,10.88µm
net5,10.72µm
_06_,10.42µm
P[5],10.32µm
net7,10.08µm
_13_,9.72µm
A[0],9.3µm
B[1],8.84µm
A[1],8.72µm
B[2],8.72µm
P[1],8.5µm
_11_,8.36µm
_20_,8.22µm
_19_,8.1µm
_25_,7.78µm
net15,6.66µm
_33_,6.64µm
_22_,6.48µm
_28_,6.32µm
_12_,6.28µm
_05_,6.26µm
B[3],6.09µm
A[3],5.97µm
P[6],5.75µm
_30_,5.28µm
_32_,5.26µm
net13,5.14µm
P[7],5.07µm
_01_,4.8µm
_04_,4.8µm
A[2],4.73µm
P[2],4.73µm
net10,4.48µm
net11,4.48µm
_29_,4.46µm
P[3],4.39µm
P[4],4.39µm
net16,3.93µm
net14,3.3µm
net12,3.1µm
_31_,3.08µm
_36_,3.06µm
_08_,2.62µm
_24_,2.62µm
_34_,2.16µm
net9,2.04µm
