Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,41.4000,35.3600,1.799993
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799993
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799993
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799993
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799994
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799996
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799996
FILLER_9_19,VPWR,li1,16.1000,35.3600,1.799996
FILLER_9_7,VPWR,li1,11.5000,35.3600,1.799996
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799993
FILLER_8_76,VPWR,li1,41.4000,35.3600,1.799993
FILLER_8_64,VPWR,li1,37.7200,35.3600,1.799993
FILLER_8_52,VPWR,li1,32.2000,35.3600,1.799993
FILLER_8_41,VPWR,li1,25.3000,35.3600,1.799995
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799996
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799996
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799996
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799996
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799996
FILLER_7_76,VPWR,li1,40.7100,29.9200,1.799983
FILLER_7_70,VPWR,li1,39.1000,29.9200,1.799983
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799988
FILLER_7_49,VPWR,li1,29.4400,29.9200,1.799988
FILLER_7_35,VPWR,li1,22.3100,29.9200,1.799993
FILLER_7_27,VPWR,li1,19.7800,29.9200,1.799992
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799992
FILLER_7_11,VPWR,li1,10.8100,29.9200,1.799992
FILLER_7_7,VPWR,li1,9.6600,29.9200,1.799992
FILLER_6_69,VPWR,li1,39.1000,29.9200,1.799983
FILLER_6_63,VPWR,li1,35.1900,29.9200,1.799986
FILLER_6_59,VPWR,li1,32.8900,29.9200,1.799987
FILLER_6_55,VPWR,li1,31.7400,29.9200,1.799987
FILLER_6_43,VPWR,li1,28.0600,29.9200,1.799989
FILLER_6_29,VPWR,li1,20.2400,29.9200,1.799992
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799992
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799992
FILLER_6_6,VPWR,li1,11.0400,29.9200,1.799992
FILLER_5_77,VPWR,li1,41.8600,24.4800,1.799995
FILLER_5_65,VPWR,li1,38.1800,24.4800,1.799995
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799995
FILLER_5_49,VPWR,li1,29.4400,24.4800,1.799995
FILLER_5_40,VPWR,li1,24.3800,24.4800,1.799995
FILLER_5_28,VPWR,li1,21.1600,24.4800,1.799996
FILLER_5_16,VPWR,li1,15.6400,24.4800,1.799995
FILLER_4_80,VPWR,li1,42.5500,24.4800,1.799995
FILLER_4_74,VPWR,li1,40.9400,24.4800,1.799995
FILLER_4_62,VPWR,li1,36.8000,24.4800,1.799995
FILLER_4_50,VPWR,li1,31.2800,24.4800,1.799995
FILLER_4_41,VPWR,li1,25.7600,24.4800,1.799995
FILLER_4_36,VPWR,li1,22.5400,24.4800,1.799995
FILLER_4_26,VPWR,li1,17.9400,24.4800,1.799995
FILLER_4_13,VPWR,li1,12.4200,24.4800,1.799994
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.799995
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.799995
FILLER_3_54,VPWR,li1,30.8200,19.0400,1.799996
FILLER_3_46,VPWR,li1,28.5200,19.0400,1.799996
FILLER_3_35,VPWR,li1,22.5400,19.0400,1.799996
FILLER_3_23,VPWR,li1,18.8600,19.0400,1.799996
FILLER_3_3,VPWR,li1,8.7400,19.0400,1.799995
FILLER_2_75,VPWR,li1,40.7100,19.0400,1.799995
FILLER_2_67,VPWR,li1,38.1800,19.0400,1.799995
FILLER_2_55,VPWR,li1,33.5800,19.0400,1.799995
FILLER_2_46,VPWR,li1,26.9100,19.0400,1.799996
FILLER_2_29,VPWR,li1,20.2400,19.0400,1.799997
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799996
FILLER_2_13,VPWR,li1,14.2600,19.0400,1.799996
FILLER_1_76,VPWR,li1,40.7100,13.6000,1.799984
FILLER_1_72,VPWR,li1,39.5600,13.6000,1.799984
FILLER_1_53,VPWR,li1,30.5900,13.6000,1.799986
FILLER_1_35,VPWR,li1,23.0000,13.6000,1.799990
FILLER_1_19,VPWR,li1,16.1000,13.6000,1.799991
FILLER_1_7,VPWR,li1,10.1200,13.6000,1.799990
FILLER_0_75,VPWR,li1,41.4000,13.6000,1.799983
FILLER_0_63,VPWR,li1,37.2600,13.6000,1.799984
FILLER_0_57,VPWR,li1,32.4300,13.6000,1.799986
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799986
FILLER_0_48,VPWR,li1,28.5200,13.6000,1.799988
FILLER_0_41,VPWR,li1,25.3000,13.6000,1.799989
FILLER_0_35,VPWR,li1,22.3100,13.6000,1.799991
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799991
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799991
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799991
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799990
output16,VPWR,li1,7.8200,29.9200,1.799991
output15,VPWR,li1,7.8200,35.3600,1.799996
output14,VPWR,li1,33.5800,35.3600,1.799993
output13,VPWR,li1,41.8600,29.9200,1.799982
output12,VPWR,li1,41.8600,29.9200,1.799982
output11,VPWR,li1,41.8600,13.6000,1.799983
output10,VPWR,li1,20.7000,13.6000,1.799991
output9,VPWR,li1,7.8200,13.6000,1.799990
input8,VPWR,li1,9.2000,24.4800,1.799994
input7,VPWR,li1,30.1300,13.6000,1.799987
input6,VPWR,li1,9.2000,19.0400,1.799995
input5,VPWR,li1,42.0900,19.0400,1.799995
input4,VPWR,li1,7.5900,29.9200,1.799991
input3,VPWR,li1,26.9100,13.6000,1.799988
input2,VPWR,li1,9.2000,24.4800,1.799994
input1,VPWR,li1,23.6900,13.6000,1.799990
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799993
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799996
