net,length_um
net3,50.7µm
net8,47.58µm
net6,38.36µm
net4,30.795µm
net7,29.7µm
net1,28.78µm
_15_,26.22µm
_13_,24.54µm
net2,21.78µm
_19_,20.06µm
_11_,16.96µm
_02_,16.62µm
_05_,15.22µm
_01_,12.76µm
_12_,12.755µm
_16_,12µm
net11,10.92µm
net12,10.88µm
_03_,10.42µm
P[6],10.32µm
P[7],10.32µm
_23_,9.94µm
B[0],9.64µm
_18_,9.135µm
P[2],8.96µm
_08_,7.19µm
_09_,6.4µm
A[3],6.31µm
_00_,6.3µm
B[1],6.09µm
_20_,5.96µm
B[2],5.63µm
A[2],5.41µm
A[0],5.29µm
net9,5.26µm
B[3],5.07µm
P[1],5.07µm
_14_,4.82µm
P[3],4.73µm
A[1],4.61µm
P[4],4.39µm
P[5],4.39µm
net13,4.36µm
_21_,4.02µm
net16,3.93µm
_06_,2.96µm
net10,2.96µm
net15,2.84µm
_07_,2.62µm
net5,2.62µm
net14,2.5µm
_17_,1.7µm
_22_,1.38µm
_24_,1.38µm
_04_,1.14µm
_10_,0.92µm
