net,length_um
net13,232.94µm
net35,186.12µm
net33,163.255µm
net4,162.08µm
net9,160.96µm
net6,156.22µm
net1,148.28µm
net8,145.44µm
net2,144.82µm
net36,144.66µm
net39,123.87µm
net10,117.4µm
net7,111.92µm
net45,110.68µm
net3,110.64µm
net50,109.5µm
net12,109.18µm
net59,102.08µm
net11,100.83µm
net47,99.08µm
net48,92.52µm
_054_,91.72µm
net60,91.7µm
net66,89.08µm
net41,84.195µm
net44,83.7µm
net40,83.64µm
net38,76.31µm
_036_,75.7µm
net37,73.32µm
net46,67.72µm
_064_,65.86µm
net34,65.13µm
_156_,63.84µm
_019_,63.17µm
net49,60.66µm
net57,58.98µm
net15,57.22µm
_177_,56.18µm
net58,54.44µm
net18,53.14µm
_229_,51.595µm
_075_,51.58µm
net32,50.56µm
net21,47.98µm
net42,47.92µm
net20,46.6µm
net51,45.515µm
_090_,45.38µm
_021_,45.36µm
net19,44.1µm
_117_,44.01µm
_081_,44µm
_120_,43.72µm
_146_,43.22µm
_082_,43.165µm
_073_,40.98µm
_041_,40.6µm
net43,40.23µm
net31,37.88µm
_190_,37.64µm
_169_,36.7µm
_157_,36.5µm
_018_,35.64µm
_094_,35.3µm
_167_,33.61µm
_175_,32.62µm
_109_,31.5µm
net64,31.24µm
_050_,30.38µm
net14,30.38µm
_205_,30.08µm
_199_,29.39µm
_173_,29.01µm
_092_,28.815µm
_014_,28.78µm
_060_,28.48µm
_000_,28.02µm
_108_,28µm
_178_,27.68µm
_122_,27.5µm
net29,27.26µm
_121_,26.94µm
_188_,26.4µm
_171_,25.92µm
_182_,25.595µm
net30,25.54µm
_093_,24.76µm
_005_,24.72µm
_220_,24.44µm
_211_,24.22µm
_180_,24.2µm
_154_,23.96µm
_225_,23.82µm
_187_,23.66µm
_107_,23.64µm
_006_,22.72µm
_099_,22.68µm
net16,22.68µm
_101_,22.34µm
_189_,22.34µm
_125_,22.28µm
_086_,22.16µm
_020_,21.42µm
_068_,21.2µm
_098_,21.08µm
_130_,20.68µm
_001_,20.2µm
_200_,20.2µm
_015_,20.16µm
_044_,20.08µm
_052_,19.9µm
_105_,19.58µm
_033_,19.36µm
_126_,19.16µm
_207_,18.94µm
_007_,18.7µm
_100_,18.68µm
_061_,18.58µm
_091_,18.58µm
_062_,18.56µm
_114_,18.46µm
_232_,18.395µm
_212_,18.3µm
_065_,17.98µm
_197_,17.92µm
net74,17.91µm
_103_,17.72µm
_027_,17.68µm
_032_,17.66µm
_077_,17.52µm
_214_,17.42µm
_138_,17.1µm
_209_,16.82µm
_034_,16.72µm
_084_,16.64µm
_145_,16.48µm
_150_,16.4µm
net26,16.1µm
_087_,15.84µm
_106_,15.78µm
_185_,15.76µm
_191_,15.76µm
_135_,15.72µm
_140_,15.68µm
_152_,15.56µm
_161_,15.38µm
P[13],15.36µm
_013_,15.12µm
_134_,14.9µm
_213_,14.9µm
_160_,14.83µm
_148_,14.76µm
_104_,14.72µm
P[10],14.44µm
_204_,14.375µm
_012_,14.36µm
_124_,14.34µm
_010_,14.26µm
_047_,14.14µm
_221_,14.12µm
_096_,14.1µm
_208_,14.1µm
_003_,13.9µm
_129_,13.78µm
_029_,13.64µm
net73,13.62µm
_172_,13.58µm
_008_,13.56µm
_011_,13.56µm
_223_,13.56µm
_028_,13.34µm
_095_,13.3µm
P[11],13.06µm
P[12],13.06µm
_198_,12.98µm
_102_,12.82µm
_127_,12.72µm
_219_,12.58µm
A[3],12.4µm
_137_,12.08µm
_168_,12.02µm
_224_,11.86µm
_038_,11.54µm
_076_,11.54µm
_031_,11.38µm
_023_,11.34µm
net63,11.32µm
_057_,11.24µm
_080_,11.2µm
_116_,11.2µm
_133_,11.16µm
A[0],11.14µm
_004_,11.14µm
_231_,11.14µm
_158_,10.91µm
_186_,10.88µm
_067_,10.86µm
_210_,10.82µm
_216_,10.8µm
net25,10.66µm
_179_,10.62µm
net53,10.4µm
_016_,10.34µm
_144_,10.32µm
_110_,10.28µm
_227_,10.22µm
_078_,10.16µm
_226_,10.04µm
_017_,9.88µm
_119_,9.86µm
net75,9.86µm
_139_,9.74µm
_112_,9.72µm
_074_,9.7µm
_037_,9.56µm
_215_,9.545µm
_123_,9.5µm
_166_,9.44µm
_194_,9.38µm
_024_,9.16µm
_176_,9.16µm
P[3],8.96µm
_128_,8.9µm
_136_,8.88µm
A[2],8.84µm
A[1],8.72µm
B[2],8.72µm
B[3],8.72µm
_070_,8.72µm
_174_,8.72µm
P[1],8.5µm
P[2],8.5µm
_149_,8.5µm
_079_,8.44µm
_022_,8.38µm
_202_,8.36µm
_083_,8.32µm
_151_,8.28µm
_192_,8.24µm
net28,8.14µm
_159_,8.06µm
net5,8.02µm
net27,8.02µm
_193_,7.8µm
_042_,7.64µm
_085_,7.62µm
net61,7.58µm
_143_,7.52µm
_089_,7.38µm
_063_,7.32µm
_051_,7.26µm
_170_,7.24µm
_230_,7.215µm
_111_,7.1µm
_183_,7.1µm
net17,7.1µm
net52,6.86µm
_195_,6.815µm
B[5],6.77µm
_069_,6.74µm
_088_,6.72µm
_035_,6.66µm
_196_,6.62µm
net56,6.62µm
_045_,6.6µm
_142_,6.6µm
_049_,6.52µm
P[14],6.43µm
P[15],6.43µm
P[9],6.43µm
_147_,6.32µm
_131_,6.3µm
_046_,6.26µm
_025_,6.18µm
_132_,6.18µm
A[5],6.09µm
B[0],6.09µm
B[6],5.97µm
_039_,5.95µm
_097_,5.82µm
_002_,5.8µm
P[6],5.75µm
_009_,5.74µm
net24,5.68µm
_113_,5.6µm
net22,5.56µm
_201_,5.52µm
_218_,5.4µm
A[6],5.29µm
net55,5.11µm
P[0],5.07µm
P[4],5.07µm
net67,5.02µm
A[4],4.95µm
A[7],4.95µm
B[7],4.95µm
_203_,4.94µm
_026_,4.88µm
net72,4.88µm
_181_,4.8µm
_072_,4.78µm
B[4],4.73µm
P[5],4.73µm
B[1],4.61µm
_206_,4.48µm
_228_,4.46µm
net62,4.44µm
P[7],4.39µm
P[8],4.39µm
_059_,4.34µm
_071_,4.11µm
_222_,4.02µm
_115_,3.88µm
_153_,3.86µm
_053_,3.54µm
_162_,3.42µm
_043_,3.1µm
_164_,3.1µm
_217_,3.1µm
_030_,3.08µm
_118_,3.08µm
mul_ll.mul_ll.pp2,2.96µm
_066_,2.84µm
_184_,2.74µm
_163_,2.52µm
_056_,2.5µm
_155_,2.5µm
mul_ll.mul_ll.pp1,2.3µm
net23,2.3µm
_055_,2.18µm
_058_,2.18µm
net54,2.16µm
_048_,2.04µm
net65,1.84µm
_165_,1.6µm
_141_,1.26µm
_040_,0.92µm
