Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_405,VPWR,li1,192.2800,187.6800,1.799944
FILLER_64_393,VPWR,li1,189.0600,187.6800,1.799944
FILLER_64_389,VPWR,li1,185.1500,187.6800,1.799944
FILLER_64_377,VPWR,li1,181.7000,187.6800,1.799944
FILLER_64_365,VPWR,li1,176.1800,187.6800,1.799944
FILLER_64_361,VPWR,li1,172.2700,187.6800,1.799926
FILLER_64_349,VPWR,li1,168.8200,187.6800,1.799907
FILLER_64_337,VPWR,li1,163.3000,187.6800,1.799875
FILLER_64_330,VPWR,li1,158.7000,187.6800,1.799850
FILLER_64_318,VPWR,li1,154.5600,187.6800,1.799826
FILLER_64_296,VPWR,li1,144.4400,187.6800,1.799780
FILLER_64_289,VPWR,li1,138.6900,187.6800,1.799758
FILLER_64_281,VPWR,li1,136.6200,187.6800,1.799754
FILLER_64_277,VPWR,li1,133.6300,187.6800,1.799748
FILLER_64_265,VPWR,li1,130.1800,187.6800,1.799741
FILLER_64_253,VPWR,li1,124.6600,187.6800,1.799730
FILLER_64_249,VPWR,li1,120.7500,187.6800,1.799722
FILLER_64_233,VPWR,li1,112.9300,187.6800,1.799720
FILLER_64_225,VPWR,li1,110.8600,187.6800,1.799723
FILLER_64_221,VPWR,li1,107.8700,187.6800,1.799727
FILLER_64_209,VPWR,li1,104.4200,187.6800,1.799732
FILLER_64_197,VPWR,li1,98.9000,187.6800,1.799739
FILLER_64_193,VPWR,li1,94.9900,187.6800,1.799745
FILLER_64_181,VPWR,li1,91.5400,187.6800,1.799749
FILLER_64_169,VPWR,li1,86.0200,187.6800,1.799757
FILLER_64_167,VPWR,li1,82.5700,187.6800,1.799762
FILLER_64_159,VPWR,li1,80.5000,187.6800,1.799764
FILLER_64_149,VPWR,li1,74.2900,187.6800,1.799776
FILLER_64_141,VPWR,li1,72.2200,187.6800,1.799782
FILLER_64_138,VPWR,li1,69.4600,187.6800,1.799790
FILLER_64_125,VPWR,li1,63.9400,187.6800,1.799808
FILLER_64_113,VPWR,li1,60.2600,187.6800,1.799821
FILLER_64_109,VPWR,li1,56.3500,187.6800,1.799836
FILLER_64_97,VPWR,li1,52.9000,187.6800,1.799848
FILLER_64_85,VPWR,li1,47.3800,187.6800,1.799869
FILLER_64_81,VPWR,li1,43.4700,187.6800,1.799883
FILLER_64_69,VPWR,li1,40.0200,187.6800,1.799896
FILLER_64_57,VPWR,li1,34.5000,187.6800,1.799916
FILLER_64_53,VPWR,li1,30.5900,187.6800,1.799930
FILLER_64_41,VPWR,li1,27.1400,187.6800,1.799943
FILLER_64_29,VPWR,li1,21.6200,187.6800,1.799963
FILLER_64_27,VPWR,li1,18.1700,187.6800,1.799963
FILLER_64_15,VPWR,li1,15.1800,187.6800,1.799963
FILLER_64_3,VPWR,li1,9.6600,187.6800,1.799963
FILLER_63_405,VPWR,li1,192.2800,182.2400,1.800000
FILLER_63_393,VPWR,li1,189.0600,182.2400,1.800000
FILLER_63_391,VPWR,li1,185.6100,182.2400,1.800000
FILLER_63_385,VPWR,li1,184.0000,182.2400,1.800000
FILLER_63_373,VPWR,li1,179.8600,182.2400,1.800000
FILLER_63_361,VPWR,li1,174.3400,182.2400,1.800000
FILLER_63_349,VPWR,li1,168.8200,182.2400,1.800000
FILLER_63_337,VPWR,li1,163.3000,182.2400,1.800000
FILLER_63_335,VPWR,li1,159.8500,182.2400,1.800000
FILLER_63_329,VPWR,li1,158.2400,182.2400,1.800000
FILLER_63_317,VPWR,li1,154.1000,182.2400,1.800000
FILLER_63_305,VPWR,li1,148.5800,182.2400,1.800000
FILLER_63_293,VPWR,li1,143.0600,182.2400,1.800000
FILLER_63_281,VPWR,li1,137.5400,182.2400,1.800000
FILLER_63_279,VPWR,li1,134.0900,182.2400,1.800000
FILLER_63_273,VPWR,li1,132.4800,182.2400,1.800000
FILLER_63_261,VPWR,li1,128.3400,182.2400,1.800000
FILLER_63_249,VPWR,li1,122.8200,182.2400,1.800000
FILLER_63_237,VPWR,li1,117.3000,182.2400,1.800000
FILLER_63_225,VPWR,li1,111.7800,182.2400,1.800000
FILLER_63_223,VPWR,li1,108.3300,182.2400,1.800000
FILLER_63_217,VPWR,li1,106.7200,182.2400,1.800000
FILLER_63_205,VPWR,li1,102.5800,182.2400,1.800000
FILLER_63_193,VPWR,li1,97.0600,182.2400,1.800000
FILLER_63_181,VPWR,li1,91.5400,182.2400,1.800000
FILLER_63_169,VPWR,li1,86.0200,182.2400,1.800000
FILLER_63_167,VPWR,li1,82.5700,182.2400,1.800000
FILLER_63_161,VPWR,li1,80.9600,182.2400,1.800000
FILLER_63_149,VPWR,li1,76.8200,182.2400,1.800000
FILLER_63_137,VPWR,li1,71.3000,182.2400,1.800000
FILLER_63_125,VPWR,li1,65.7800,182.2400,1.800000
FILLER_63_113,VPWR,li1,60.2600,182.2400,1.800000
FILLER_63_111,VPWR,li1,56.8100,182.2400,1.800000
FILLER_63_105,VPWR,li1,55.2000,182.2400,1.800000
FILLER_63_93,VPWR,li1,51.0600,182.2400,1.800000
FILLER_63_81,VPWR,li1,45.5400,182.2400,1.800000
FILLER_63_69,VPWR,li1,40.0200,182.2400,1.800000
FILLER_63_57,VPWR,li1,34.5000,182.2400,1.800000
FILLER_63_55,VPWR,li1,31.0500,182.2400,1.800000
FILLER_63_51,VPWR,li1,29.9000,182.2400,1.800000
FILLER_63_39,VPWR,li1,26.2200,182.2400,1.800000
FILLER_63_27,VPWR,li1,20.7000,182.2400,1.800000
FILLER_63_15,VPWR,li1,15.1800,182.2400,1.800000
FILLER_63_3,VPWR,li1,9.6600,182.2400,1.800000
FILLER_62_401,VPWR,li1,191.3600,182.2400,1.800000
FILLER_62_389,VPWR,li1,187.2200,182.2400,1.800000
FILLER_62_377,VPWR,li1,181.7000,182.2400,1.800000
FILLER_62_365,VPWR,li1,176.1800,182.2400,1.800000
FILLER_62_363,VPWR,li1,172.7300,182.2400,1.800000
FILLER_62_357,VPWR,li1,171.1200,182.2400,1.800000
FILLER_62_345,VPWR,li1,166.9800,182.2400,1.800000
FILLER_62_333,VPWR,li1,161.4600,182.2400,1.800000
FILLER_62_321,VPWR,li1,155.9400,182.2400,1.800000
FILLER_62_309,VPWR,li1,150.4200,182.2400,1.800000
FILLER_62_307,VPWR,li1,146.9700,182.2400,1.800000
FILLER_62_301,VPWR,li1,145.3600,182.2400,1.800000
FILLER_62_289,VPWR,li1,141.2200,182.2400,1.800000
FILLER_62_277,VPWR,li1,135.7000,182.2400,1.800000
FILLER_62_265,VPWR,li1,130.1800,182.2400,1.800000
FILLER_62_253,VPWR,li1,124.6600,182.2400,1.800000
FILLER_62_251,VPWR,li1,121.2100,182.2400,1.800000
FILLER_62_245,VPWR,li1,119.6000,182.2400,1.800000
FILLER_62_233,VPWR,li1,115.4600,182.2400,1.800000
FILLER_62_221,VPWR,li1,109.9400,182.2400,1.800000
FILLER_62_209,VPWR,li1,104.4200,182.2400,1.800000
FILLER_62_197,VPWR,li1,98.9000,182.2400,1.800000
FILLER_62_195,VPWR,li1,95.4500,182.2400,1.800000
FILLER_62_189,VPWR,li1,93.8400,182.2400,1.800000
FILLER_62_177,VPWR,li1,89.7000,182.2400,1.800000
FILLER_62_165,VPWR,li1,84.1800,182.2400,1.800000
FILLER_62_153,VPWR,li1,78.6600,182.2400,1.800000
FILLER_62_141,VPWR,li1,73.1400,182.2400,1.800000
FILLER_62_139,VPWR,li1,69.6900,182.2400,1.800000
FILLER_62_133,VPWR,li1,68.0800,182.2400,1.800000
FILLER_62_121,VPWR,li1,63.9400,182.2400,1.800000
FILLER_62_109,VPWR,li1,58.4200,182.2400,1.800000
FILLER_62_97,VPWR,li1,52.9000,182.2400,1.800000
FILLER_62_85,VPWR,li1,47.3800,182.2400,1.800000
FILLER_62_83,VPWR,li1,43.9300,182.2400,1.800000
FILLER_62_77,VPWR,li1,42.3200,182.2400,1.800000
FILLER_62_65,VPWR,li1,38.1800,182.2400,1.800000
FILLER_62_53,VPWR,li1,32.6600,182.2400,1.800000
