Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,41.4000,35.3600,1.799990
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799990
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799990
FILLER_9_51,VPWR,li1,29.2100,35.3600,1.799991
FILLER_9_47,VPWR,li1,28.0600,35.3600,1.799991
FILLER_9_35,VPWR,li1,24.3800,35.3600,1.799992
FILLER_9_29,VPWR,li1,19.3200,35.3600,1.799992
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799992
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799992
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799992
FILLER_8_78,VPWR,li1,42.0900,35.3600,1.799990
FILLER_8_70,VPWR,li1,39.5600,35.3600,1.799990
FILLER_8_58,VPWR,li1,34.9600,35.3600,1.799990
FILLER_8_45,VPWR,li1,26.4500,35.3600,1.799991
FILLER_8_41,VPWR,li1,25.3000,35.3600,1.799992
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799993
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799992
FILLER_8_15,VPWR,li1,12.8800,35.3600,1.799992
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799992
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799989
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799990
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.799990
FILLER_7_48,VPWR,li1,28.2900,29.9200,1.799990
FILLER_7_36,VPWR,li1,24.8400,29.9200,1.799991
FILLER_7_27,VPWR,li1,18.1700,29.9200,1.799988
FILLER_7_7,VPWR,li1,10.5800,29.9200,1.799985
FILLER_6_74,VPWR,li1,40.4800,29.9200,1.799989
FILLER_6_62,VPWR,li1,36.8000,29.9200,1.799990
FILLER_6_46,VPWR,li1,27.3700,29.9200,1.799990
FILLER_6_34,VPWR,li1,23.9200,29.9200,1.799991
FILLER_6_21,VPWR,li1,15.6400,29.9200,1.799987
FILLER_6_13,VPWR,li1,13.3400,29.9200,1.799986
FILLER_5_76,VPWR,li1,40.9400,24.4800,1.799994
FILLER_5_64,VPWR,li1,37.7200,24.4800,1.799994
FILLER_5_45,VPWR,li1,26.4500,24.4800,1.799995
FILLER_5_37,VPWR,li1,24.3800,24.4800,1.799996
FILLER_5_25,VPWR,li1,19.7800,24.4800,1.799995
FILLER_5_18,VPWR,li1,14.2600,24.4800,1.799994
FILLER_5_6,VPWR,li1,11.0400,24.4800,1.799994
FILLER_4_77,VPWR,li1,41.1700,24.4800,1.799994
FILLER_4_69,VPWR,li1,39.1000,24.4800,1.799994
FILLER_4_57,VPWR,li1,34.5000,24.4800,1.799994
FILLER_4_46,VPWR,li1,27.6000,24.4800,1.799995
FILLER_4_34,VPWR,li1,23.9200,24.4800,1.799996
FILLER_4_22,VPWR,li1,17.0200,24.4800,1.799995
FILLER_4_7,VPWR,li1,11.5000,24.4800,1.799994
FILLER_3_78,VPWR,li1,42.0900,19.0400,1.799984
FILLER_3_66,VPWR,li1,38.6400,19.0400,1.799985
FILLER_3_54,VPWR,li1,30.8200,19.0400,1.799988
FILLER_3_46,VPWR,li1,28.5200,19.0400,1.799988
FILLER_3_34,VPWR,li1,23.9200,19.0400,1.799990
FILLER_3_16,VPWR,li1,13.1100,19.0400,1.799988
FILLER_3_11,VPWR,li1,11.0400,19.0400,1.799988
FILLER_3_3,VPWR,li1,8.7400,19.0400,1.799987
FILLER_2_69,VPWR,li1,39.1000,19.0400,1.799985
FILLER_2_57,VPWR,li1,32.2000,19.0400,1.799987
FILLER_2_49,VPWR,li1,28.5200,19.0400,1.799988
FILLER_2_41,VPWR,li1,26.2200,19.0400,1.799989
FILLER_2_29,VPWR,li1,21.6200,19.0400,1.799991
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799989
FILLER_2_15,VPWR,li1,13.1100,19.0400,1.799988
FILLER_2_7,VPWR,li1,10.5800,19.0400,1.799988
FILLER_1_69,VPWR,li1,40.0200,13.6000,1.799996
FILLER_1_57,VPWR,li1,34.5000,13.6000,1.799996
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799996
FILLER_1_49,VPWR,li1,29.4400,13.6000,1.799996
FILLER_1_45,VPWR,li1,26.4500,13.6000,1.799996
FILLER_1_41,VPWR,li1,25.3000,13.6000,1.799997
FILLER_1_27,VPWR,li1,19.3200,13.6000,1.799997
FILLER_1_15,VPWR,li1,15.1800,13.6000,1.799997
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799997
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799996
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799996
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799996
FILLER_0_48,VPWR,li1,28.5200,13.6000,1.799996
FILLER_0_42,VPWR,li1,25.5300,13.6000,1.799996
FILLER_0_34,VPWR,li1,22.0800,13.6000,1.799997
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799997
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799997
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799997
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799997
output16,VPWR,li1,30.3600,35.3600,1.799990
output15,VPWR,li1,33.5800,35.3600,1.799990
output14,VPWR,li1,20.7000,35.3600,1.799992
output13,VPWR,li1,7.8200,29.9200,1.799984
output12,VPWR,li1,7.8200,19.0400,1.799987
output11,VPWR,li1,41.8600,19.0400,1.799984
output10,VPWR,li1,7.8200,24.4800,1.799993
output9,VPWR,li1,23.9200,13.6000,1.799997
input8,VPWR,li1,9.2000,29.9200,1.799985
input7,VPWR,li1,42.0900,24.4800,1.799994
input6,VPWR,li1,7.5900,24.4800,1.799993
input5,VPWR,li1,26.9100,13.6000,1.799996
input4,VPWR,li1,42.0900,29.9200,1.799989
input3,VPWR,li1,30.1300,13.6000,1.799996
input2,VPWR,li1,42.0900,24.4800,1.799994
input1,VPWR,li1,20.4700,13.6000,1.799997
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799990
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799992
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799992
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799990
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799988
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799995
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799995
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799988
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799990
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799996
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799996
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799997
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799992
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799992
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799984
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799984
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799993
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.799993
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.799987
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.799987
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799997
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799997
PHY_EDGE_ROW_9_Right_9,VPWR,li1,43.4700,35.3600,1.799990
PHY_EDGE_ROW_8_Right_8,VPWR,li1,43.4700,35.3600,1.799990
PHY_EDGE_ROW_7_Right_7,VPWR,li1,43.4700,29.9200,1.799989
PHY_EDGE_ROW_6_Right_6,VPWR,li1,43.4700,29.9200,1.799989
PHY_EDGE_ROW_5_Right_5,VPWR,li1,43.4700,24.4800,1.799994
PHY_EDGE_ROW_4_Right_4,VPWR,li1,43.4700,24.4800,1.799994
PHY_EDGE_ROW_3_Right_3,VPWR,li1,43.4700,19.0400,1.799984
PHY_EDGE_ROW_2_Right_2,VPWR,li1,43.4700,19.0400,1.799984
PHY_EDGE_ROW_1_Right_1,VPWR,li1,43.4700,13.6000,1.799996
PHY_EDGE_ROW_0_Right_0,VPWR,li1,43.4700,13.6000,1.799996
_57_,VPWR,li1,12.1900,19.0400,1.799988
_56_,VPWR,li1,23.6900,13.6000,1.799997
_55_,VPWR,li1,14.4900,19.0400,1.799988
_54_,VPWR,li1,16.1000,19.0400,1.799989
_53_,VPWR,li1,28.2900,35.3600,1.799991
_52_,VPWR,li1,31.0500,35.3600,1.799990
_51_,VPWR,li1,20.2400,29.9200,1.799990
_50_,VPWR,li1,14.9500,35.3600,1.799992
_49_,VPWR,li1,13.1100,29.9200,1.799986
_48_,VPWR,li1,17.2500,29.9200,1.799988
_47_,VPWR,li1,17.2500,35.3600,1.799992
_46_,VPWR,li1,30.1300,24.4800,1.799995
_45_,VPWR,li1,14.9500,29.9200,1.799987
_44_,VPWR,li1,20.0100,29.9200,1.799990
_43_,VPWR,li1,17.0200,29.9200,1.799988
_42_,VPWR,li1,20.0100,19.0400,1.799990
_41_,VPWR,li1,30.3600,19.0400,1.799988
_40_,VPWR,li1,17.2500,19.0400,1.799989
_39_,VPWR,li1,14.9500,24.4800,1.799994
_38_,VPWR,li1,15.8700,24.4800,1.799994
_37_,VPWR,li1,20.0100,24.4800,1.799995
_36_,VPWR,li1,29.6700,29.9200,1.799990
_35_,VPWR,li1,32.6600,29.9200,1.799990
_34_,VPWR,li1,29.6700,24.4800,1.799995
_33_,VPWR,li1,33.3500,24.4800,1.799994
_32_,VPWR,li1,29.6700,29.9200,1.799990
_31_,VPWR,li1,27.3700,24.4800,1.799995
_30_,VPWR,li1,34.2700,19.0400,1.799986
_29_,VPWR,li1,36.5700,19.0400,1.799985
_28_,VPWR,li1,32.8900,19.0400,1.799987
_27_,VPWR,li1,34.9600,19.0400,1.799986
_26_,VPWR,li1,27.3700,13.6000,1.799996
_25_,VPWR,li1,21.8500,13.6000,1.799997
_24_,VPWR,li1,14.4900,19.0400,1.799988
