Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,40.4800,35.3600,1.799989
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799989
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799990
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799991
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799992
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_9_23,VPWR,li1,16.3300,35.3600,1.799992
FILLER_9_15,VPWR,li1,14.2600,35.3600,1.799992
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799992
FILLER_8_79,VPWR,li1,42.3200,35.3600,1.799988
FILLER_8_67,VPWR,li1,39.1000,35.3600,1.799989
FILLER_8_53,VPWR,li1,30.3600,35.3600,1.799991
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799992
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_8_26,VPWR,li1,17.9400,35.3600,1.799992
FILLER_8_15,VPWR,li1,13.3400,35.3600,1.799992
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799992
FILLER_7_75,VPWR,li1,40.7100,29.9200,1.799988
FILLER_7_67,VPWR,li1,38.1800,29.9200,1.799988
FILLER_7_63,VPWR,li1,34.7300,29.9200,1.799988
FILLER_7_57,VPWR,li1,33.1200,29.9200,1.799989
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.799989
FILLER_7_42,VPWR,li1,27.6000,29.9200,1.799990
FILLER_7_33,VPWR,li1,20.9300,29.9200,1.799992
FILLER_7_19,VPWR,li1,14.7200,29.9200,1.799989
FILLER_7_7,VPWR,li1,11.5000,29.9200,1.799988
FILLER_6_70,VPWR,li1,37.9500,29.9200,1.799988
FILLER_6_62,VPWR,li1,35.8800,29.9200,1.799988
FILLER_6_51,VPWR,li1,29.9000,29.9200,1.799989
FILLER_6_39,VPWR,li1,26.2200,29.9200,1.799990
FILLER_6_29,VPWR,li1,19.3200,29.9200,1.799990
FILLER_6_15,VPWR,li1,14.2600,29.9200,1.799989
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.799987
FILLER_5_70,VPWR,li1,39.5600,24.4800,1.799993
FILLER_5_51,VPWR,li1,29.4400,24.4800,1.799994
FILLER_5_39,VPWR,li1,26.2200,24.4800,1.799995
FILLER_5_28,VPWR,li1,19.7800,24.4800,1.799995
FILLER_5_22,VPWR,li1,15.8700,24.4800,1.799994
FILLER_5_18,VPWR,li1,14.7200,24.4800,1.799994
FILLER_5_6,VPWR,li1,11.0400,24.4800,1.799994
FILLER_4_72,VPWR,li1,40.0200,24.4800,1.799993
FILLER_4_57,VPWR,li1,31.9700,24.4800,1.799993
FILLER_4_53,VPWR,li1,30.8200,24.4800,1.799994
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799994
