net,length_um
net6,39µm
net2,35.04µm
net8,29.5µm
net3,29.26µm
_11_,27.28µm
_09_,22.98µm
net1,19.62µm
net7,19.54µm
_14_,17.58µm
net5,17.52µm
net4,14.96µm
_23_,14.68µm
_08_,13.38µm
_17_,13.16µm
P[5],10.32µm
_13_,9.86µm
_10_,9.7µm
A[0],8.72µm
A[2],8.72µm
B[2],8.72µm
_22_,8.56µm
P[1],8.5µm
_04_,8.06µm
_02_,7.66µm
_21_,7.1µm
_12_,6.94µm
_01_,6.77µm
_07_,6.32µm
net14,6.06µm
_15_,6.04µm
A[1],5.97µm
P[6],5.75µm
net10,5.72µm
_06_,5.6µm
_18_,5.6µm
B[3],5.29µm
net9,5.28µm
P[0],5.07µm
P[7],5.07µm
net12,4.94µm
_00_,4.8µm
A[3],4.61µm
B[1],4.61µm
P[2],4.39µm
P[3],4.39µm
P[4],4.39µm
net13,4.36µm
_24_,4µm
B[0],3.93µm
_19_,3.88µm
net16,3.56µm
net11,3.1µm
net15,2.96µm
_05_,2.62µm
_16_,2.62µm
_20_,2.16µm
mul_ll.pp2,1.84µm
_03_,0.92µm
mul_ll.pp1,0.46µm
