Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VGND,li1,41.4000,38.0800,0.000007
FILLER_9_63,VGND,li1,37.2600,38.0800,0.000007
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000006
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000006
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000005
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000005
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000006
FILLER_9_19,VGND,li1,16.1000,38.0800,0.000007
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000008
FILLER_8_80,VGND,li1,42.5500,32.6400,0.000015
FILLER_8_76,VGND,li1,41.4000,32.6400,0.000015
FILLER_8_64,VGND,li1,37.7200,32.6400,0.000013
FILLER_8_52,VGND,li1,32.2000,32.6400,0.000011
FILLER_8_41,VGND,li1,25.3000,32.6400,0.000007
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000007
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000007
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000007
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000007
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000007
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000014
FILLER_7_70,VGND,li1,39.1000,32.6400,0.000014
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000010
FILLER_7_49,VGND,li1,29.4400,32.6400,0.000010
FILLER_7_35,VGND,li1,22.3100,32.6400,0.000007
FILLER_7_27,VGND,li1,19.7800,32.6400,0.000007
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000007
FILLER_7_11,VGND,li1,10.8100,32.6400,0.000007
FILLER_7_7,VGND,li1,9.6600,32.6400,0.000007
FILLER_6_69,VGND,li1,39.1000,27.2000,0.000004
FILLER_6_63,VGND,li1,35.1900,27.2000,0.000004
FILLER_6_59,VGND,li1,32.8900,27.2000,0.000004
FILLER_6_55,VGND,li1,31.7400,27.2000,0.000004
FILLER_6_43,VGND,li1,28.0600,27.2000,0.000003
FILLER_6_29,VGND,li1,20.2400,27.2000,0.000004
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000004
FILLER_6_18,VGND,li1,15.6400,27.2000,0.000004
FILLER_6_6,VGND,li1,11.0400,27.2000,0.000005
FILLER_5_77,VGND,li1,41.8600,27.2000,0.000004
FILLER_5_65,VGND,li1,38.1800,27.2000,0.000004
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000004
FILLER_5_49,VGND,li1,29.4400,27.2000,0.000004
FILLER_5_40,VGND,li1,24.3800,27.2000,0.000003
FILLER_5_28,VGND,li1,21.1600,27.2000,0.000004
FILLER_5_16,VGND,li1,15.6400,27.2000,0.000004
FILLER_4_80,VGND,li1,42.5500,21.7600,0.000004
FILLER_4_74,VGND,li1,40.9400,21.7600,0.000004
FILLER_4_62,VGND,li1,36.8000,21.7600,0.000004
FILLER_4_50,VGND,li1,31.2800,21.7600,0.000004
FILLER_4_41,VGND,li1,25.7600,21.7600,0.000004
FILLER_4_36,VGND,li1,22.5400,21.7600,0.000005
FILLER_4_26,VGND,li1,17.9400,21.7600,0.000006
FILLER_4_13,VGND,li1,12.4200,21.7600,0.000007
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000004
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000004
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000004
FILLER_3_46,VGND,li1,28.5200,21.7600,0.000004
FILLER_3_35,VGND,li1,22.5400,21.7600,0.000005
FILLER_3_23,VGND,li1,18.8600,21.7600,0.000006
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000008
FILLER_2_75,VGND,li1,40.7100,16.3200,0.000013
FILLER_2_67,VGND,li1,38.1800,16.3200,0.000012
FILLER_2_55,VGND,li1,33.5800,16.3200,0.000011
FILLER_2_46,VGND,li1,26.9100,16.3200,0.000009
FILLER_2_29,VGND,li1,20.2400,16.3200,0.000010
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000010
FILLER_2_13,VGND,li1,14.2600,16.3200,0.000011
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000013
FILLER_1_72,VGND,li1,39.5600,16.3200,0.000013
FILLER_1_53,VGND,li1,30.5900,16.3200,0.000010
FILLER_1_35,VGND,li1,23.0000,16.3200,0.000009
FILLER_1_19,VGND,li1,16.1000,16.3200,0.000010
FILLER_1_7,VGND,li1,10.1200,16.3200,0.000012
FILLER_0_75,VGND,li1,41.4000,10.8800,0.000003
FILLER_0_63,VGND,li1,37.2600,10.8800,0.000003
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000003
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000003
FILLER_0_48,VGND,li1,28.5200,10.8800,0.000003
FILLER_0_41,VGND,li1,25.3000,10.8800,0.000003
FILLER_0_35,VGND,li1,22.3100,10.8800,0.000003
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000003
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000003
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000003
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000003
output16,VGND,li1,7.8200,32.6400,0.000007
output15,VGND,li1,7.8200,38.0800,0.000009
output14,VGND,li1,33.5800,38.0800,0.000007
output13,VGND,li1,41.8600,32.6400,0.000015
output12,VGND,li1,41.8600,27.2000,0.000004
output11,VGND,li1,41.8600,16.3200,0.000014
output10,VGND,li1,20.7000,10.8800,0.000003
output9,VGND,li1,7.8200,16.3200,0.000012
input8,VGND,li1,9.2000,27.2000,0.000005
input7,VGND,li1,30.1300,10.8800,0.000003
input6,VGND,li1,9.2000,16.3200,0.000012
input5,VGND,li1,42.0900,16.3200,0.000014
input4,VGND,li1,7.5900,27.2000,0.000005
input3,VGND,li1,26.9100,10.8800,0.000003
input2,VGND,li1,9.2000,21.7600,0.000008
input1,VGND,li1,23.6900,10.8800,0.000003
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000006
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000006
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000007
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000011
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000004
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000004
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000006
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000004
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000010
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000010
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000003
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000003
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000009
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000005
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000005
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000008
