net,length_um
net13,266.55µm
net35,195.24µm
net39,160.15µm
net1,151.7µm
net15,150.8µm
net4,148.66µm
net6,145.16µm
net2,129.2µm
net43,121.42µm
net72,120.91µm
net8,120.6µm
net7,120.32µm
net12,119.7µm
net34,109.255µm
net9,107.9µm
net11,100.66µm
net36,98.88µm
net16,93.24µm
net46,88.72µm
net75,85.46µm
net42,80.8µm
_144_,78.8µm
net37,78.41µm
net38,78.26µm
net40,77.925µm
net70,77.22µm
net74,76.16µm
net33,75.56µm
net47,72µm
_118_,69.28µm
net60,68.46µm
_051_,67µm
net3,61.255µm
net25,59.04µm
net32,56.36µm
_015_,56.18µm
_091_,55.33µm
net18,55.26µm
net19,53.88µm
net31,53.08µm
net64,52.14µm
_033_,50.8µm
net45,50.8µm
_058_,49.555µm
_078_,49.48µm
net44,46.62µm
net10,46.18µm
net63,44.26µm
_115_,43.67µm
net82,42.5µm
net65,41.46µm
_053_,40.9µm
_190_,40.62µm
_201_,40.52µm
_077_,40.38µm
_196_,39.94µm
_198_,39.6µm
_014_,39.38µm
_228_,38.74µm
net26,37.86µm
_038_,35.9µm
_012_,35.2µm
net30,34.96µm
_083_,33.68µm
_167_,33.48µm
net5,33.16µm
net29,33µm
_177_,32.66µm
_011_,32.36µm
net14,32.24µm
_119_,32.22µm
_090_,32.18µm
_025_,31.77µm
_004_,31.76µm
_049_,31.36µm
_047_,31.02µm
net54,30.54µm
_002_,29.86µm
_212_,29.38µm
_016_,29.08µm
_003_,28.96µm
_089_,28.32µm
_013_,27.98µm
_086_,27.94µm
_182_,27.82µm
_206_,27.79µm
_092_,27.76µm
_178_,27.7µm
_195_,26.42µm
_189_,26.3µm
net20,26.26µm
_030_,26.22µm
_204_,26.22µm
_126_,25.86µm
_172_,25.78µm
_129_,25.75µm
_142_,25.6µm
net50,25.5µm
_170_,24.9µm
_082_,24.76µm
_209_,24.72µm
_074_,24.62µm
_192_,24.22µm
_071_,24.2µm
_061_,23.92µm
net76,23.88µm
_169_,23.74µm
_224_,23.34µm
_072_,23.14µm
net41,22.92µm
_175_,22.82µm
_056_,22.8µm
_134_,22.3µm
_171_,22.22µm
net21,21.86µm
_154_,21.76µm
_220_,21.72µm
_188_,21.66µm
_211_,21.4µm
_106_,21.34µm
_059_,21.24µm
_138_,21.18µm
_041_,21.06µm
_055_,21.04µm
_208_,20.94µm
_100_,20.68µm
_199_,20.06µm
_112_,20.04µm
_007_,19.92µm
_018_,19.88µm
_108_,19.6µm
_168_,19.6µm
_210_,19.14µm
_213_,19.06µm
net66,18.86µm
mul_ll.mul_ll.pp2,18.82µm
_062_,18.58µm
_031_,18.52µm
_103_,18.48µm
_139_,18.47µm
_067_,18.14µm
_099_,17.84µm
_214_,17.76µm
_101_,17.35µm
_152_,17.3µm
_125_,17.285µm
_205_,17.18µm
_155_,16.84µm
_174_,16.82µm
_084_,16.52µm
_102_,16.48µm
_021_,16.455µm
_070_,16.36µm
_120_,16.36µm
_026_,16.34µm
_184_,16.3µm
_150_,16.015µm
_005_,15.94µm
_163_,15.94µm
_148_,15.8µm
_122_,15.78µm
net78,15.48µm
_107_,15.44µm
_202_,15.4µm
P[10],15.36µm
_105_,15.34µm
_000_,15.08µm
_216_,15.06µm
net28,14.88µm
_183_,14.85µm
_032_,14.44µm
_024_,14.26µm
_028_,14.26µm
_063_,14.18µm
_132_,14.1µm
_096_,13.8µm
_176_,13.76µm
_029_,13.62µm
_173_,13.5µm
_065_,13.48µm
_080_,13.46µm
_187_,13.28µm
_124_,13.18µm
_104_,13.08µm
_093_,13.07µm
P[11],13.06µm
P[9],13.06µm
_117_,12.96µm
_017_,12.94µm
_010_,12.8µm
_227_,12.38µm
_001_,12.36µm
_037_,12.12µm
_088_,11.96µm
_193_,11.86µm
_123_,11.84µm
_158_,11.62µm
net55,11.38µm
_128_,11.315µm
_019_,11.22µm
_008_,11.18µm
_044_,11.14µm
_137_,10.92µm
_185_,10.88µm
_027_,10.82µm
net27,10.74µm
_087_,10.7µm
_159_,10.66µm
_180_,10.625µm
_064_,10.62µm
_133_,10.32µm
_223_,10.28µm
B[3],10.22µm
A[2],10.1µm
_095_,9.995µm
_130_,9.98µm
_226_,9.84µm
_143_,9.74µm
_194_,9.74µm
_009_,9.61µm
_110_,9.5µm
_114_,9.5µm
_057_,9.48µm
_121_,9.4µm
_161_,9.4µm
_136_,9.36µm
_166_,9.28µm
_165_,9.24µm
_079_,9.1µm
P[3],8.96µm
_157_,8.86µm
A[1],8.84µm
B[2],8.84µm
A[0],8.72µm
A[3],8.72µm
_147_,8.62µm
P[1],8.5µm
_085_,8.5µm
_068_,8.44µm
_054_,8.14µm
_127_,8.14µm
_219_,8.14µm
_149_,8.08µm
_179_,7.98µm
net59,7.98µm
_140_,7.68µm
_221_,7.64µm
_141_,7.6µm
_156_,7.6µm
_131_,7.51µm
_146_,7.48µm
_066_,7.4µm
_020_,7.22µm
_203_,7.2µm
_022_,7.18µm
_135_,7.18µm
_197_,7.18µm
_043_,7.12µm
net17,7.1µm
_151_,7.08µm
_052_,7.06µm
_035_,6.865µm
net51,6.86µm
B[5],6.77µm
net67,6.76µm
_081_,6.72µm
_225_,6.72µm
_145_,6.66µm
_050_,6.58µm
_218_,6.58µm
_181_,6.48µm
_207_,6.45µm
P[12],6.43µm
_098_,6.4µm
_039_,6.36µm
_073_,6.3µm
_040_,6.18µm
B[1],6.09µm
B[4],6.09µm
P[0],6.09µm
net56,6.02µm
_191_,5.86µm
_217_,5.84µm
_042_,5.82µm
P[5],5.75µm
P[6],5.75µm
net24,5.68µm
A[6],5.63µm
B[7],5.63µm
_097_,5.6µm
_153_,5.52µm
A[5],5.41µm
B[6],5.41µm
net61,5.38µm
A[4],5.29µm
_109_,5.26µm
net62,5.24µm
net58,5.22µm
net53,5.16µm
_111_,5.14µm
P[13],5.07µm
P[14],5.07µm
P[15],5.07µm
P[2],5.07µm
P[7],5.07µm
_034_,5.02µm
_060_,4.92µm
_006_,4.82µm
net23,4.82µm
_162_,4.8µm
_076_,4.76µm
_160_,4.76µm
net69,4.68µm
A[7],4.61µm
_094_,4.6µm
_048_,4.54µm
net71,4.48µm
net84,4.48µm
B[0],4.39µm
P[4],4.39µm
P[8],4.39µm
net73,4.36µm
_186_,4.34µm
_046_,4.22µm
mul_ll.mul_ll.pp1,4.14µm
_116_,4µm
net22,3.64µm
_045_,3.54µm
_200_,3.54µm
net77,3.08µm
_222_,2.98µm
_023_,2.96µm
_113_,2.96µm
net57,2.28µm
_164_,2.18µm
_069_,2.16µm
net49,2.16µm
net68,2.16µm
_215_,2.04µm
net48,1.94µm
_036_,1.7µm
_075_,1.7µm
net83,1.14µm
net79,1.02µm
net52,0.92µm
