Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000009
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000008
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000007
FILLER_9_41,VGND,li1,24.8400,38.0800,0.000005
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000006
FILLER_9_26,VGND,li1,17.9400,38.0800,0.000006
FILLER_9_18,VGND,li1,15.6400,38.0800,0.000007
FILLER_9_7,VGND,li1,8.9700,38.0800,0.000008
FILLER_8_80,VGND,li1,42.5500,32.6400,0.000005
FILLER_8_74,VGND,li1,40.9400,32.6400,0.000005
FILLER_8_53,VGND,li1,31.7400,32.6400,0.000005
FILLER_8_45,VGND,li1,26.4500,32.6400,0.000005
FILLER_8_37,VGND,li1,24.3800,32.6400,0.000004
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000006
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000006
FILLER_8_23,VGND,li1,17.0200,32.6400,0.000006
FILLER_8_3,VGND,li1,7.5900,32.6400,0.000007
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000005
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000005
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000005
FILLER_7_49,VGND,li1,29.4400,32.6400,0.000005
FILLER_7_38,VGND,li1,24.8400,32.6400,0.000004
FILLER_7_20,VGND,li1,15.4100,32.6400,0.000006
FILLER_6_79,VGND,li1,42.3200,27.2000,0.000022
FILLER_6_71,VGND,li1,40.0200,27.2000,0.000021
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000012
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000012
FILLER_6_15,VGND,li1,13.8000,27.2000,0.000013
FILLER_6_3,VGND,li1,7.3600,27.2000,0.000013
FILLER_5_69,VGND,li1,37.4900,27.2000,0.000020
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000018
FILLER_5_44,VGND,li1,28.5200,27.2000,0.000015
FILLER_5_21,VGND,li1,16.1000,27.2000,0.000012
FILLER_5_3,VGND,li1,7.3600,27.2000,0.000013
FILLER_4_79,VGND,li1,42.3200,21.7600,0.000009
FILLER_4_71,VGND,li1,40.0200,21.7600,0.000009
FILLER_4_57,VGND,li1,31.9700,21.7600,0.000008
FILLER_4_45,VGND,li1,28.9800,21.7600,0.000008
FILLER_4_29,VGND,li1,19.0900,21.7600,0.000008
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000008
FILLER_4_21,VGND,li1,16.5600,21.7600,0.000008
FILLER_4_9,VGND,li1,12.4200,21.7600,0.000008
FILLER_3_78,VGND,li1,42.0900,21.7600,0.000009
FILLER_3_70,VGND,li1,39.5600,21.7600,0.000009
FILLER_3_57,VGND,li1,33.1200,21.7600,0.000009
FILLER_3_53,VGND,li1,30.5900,21.7600,0.000008
FILLER_3_26,VGND,li1,20.2400,21.7600,0.000008
FILLER_3_22,VGND,li1,15.8700,21.7600,0.000008
FILLER_3_16,VGND,li1,14.2600,21.7600,0.000008
FILLER_3_10,VGND,li1,10.3500,21.7600,0.000009
FILLER_2_75,VGND,li1,40.4800,16.3200,0.000020
FILLER_2_66,VGND,li1,36.3400,16.3200,0.000018
FILLER_2_60,VGND,li1,33.8100,16.3200,0.000016
FILLER_2_52,VGND,li1,31.2800,16.3200,0.000015
FILLER_2_40,VGND,li1,26.6800,16.3200,0.000012
FILLER_2_29,VGND,li1,20.2400,16.3200,0.000012
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000013
FILLER_2_23,VGND,li1,16.3300,16.3200,0.000013
FILLER_2_14,VGND,li1,12.4200,16.3200,0.000014
FILLER_1_74,VGND,li1,40.2500,16.3200,0.000020
FILLER_1_68,VGND,li1,37.0300,16.3200,0.000019
FILLER_1_57,VGND,li1,33.1200,16.3200,0.000016
FILLER_1_49,VGND,li1,28.9800,16.3200,0.000013
FILLER_1_37,VGND,li1,25.3000,16.3200,0.000011
FILLER_1_13,VGND,li1,11.9600,16.3200,0.000014
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000005
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000005
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000005
FILLER_0_49,VGND,li1,29.4400,10.8800,0.000005
FILLER_0_44,VGND,li1,25.9900,10.8800,0.000005
FILLER_0_36,VGND,li1,23.9200,10.8800,0.000005
FILLER_0_21,VGND,li1,15.8700,10.8800,0.000007
FILLER_0_13,VGND,li1,12.1900,10.8800,0.000007
output16,VGND,li1,29.4400,38.0800,0.000007
output15,VGND,li1,41.8600,38.0800,0.000010
output14,VGND,li1,41.8600,27.2000,0.000022
output13,VGND,li1,41.8600,16.3200,0.000020
output12,VGND,li1,41.8600,16.3200,0.000020
output11,VGND,li1,27.1400,10.8800,0.000005
output10,VGND,li1,11.0400,16.3200,0.000014
output9,VGND,li1,17.4800,10.8800,0.000007
input8,VGND,li1,12.8800,38.0800,0.000007
input7,VGND,li1,11.7300,27.2000,0.000013
input6,VGND,li1,9.2000,16.3200,0.000015
input5,VGND,li1,8.9700,21.7600,0.000009
input4,VGND,li1,9.2000,32.6400,0.000007
