net,length_um
net3,38.88µm
net8,37.58µm
net6,37.44µm
net4,30.88µm
_020_,27.62µm
net5,24.97µm
_016_,24.26µm
_026_,24.1µm
_024_,24.04µm
net7,23.44µm
net2,22.58µm
_002_,22.42µm
net1,20.9µm
_008_,19.9µm
_045_,18.46µm
_010_,17.16µm
_014_,16.52µm
_037_,16.18µm
P[6],14.74µm
_012_,14.4µm
_029_,14.3µm
P[7],14.28µm
_035_,13.76µm
P[1],13.54µm
net17,13.54µm
A[1],13.16µm
_013_,12.77µm
net10,12.48µm
_021_,12.22µm
B[1],11.6µm
_043_,11.34µm
B[0],11.02µm
P[5],9.86µm
_001_,9.695µm
_038_,9.62µm
_000_,9.14µm
P[3],8.96µm
_011_,8.9µm
A[0],8.72µm
P[0],8.5µm
_047_,8.42µm
_041_,7.44µm
_040_,7.22µm
_023_,7.14µm
_004_,7.1µm
_039_,7.08µm
_003_,6.98µm
_018_,6.42µm
_036_,5.98µm
A[3],5.97µm
P[4],5.75µm
_046_,5.74µm
_044_,5.68µm
B[2],5.63µm
_015_,5.62µm
_006_,5.38µm
_017_,5.38µm
_005_,5.26µm
net13,5.22µm
_027_,5.025µm
_033_,4.9µm
B[3],4.73µm
_009_,4.7µm
_030_,4.68µm
net12,4.68µm
_034_,4.42µm
P[2],4.39µm
net15,4.22µm
_019_,4.1µm
A[2],3.93µm
_022_,3.88µm
_028_,3.88µm
_031_,3.88µm
_025_,3.2µm
net16,2.96µm
_032_,2.86µm
_042_,2.04µm
net14,1.72µm
net11,1.6µm
_007_,1.38µm
net9,0.92µm
