net,length_um
net5,38.91µm
net1,35.72µm
net8,33.2µm
net6,31.87µm
_15_,30.14µm
net3,29.66µm
_04_,29.24µm
_19_,27.82µm
_08_,26.39µm
net2,25.2µm
_03_,24.42µm
_16_,22.64µm
_39_,22.2µm
_18_,21.42µm
net4,21.32µm
B[0],18.38µm
_34_,17.14µm
_13_,16.7µm
_17_,16.16µm
_30_,15.3µm
_24_,15.06µm
_28_,14.46µm
_11_,14.28µm
_14_,13.52µm
_02_,13.04µm
P[7],12.65µm
P[1],12.64µm
A[1],12.4µm
net7,12.4µm
_06_,12.38µm
_21_,12.1µm
_41_,11.84µm
_27_,11.42µm
_10_,11.12µm
B[1],11.02µm
_23_,10.6µm
_40_,10.32µm
_01_,10.09µm
B[2],9.65µm
_00_,9.24µm
_43_,8.96µm
A[0],8.72µm
P[0],8.5µm
_20_,8.36µm
_09_,7.98µm
_05_,7.78µm
_26_,7.78µm
net14,7.44µm
net10,6.86µm
_29_,6.62µm
_37_,6.3µm
_12_,6.14µm
_35_,5.8µm
P[5],5.75µm
_36_,5.6µm
B[3],5.41µm
A[2],5.29µm
P[3],5.07µm
A[3],4.61µm
P[2],4.39µm
P[4],4.39µm
P[6],4.39µm
_44_,4.22µm
_42_,4.1µm
_22_,3.54µm
_32_,2.98µm
_25_,2.64µm
_33_,2.62µm
net12,2.5µm
_31_,2.3µm
net15,2.18µm
_07_,2.16µm
_38_,2.04µm
net16,2.04µm
net11,1.6µm
net13,1.14µm
net9,0.92µm
