Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000013
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000011
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000010
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000008
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000009
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000011
FILLER_9_21,VGND,li1,16.5600,38.0800,0.000011
FILLER_9_7,VGND,li1,9.4300,38.0800,0.000013
FILLER_8_79,VGND,li1,42.3200,32.6400,0.000006
FILLER_8_67,VGND,li1,39.1000,32.6400,0.000006
FILLER_8_59,VGND,li1,32.8900,32.6400,0.000005
FILLER_8_53,VGND,li1,31.2800,32.6400,0.000005
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000005
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000005
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000005
FILLER_8_18,VGND,li1,15.6400,32.6400,0.000006
FILLER_8_3,VGND,li1,7.3600,32.6400,0.000006
FILLER_7_79,VGND,li1,42.3200,32.6400,0.000006
FILLER_7_67,VGND,li1,39.1000,32.6400,0.000006
FILLER_7_57,VGND,li1,32.6600,32.6400,0.000005
FILLER_7_53,VGND,li1,30.5900,32.6400,0.000005
FILLER_7_46,VGND,li1,26.9100,32.6400,0.000005
FILLER_7_40,VGND,li1,25.3000,32.6400,0.000004
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000006
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000006
FILLER_6_69,VGND,li1,37.4900,27.2000,0.000016
FILLER_6_65,VGND,li1,35.6500,27.2000,0.000015
FILLER_6_37,VGND,li1,22.7700,27.2000,0.000009
FILLER_6_29,VGND,li1,20.7000,27.2000,0.000009
FILLER_6_10,VGND,li1,10.3500,27.2000,0.000010
FILLER_6_6,VGND,li1,9.2000,27.2000,0.000010
FILLER_5_75,VGND,li1,40.4800,27.2000,0.000017
FILLER_5_67,VGND,li1,38.1800,27.2000,0.000016
FILLER_5_57,VGND,li1,31.9700,27.2000,0.000013
FILLER_5_49,VGND,li1,28.7500,27.2000,0.000012
FILLER_5_37,VGND,li1,22.7700,27.2000,0.000009
FILLER_5_29,VGND,li1,20.7000,27.2000,0.000009
FILLER_5_17,VGND,li1,16.1000,27.2000,0.000010
FILLER_4_79,VGND,li1,42.3200,21.7600,0.000009
FILLER_4_73,VGND,li1,39.3300,21.7600,0.000009
FILLER_4_65,VGND,li1,37.2600,21.7600,0.000008
FILLER_4_60,VGND,li1,33.3500,21.7600,0.000008
FILLER_4_56,VGND,li1,32.2000,21.7600,0.000008
FILLER_4_44,VGND,li1,28.5200,21.7600,0.000007
FILLER_4_35,VGND,li1,21.8500,21.7600,0.000007
FILLER_4_29,VGND,li1,20.2400,21.7600,0.000007
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000008
FILLER_4_12,VGND,li1,11.5000,21.7600,0.000008
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000008
FILLER_3_65,VGND,li1,35.8800,21.7600,0.000008
FILLER_3_48,VGND,li1,29.4400,21.7600,0.000007
FILLER_3_30,VGND,li1,19.7800,21.7600,0.000007
FILLER_3_21,VGND,li1,16.1000,21.7600,0.000008
FILLER_3_8,VGND,li1,9.8900,21.7600,0.000008
FILLER_3_3,VGND,li1,7.3600,21.7600,0.000008
FILLER_2_77,VGND,li1,41.8600,16.3200,0.000008
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000008
FILLER_2_47,VGND,li1,29.9000,16.3200,0.000007
FILLER_2_37,VGND,li1,23.0000,16.3200,0.000007
FILLER_2_29,VGND,li1,20.7000,16.3200,0.000007
FILLER_2_22,VGND,li1,17.0200,16.3200,0.000008
FILLER_2_16,VGND,li1,13.1100,16.3200,0.000009
FILLER_2_12,VGND,li1,11.9600,16.3200,0.000009
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000008
FILLER_1_66,VGND,li1,36.5700,16.3200,0.000008
FILLER_1_57,VGND,li1,32.4300,16.3200,0.000007
FILLER_1_54,VGND,li1,30.8200,16.3200,0.000007
FILLER_1_39,VGND,li1,23.6900,16.3200,0.000007
FILLER_1_24,VGND,li1,16.7900,16.3200,0.000008
FILLER_1_15,VGND,li1,12.8800,16.3200,0.000009
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000010
FILLER_0_78,VGND,li1,42.0900,10.8800,0.000008
FILLER_0_70,VGND,li1,39.5600,10.8800,0.000008
FILLER_0_60,VGND,li1,34.0400,10.8800,0.000008
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000007
FILLER_0_43,VGND,li1,25.7600,10.8800,0.000006
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000008
FILLER_0_3,VGND,li1,7.8200,10.8800,0.000009
output16,VGND,li1,14.2600,38.0800,0.000012
output15,VGND,li1,7.8200,38.0800,0.000014
output14,VGND,li1,41.8600,38.0800,0.000014
output13,VGND,li1,41.8600,27.2000,0.000017
output12,VGND,li1,41.8600,27.2000,0.000017
output11,VGND,li1,41.8600,16.3200,0.000008
output10,VGND,li1,24.3800,10.8800,0.000006
output9,VGND,li1,27.1400,10.8800,0.000007
input8,VGND,li1,7.8200,16.3200,0.000010
input7,VGND,li1,10.3500,21.7600,0.000008
input6,VGND,li1,21.1600,10.8800,0.000007
input5,VGND,li1,32.4300,10.8800,0.000008
input4,VGND,li1,7.5900,27.2000,0.000010
input3,VGND,li1,9.2000,27.2000,0.000010
input2,VGND,li1,9.4300,10.8800,0.000009
input1,VGND,li1,12.4200,10.8800,0.000008
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000010
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000010
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000005
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000005
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000010
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000013
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000007
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000008
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000008
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000007
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000007
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000008
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000014
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000010
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000010
