Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_73,VGND,li1,40.0200,38.0800,0.000016
FILLER_9_61,VGND,li1,36.3400,38.0800,0.000014
FILLER_9_57,VGND,li1,31.9700,38.0800,0.000012
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000011
FILLER_9_49,VGND,li1,29.4400,38.0800,0.000011
FILLER_9_44,VGND,li1,25.9900,38.0800,0.000009
FILLER_9_29,VGND,li1,19.7800,38.0800,0.000009
FILLER_9_26,VGND,li1,17.9400,38.0800,0.000009
FILLER_9_18,VGND,li1,15.6400,38.0800,0.000009
FILLER_9_6,VGND,li1,11.0400,38.0800,0.000010
FILLER_8_73,VGND,li1,40.9400,32.6400,0.000008
FILLER_8_65,VGND,li1,35.6500,32.6400,0.000007
FILLER_8_48,VGND,li1,28.9800,32.6400,0.000006
FILLER_8_36,VGND,li1,24.8400,32.6400,0.000005
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000006
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000006
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000007
FILLER_7_73,VGND,li1,40.9400,32.6400,0.000008
FILLER_7_64,VGND,li1,35.6500,32.6400,0.000007
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000007
FILLER_7_48,VGND,li1,28.0600,32.6400,0.000006
FILLER_7_36,VGND,li1,24.8400,32.6400,0.000005
FILLER_7_27,VGND,li1,18.4000,32.6400,0.000006
FILLER_7_19,VGND,li1,16.1000,32.6400,0.000006
FILLER_7_7,VGND,li1,11.5000,32.6400,0.000007
FILLER_6_69,VGND,li1,39.1000,27.2000,0.000008
FILLER_6_65,VGND,li1,35.6500,27.2000,0.000007
FILLER_6_36,VGND,li1,23.4600,27.2000,0.000005
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000006
FILLER_6_11,VGND,li1,11.0400,27.2000,0.000007
FILLER_6_3,VGND,li1,7.1300,27.2000,0.000007
FILLER_5_77,VGND,li1,41.8600,27.2000,0.000008
FILLER_5_69,VGND,li1,37.4900,27.2000,0.000007
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000007
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000007
FILLER_5_47,VGND,li1,28.9800,27.2000,0.000006
FILLER_5_35,VGND,li1,24.3800,27.2000,0.000005
FILLER_5_23,VGND,li1,18.8600,27.2000,0.000006
FILLER_5_10,VGND,li1,11.5000,27.2000,0.000007
FILLER_5_6,VGND,li1,8.5100,27.2000,0.000007
FILLER_4_76,VGND,li1,40.7100,21.7600,0.000017
FILLER_4_72,VGND,li1,39.5600,21.7600,0.000017
FILLER_4_60,VGND,li1,35.8800,21.7600,0.000014
FILLER_4_53,VGND,li1,30.1300,21.7600,0.000012
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000010
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000009
FILLER_4_16,VGND,li1,13.1100,21.7600,0.000011
FILLER_4_10,VGND,li1,11.5000,21.7600,0.000011
FILLER_3_79,VGND,li1,42.3200,21.7600,0.000017
FILLER_3_66,VGND,li1,36.1100,21.7600,0.000015
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000013
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000012
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000012
FILLER_3_39,VGND,li1,23.9200,21.7600,0.000009
FILLER_3_24,VGND,li1,17.2500,21.7600,0.000010
FILLER_3_12,VGND,li1,12.4200,21.7600,0.000011
FILLER_2_77,VGND,li1,41.8600,16.3200,0.000016
FILLER_2_62,VGND,li1,36.8000,16.3200,0.000015
FILLER_2_55,VGND,li1,31.0500,16.3200,0.000012
FILLER_2_49,VGND,li1,29.4400,16.3200,0.000012
FILLER_2_39,VGND,li1,24.1500,16.3200,0.000010
FILLER_2_33,VGND,li1,20.9300,16.3200,0.000010
FILLER_2_29,VGND,li1,19.7800,16.3200,0.000011
FILLER_2_13,VGND,li1,11.7300,16.3200,0.000011
FILLER_1_76,VGND,li1,40.7100,16.3200,0.000016
FILLER_1_64,VGND,li1,37.7200,16.3200,0.000015
FILLER_1_18,VGND,li1,14.0300,16.3200,0.000011
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000005
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000005
FILLER_0_52,VGND,li1,30.3600,10.8800,0.000005
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000006
FILLER_0_24,VGND,li1,16.7900,10.8800,0.000006
FILLER_0_11,VGND,li1,11.2700,10.8800,0.000007
FILLER_0_3,VGND,li1,8.7400,10.8800,0.000007
mult4_SarsaNStepsRuido_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_SARSA_RUIDO_e9_16,VGND,li1,7.5900,16.3200,0.000011
output15,VGND,li1,24.8400,38.0800,0.000009
output14,VGND,li1,27.1400,38.0800,0.000010
output13,VGND,li1,41.8600,38.0800,0.000016
output12,VGND,li1,41.8600,27.2000,0.000008
output11,VGND,li1,41.8600,21.7600,0.000017
output10,VGND,li1,41.8600,16.3200,0.000016
output9,VGND,li1,14.2600,10.8800,0.000007
