Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_75,VPWR,li1,41.4000,35.3600,1.799984
FILLER_9_63,VPWR,li1,37.2600,35.3600,1.799984
FILLER_9_57,VPWR,li1,32.2000,35.3600,1.799985
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799985
FILLER_9_38,VPWR,li1,24.8400,35.3600,1.799987
FILLER_9_29,VPWR,li1,19.5500,35.3600,1.799988
FILLER_9_21,VPWR,li1,15.8700,35.3600,1.799987
FILLER_9_13,VPWR,li1,11.7300,35.3600,1.799986
FILLER_9_7,VPWR,li1,10.1200,35.3600,1.799986
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799984
FILLER_8_72,VPWR,li1,40.4800,35.3600,1.799984
FILLER_8_60,VPWR,li1,35.8800,35.3600,1.799984
FILLER_8_29,VPWR,li1,19.7800,35.3600,1.799988
FILLER_8_26,VPWR,li1,17.9400,35.3600,1.799987
FILLER_8_18,VPWR,li1,15.6400,35.3600,1.799987
FILLER_8_3,VPWR,li1,7.3600,35.3600,1.799986
FILLER_7_75,VPWR,li1,40.4800,29.9200,1.799980
FILLER_7_64,VPWR,li1,35.8800,29.9200,1.799982
FILLER_7_57,VPWR,li1,32.6600,29.9200,1.799984
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799984
FILLER_7_47,VPWR,li1,28.9800,29.9200,1.799985
FILLER_7_33,VPWR,li1,21.3900,29.9200,1.799989
FILLER_7_21,VPWR,li1,17.9400,29.9200,1.799988
FILLER_7_9,VPWR,li1,10.1200,29.9200,1.799986
FILLER_7_3,VPWR,li1,7.1300,29.9200,1.799986
FILLER_6_74,VPWR,li1,40.2500,29.9200,1.799980
FILLER_6_62,VPWR,li1,36.8000,29.9200,1.799982
FILLER_6_43,VPWR,li1,26.6800,29.9200,1.799986
FILLER_6_33,VPWR,li1,20.9300,29.9200,1.799989
FILLER_6_29,VPWR,li1,19.7800,29.9200,1.799989
FILLER_6_13,VPWR,li1,11.9600,29.9200,1.799986
FILLER_5_67,VPWR,li1,36.5700,24.4800,1.799993
FILLER_5_63,VPWR,li1,35.4200,24.4800,1.799993
FILLER_5_57,VPWR,li1,32.2000,24.4800,1.799993
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.799994
FILLER_5_41,VPWR,li1,27.1400,24.4800,1.799994
FILLER_5_21,VPWR,li1,17.9400,24.4800,1.799995
FILLER_5_11,VPWR,li1,11.2700,24.4800,1.799995
FILLER_5_3,VPWR,li1,7.3600,24.4800,1.799995
FILLER_4_80,VPWR,li1,42.5500,24.4800,1.799992
FILLER_4_74,VPWR,li1,40.9400,24.4800,1.799992
FILLER_4_53,VPWR,li1,30.1300,24.4800,1.799994
FILLER_4_45,VPWR,li1,28.0600,24.4800,1.799994
FILLER_4_37,VPWR,li1,22.7700,24.4800,1.799995
FILLER_4_29,VPWR,li1,20.7000,24.4800,1.799996
FILLER_4_22,VPWR,li1,17.0200,24.4800,1.799995
FILLER_4_10,VPWR,li1,10.5800,24.4800,1.799995
FILLER_3_80,VPWR,li1,42.5500,19.0400,1.799983
FILLER_3_68,VPWR,li1,39.5600,19.0400,1.799983
FILLER_3_61,VPWR,li1,33.8100,19.0400,1.799986
FILLER_3_57,VPWR,li1,32.6600,19.0400,1.799986
FILLER_3_50,VPWR,li1,29.9000,19.0400,1.799987
FILLER_3_20,VPWR,li1,15.1800,19.0400,1.799990
FILLER_2_61,VPWR,li1,34.2700,19.0400,1.799986
FILLER_2_49,VPWR,li1,28.7500,19.0400,1.799988
FILLER_2_42,VPWR,li1,25.5300,19.0400,1.799990
FILLER_2_37,VPWR,li1,23.0000,19.0400,1.799991
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799990
FILLER_2_13,VPWR,li1,14.2600,19.0400,1.799990
FILLER_2_3,VPWR,li1,8.2800,19.0400,1.799989
FILLER_1_80,VPWR,li1,42.5500,13.6000,1.799988
FILLER_1_76,VPWR,li1,41.4000,13.6000,1.799988
FILLER_1_64,VPWR,li1,37.7200,13.6000,1.799988
FILLER_1_48,VPWR,li1,27.8300,13.6000,1.799990
FILLER_1_35,VPWR,li1,22.3100,13.6000,1.799992
FILLER_1_22,VPWR,li1,15.8700,13.6000,1.799989
FILLER_1_9,VPWR,li1,9.8900,13.6000,1.799989
FILLER_1_3,VPWR,li1,8.2800,13.6000,1.799989
FILLER_0_78,VPWR,li1,42.0900,13.6000,1.799988
FILLER_0_66,VPWR,li1,38.6400,13.6000,1.799988
FILLER_0_54,VPWR,li1,30.8200,13.6000,1.799989
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799990
FILLER_0_11,VPWR,li1,11.0400,13.6000,1.799989
FILLER_0_3,VPWR,li1,8.7400,13.6000,1.799989
output16,VPWR,li1,7.8200,35.3600,1.799986
