net,length_um
net3,48.63µm
net4,44.3µm
net8,39.74µm
net6,36.36µm
_011_,34.78µm
net1,31.48µm
net2,30.78µm
net5,29.23µm
_004_,27.68µm
_021_,26.06µm
_031_,25.06µm
_014_,24.06µm
_023_,23.38µm
_018_,21.62µm
_020_,21.3µm
_047_,18.12µm
_015_,15.14µm
_026_,15.04µm
P[7],14.46µm
_046_,14.32µm
A[2],13.44µm
_016_,13.21µm
_030_,13.04µm
_037_,12.98µm
_022_,12.96µm
_003_,11.88µm
B[0],11.44µm
_033_,10.42µm
P[6],10.32µm
net7,9.2µm
_012_,9.04µm
_034_,8.9µm
B[1],8.72µm
P[1],8.5µm
_001_,8.48µm
_028_,8.2µm
net15,8µm
_039_,7.98µm
_007_,7.56µm
_045_,7.4µm
net10,7.12µm
_025_,6.835µm
_010_,6.76µm
_013_,6.74µm
_017_,6.54µm
A[3],6.31µm
_005_,6.2µm
_042_,6.18µm
_006_,5.8µm
P[3],5.75µm
P[5],5.75µm
_029_,5.74µm
B[2],5.63µm
A[0],5.41µm
_035_,5.36µm
_048_,5.28µm
B[3],5.07µm
net11,4.88µm
net13,4.68µm
A[1],4.61µm
net16,4.61µm
_002_,4.56µm
P[2],4.39µm
P[4],4.39µm
_019_,4µm
_040_,3.52µm
_041_,3.42µm
_008_,3.18µm
net12,3.18µm
net14,3.1µm
_000_,2.96µm
_049_,2.96µm
_009_,2.76µm
_024_,2.16µm
_044_,2.06µm
_043_,2.04µm
_038_,1.725µm
_027_,1.6µm
net9,1.26µm
_032_,0.92µm
_036_,0.46µm
