Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.800000
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.800000
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.800000
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.800000
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_9_26,VPWR,li1,17.9400,35.3600,1.799999
FILLER_9_18,VPWR,li1,15.6400,35.3600,1.799999
FILLER_9_6,VPWR,li1,11.0400,35.3600,1.799999
FILLER_8_77,VPWR,li1,41.8600,35.3600,1.800000
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.800000
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.800000
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.800000
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799999
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799999
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799999
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799997
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799997
FILLER_7_50,VPWR,li1,29.9000,29.9200,1.799998
FILLER_7_38,VPWR,li1,25.7600,29.9200,1.799998
FILLER_7_26,VPWR,li1,20.2400,29.9200,1.799998
FILLER_7_7,VPWR,li1,9.6600,29.9200,1.799997
FILLER_6_76,VPWR,li1,40.7100,29.9200,1.799997
FILLER_6_72,VPWR,li1,39.5600,29.9200,1.799997
FILLER_6_60,VPWR,li1,35.8800,29.9200,1.799997
FILLER_6_48,VPWR,li1,30.3600,29.9200,1.799998
FILLER_6_36,VPWR,li1,24.8400,29.9200,1.799998
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799998
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799997
FILLER_6_6,VPWR,li1,11.0400,29.9200,1.799997
FILLER_5_69,VPWR,li1,39.1000,24.4800,1.799995
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799996
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799996
FILLER_5_42,VPWR,li1,27.6000,24.4800,1.799996
FILLER_5_30,VPWR,li1,22.0800,24.4800,1.799997
FILLER_5_19,VPWR,li1,15.6400,24.4800,1.799996
FILLER_5_7,VPWR,li1,11.5000,24.4800,1.799995
FILLER_4_77,VPWR,li1,41.8600,24.4800,1.799995
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799995
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799996
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799996
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799997
FILLER_4_24,VPWR,li1,17.4800,24.4800,1.799996
FILLER_4_18,VPWR,li1,14.4900,24.4800,1.799996
FILLER_4_6,VPWR,li1,11.0400,24.4800,1.799995
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.800000
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.800000
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.800000
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.800000
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.800000
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.800000
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.799999
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799999
FILLER_2_77,VPWR,li1,41.8600,19.0400,1.800000
