Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_78,VGND,li1,42.0900,38.0800,0.000013
FILLER_9_70,VGND,li1,39.5600,38.0800,0.000013
FILLER_9_64,VGND,li1,35.4200,38.0800,0.000013
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000012
FILLER_9_47,VGND,li1,28.9800,38.0800,0.000011
FILLER_9_35,VGND,li1,24.3800,38.0800,0.000009
FILLER_9_29,VGND,li1,19.3200,38.0800,0.000010
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000010
FILLER_9_19,VGND,li1,14.4900,38.0800,0.000011
FILLER_9_7,VGND,li1,11.5000,38.0800,0.000011
FILLER_8_73,VGND,li1,40.9400,32.6400,0.000013
FILLER_8_61,VGND,li1,36.3400,32.6400,0.000011
FILLER_8_37,VGND,li1,22.7700,32.6400,0.000007
FILLER_8_29,VGND,li1,20.7000,32.6400,0.000008
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000008
FILLER_8_21,VGND,li1,16.5600,32.6400,0.000009
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000009
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000009
FILLER_7_76,VGND,li1,40.7100,32.6400,0.000013
FILLER_7_64,VGND,li1,37.7200,32.6400,0.000011
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000010
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000010
FILLER_7_47,VGND,li1,28.9800,32.6400,0.000008
FILLER_7_35,VGND,li1,24.3800,32.6400,0.000007
FILLER_7_23,VGND,li1,18.8600,32.6400,0.000008
FILLER_7_18,VGND,li1,14.2600,32.6400,0.000009
FILLER_7_12,VGND,li1,11.5000,32.6400,0.000009
FILLER_7_6,VGND,li1,8.5100,32.6400,0.000009
FILLER_6_77,VGND,li1,41.8600,27.2000,0.000008
FILLER_6_69,VGND,li1,37.4900,27.2000,0.000008
FILLER_6_59,VGND,li1,33.5800,27.2000,0.000007
FILLER_6_37,VGND,li1,23.0000,27.2000,0.000006
FILLER_6_29,VGND,li1,20.7000,27.2000,0.000007
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000008
FILLER_6_13,VGND,li1,14.2600,27.2000,0.000008
FILLER_5_65,VGND,li1,38.1800,27.2000,0.000008
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000007
FILLER_5_46,VGND,li1,28.5200,27.2000,0.000007
FILLER_5_37,VGND,li1,22.7700,27.2000,0.000006
FILLER_5_31,VGND,li1,21.1600,27.2000,0.000007
FILLER_5_14,VGND,li1,12.6500,27.2000,0.000009
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000009
FILLER_4_78,VGND,li1,42.0900,21.7600,0.000008
FILLER_4_62,VGND,li1,34.9600,21.7600,0.000007
FILLER_4_50,VGND,li1,31.2800,21.7600,0.000006
FILLER_4_41,VGND,li1,25.3000,21.7600,0.000005
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000005
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000006
FILLER_4_23,VGND,li1,17.0200,21.7600,0.000006
FILLER_4_10,VGND,li1,10.8100,21.7600,0.000006
FILLER_3_75,VGND,li1,41.4000,21.7600,0.000008
FILLER_3_57,VGND,li1,32.6600,21.7600,0.000007
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000006
FILLER_3_42,VGND,li1,25.3000,21.7600,0.000005
FILLER_3_22,VGND,li1,15.8700,21.7600,0.000006
FILLER_3_18,VGND,li1,14.7200,21.7600,0.000006
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000006
FILLER_2_69,VGND,li1,40.0200,16.3200,0.000007
FILLER_2_59,VGND,li1,34.0400,16.3200,0.000007
FILLER_2_50,VGND,li1,29.2100,16.3200,0.000006
FILLER_2_41,VGND,li1,24.6100,16.3200,0.000005
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000006
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000006
FILLER_2_21,VGND,li1,16.5600,16.3200,0.000006
FILLER_2_11,VGND,li1,10.8100,16.3200,0.000007
FILLER_2_3,VGND,li1,8.7400,16.3200,0.000007
FILLER_1_80,VGND,li1,42.5500,16.3200,0.000007
FILLER_1_72,VGND,li1,40.4800,16.3200,0.000007
FILLER_1_57,VGND,li1,32.2000,16.3200,0.000007
FILLER_1_41,VGND,li1,24.6100,16.3200,0.000005
FILLER_1_27,VGND,li1,18.1700,16.3200,0.000006
FILLER_1_23,VGND,li1,17.0200,16.3200,0.000006
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000007
FILLER_0_78,VGND,li1,42.0900,10.8800,0.000011
FILLER_0_70,VGND,li1,39.5600,10.8800,0.000011
FILLER_0_65,VGND,li1,35.6500,10.8800,0.000011
FILLER_0_57,VGND,li1,33.5800,10.8800,0.000010
FILLER_0_51,VGND,li1,29.2100,10.8800,0.000009
FILLER_0_43,VGND,li1,25.7600,10.8800,0.000007
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000009
FILLER_0_20,VGND,li1,15.6400,10.8800,0.000009
FILLER_0_14,VGND,li1,12.6500,10.8800,0.000009
FILLER_0_3,VGND,li1,8.2800,10.8800,0.000009
output16,VGND,li1,7.8200,38.0800,0.000011
output15,VGND,li1,20.7000,38.0800,0.000010
output14,VGND,li1,36.8000,38.0800,0.000013
output13,VGND,li1,41.8600,32.6400,0.000013
output12,VGND,li1,41.8600,27.2000,0.000008
output11,VGND,li1,36.8000,10.8800,0.000011
output10,VGND,li1,23.0000,10.8800,0.000008
output9,VGND,li1,30.3600,10.8800,0.000009
input8,VGND,li1,7.8200,21.7600,0.000006
input7,VGND,li1,9.4300,21.7600,0.000006
input6,VGND,li1,23.6900,16.3200,0.000006
input5,VGND,li1,26.9100,10.8800,0.000008
input4,VGND,li1,7.5900,32.6400,0.000009
input3,VGND,li1,9.2000,27.2000,0.000009
input2,VGND,li1,17.2500,10.8800,0.000009
input1,VGND,li1,14.0300,10.8800,0.000009
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000012
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000010
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000008
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000010
