net,length_um
net8,62.78µm
net3,52.8µm
net7,37.15µm
_29_,33.92µm
_28_,33.14µm
_02_,31.315µm
net4,30.91µm
net1,28.94µm
_03_,28.255µm
net5,27.5µm
net6,26.66µm
net2,26.48µm
_24_,21.865µm
_20_,21.78µm
_35_,20.52µm
_16_,19.16µm
_31_,18.86µm
_10_,18.68µm
_01_,17.62µm
_44_,16.5µm
_08_,15.86µm
_18_,15.06µm
A[1],14.46µm
_12_,12.88µm
_39_,12.06µm
_21_,10.94µm
_11_,10.7µm
_15_,10.64µm
_09_,10.62µm
_19_,10.38µm
_41_,10.24µm
A[0],10.22µm
_23_,10.2µm
P[7],9.86µm
B[2],9.76µm
_13_,9.76µm
_17_,9.58µm
P[1],8.96µm
B[3],8.84µm
_37_,8.78µm
B[1],8.72µm
_22_,8.32µm
_06_,8.1µm
_00_,8.04µm
P[3],7.71µm
_43_,7.32µm
_05_,7.18µm
_40_,6.72µm
_33_,6.53µm
_32_,6.16µm
A[2],6.09µm
_14_,5.84µm
P[2],5.75µm
P[5],5.75µm
P[6],5.75µm
P[4],5.53µm
_25_,4.68µm
A[3],4.61µm
P[0],4.39µm
net14,4.22µm
_04_,4.125µm
B[0],3.93µm
_27_,3.88µm
_45_,3.06µm
net13,2.72µm
_30_,2.59µm
_42_,2.5µm
net12,2.5µm
_26_,2.18µm
net15,2.18µm
_34_,2.16µm
_07_,1.7µm
_38_,1.7µm
net11,1.7µm
_36_,1.61µm
net10,1.6µm
net9,0.92µm
net16,0.92µm
