net,length_um
net8,53.9µm
net6,40.03µm
net4,34.34µm
net5,34.12µm
net1,32.66µm
net3,31.5µm
net2,29.74µm
net7,26.48µm
_29_,23.7µm
_23_,23.04µm
_03_,21.61µm
_06_,20.7µm
_41_,19.62µm
_36_,18.88µm
_24_,17.7µm
_16_,17.24µm
_01_,16.17µm
_43_,16.16µm
_18_,12.72µm
P[7],12.62µm
_33_,12.22µm
_27_,12µm
B[3],11.83µm
_15_,11.06µm
_14_,10.76µm
net9,10.42µm
_19_,10.305µm
_04_,9.88µm
_05_,9.82µm
_40_,9.82µm
_13_,9.8µm
_31_,9.76µm
P[2],8.96µm
_10_,8.86µm
B[2],8.75µm
P[1],8.75µm
P[0],8.5µm
_17_,7.98µm
_20_,7.66µm
_42_,7.58µm
_26_,7.52µm
B[0],7.35µm
_02_,7.1µm
_00_,7.08µm
_39_,6.94µm
_35_,6.78µm
P[6],5.75µm
_28_,5.36µm
_38_,5.34µm
A[0],5.29µm
net11,5.28µm
A[2],5.07µm
P[5],5.07µm
A[1],4.95µm
net10,4.82µm
_12_,4.8µm
P[4],4.73µm
A[3],4.61µm
B[1],4.61µm
_25_,4.46µm
P[3],4.39µm
net15,3.88µm
_44_,3.44µm
_37_,3.08µm
_32_,2.96µm
_08_,2.5µm
_09_,2.5µm
_07_,2.3µm
_11_,2.3µm
net13,2.06µm
_34_,2.04µm
_45_,1.84µm
net12,1.84µm
_30_,1.7µm
_22_,1.38µm
_21_,1.26µm
net14,0.8µm
net16,0.46µm
