net,length_um
net8,56.98µm
net7,49.82µm
net1,39.72µm
net3,37.4µm
net5,34.98µm
net2,33.9µm
_029_,32.9µm
net4,31.1µm
_038_,27.44µm
_003_,25.9µm
_021_,25.26µm
net6,20.1µm
_011_,19.98µm
_002_,19.94µm
_009_,18.92µm
_040_,17.46µm
_010_,16.7µm
_036_,15.64µm
_026_,14.88µm
_031_,14.82µm
B[1],14.76µm
P[5],14.74µm
_037_,13.76µm
A[0],13.44µm
B[0],13.32µm
_014_,13.26µm
_042_,13.24µm
_025_,12.7µm
_001_,12.48µm
_006_,12.06µm
P[7],11.7µm
_032_,11.64µm
_035_,11.16µm
_017_,10.74µm
_022_,10.7µm
P[6],10.32µm
_043_,10.08µm
_013_,9.74µm
_015_,9.62µm
_019_,9.58µm
_020_,9.5µm
_024_,9.32µm
_000_,9.02µm
B[2],8.84µm
_018_,8.76µm
A[1],8.72µm
_012_,8.56µm
P[1],8.5µm
_047_,8.4µm
_008_,7.96µm
_030_,7.6µm
_044_,7.52µm
_033_,6.4µm
P[4],6.21µm
_041_,5.935µm
net13,5.78µm
P[2],5.75µm
_004_,5.36µm
A[2],5.29µm
P[3],5.07µm
_048_,5.035µm
A[3],4.61µm
_005_,4.42µm
P[0],4.39µm
_027_,4.34µm
B[3],3.93µm
net14,3.76µm
_046_,3.64µm
_034_,3.42µm
net10,3.42µm
_039_,2.62µm
_045_,2.5µm
net9,2.5µm
net12,2.5µm
_016_,2.28µm
net15,2.18µm
_028_,1.72µm
_007_,1.7µm
_023_,1.7µm
net11,1.7µm
net16,0.46µm
