net,length_um
net8,45.34µm
net3,43.62µm
net4,41.76µm
net6,31.42µm
net2,29.74µm
_008_,28.9µm
_034_,27.74µm
net5,27.66µm
_017_,26.92µm
_011_,25.72µm
_004_,24.62µm
_020_,22µm
_001_,20.86µm
net1,20.38µm
_027_,19.26µm
_013_,18.23µm
_006_,17.88µm
_003_,17.4µm
net7,16.74µm
_041_,15.72µm
_023_,14.84µm
P[7],14.74µm
_028_,14.24µm
_026_,13.74µm
_015_,13.72µm
_005_,12.76µm
_044_,12.62µm
_000_,12.6µm
_021_,12.365µm
_018_,12.26µm
_042_,12.24µm
_043_,12.16µm
_009_,11.8µm
B[0],11.78µm
B[1],11.78µm
_019_,11.68µm
_012_,11.24µm
_032_,10.74µm
_022_,10.54µm
P[6],10.32µm
_039_,9.76µm
P[1],8.96µm
_002_,8.82µm
A[1],8.72µm
A[2],8.72µm
_014_,8.24µm
_030_,8.12µm
_037_,7.92µm
_024_,7.44µm
_016_,7.2µm
B[3],6.77µm
_045_,6.58µm
net11,6.52µm
A[3],6.31µm
A[0],5.97µm
_010_,5.8µm
P[3],5.75µm
P[5],5.75µm
_036_,5.5µm
P[0],5.07µm
B[2],4.95µm
P[2],4.39µm
P[4],4.39µm
net14,4.22µm
_038_,3.56µm
net12,3.52µm
net16,3.42µm
_007_,3.08µm
_033_,2.96µm
_031_,2.52µm
_025_,1.72µm
net15,1.72µm
_040_,1.7µm
net10,1.6µm
net9,1.26µm
_035_,1.14µm
_046_,1.14µm
_029_,0.92µm
net13,0.8µm
