Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000013
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000011
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000010
FILLER_9_42,VGND,li1,27.6000,38.0800,0.000008
FILLER_9_36,VGND,li1,22.5400,38.0800,0.000008
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000009
FILLER_9_18,VGND,li1,14.4900,38.0800,0.000009
FILLER_9_6,VGND,li1,11.0400,38.0800,0.000009
FILLER_8_80,VGND,li1,42.5500,32.6400,0.000007
FILLER_8_74,VGND,li1,40.9400,32.6400,0.000007
FILLER_8_64,VGND,li1,35.6500,32.6400,0.000007
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000006
FILLER_8_23,VGND,li1,16.3300,32.6400,0.000007
FILLER_8_15,VGND,li1,14.2600,32.6400,0.000007
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000007
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000007
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000007
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000007
FILLER_7_50,VGND,li1,29.9000,32.6400,0.000006
FILLER_7_38,VGND,li1,25.7600,32.6400,0.000005
FILLER_7_26,VGND,li1,20.2400,32.6400,0.000006
FILLER_7_11,VGND,li1,12.4200,32.6400,0.000007
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000007
FILLER_6_63,VGND,li1,34.7300,27.2000,0.000015
FILLER_6_42,VGND,li1,25.0700,27.2000,0.000009
FILLER_6_36,VGND,li1,23.4600,27.2000,0.000009
FILLER_6_19,VGND,li1,14.7200,27.2000,0.000011
FILLER_6_7,VGND,li1,11.5000,27.2000,0.000012
FILLER_5_78,VGND,li1,42.0900,27.2000,0.000019
FILLER_5_70,VGND,li1,39.5600,27.2000,0.000018
FILLER_5_65,VGND,li1,35.6500,27.2000,0.000016
FILLER_5_57,VGND,li1,33.5800,27.2000,0.000015
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000013
FILLER_5_49,VGND,li1,29.4400,27.2000,0.000013
FILLER_5_38,VGND,li1,23.6900,27.2000,0.000009
FILLER_5_26,VGND,li1,20.2400,27.2000,0.000011
FILLER_5_14,VGND,li1,12.4200,27.2000,0.000012
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000012
FILLER_4_73,VGND,li1,40.0200,21.7600,0.000013
FILLER_4_61,VGND,li1,36.3400,21.7600,0.000013
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000008
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000008
FILLER_4_24,VGND,li1,17.4800,21.7600,0.000008
FILLER_4_12,VGND,li1,11.2700,21.7600,0.000009
FILLER_4_6,VGND,li1,9.6600,21.7600,0.000009
FILLER_3_65,VGND,li1,36.3400,21.7600,0.000013
FILLER_3_48,VGND,li1,28.0600,21.7600,0.000008
FILLER_3_26,VGND,li1,18.1700,21.7600,0.000008
FILLER_3_15,VGND,li1,12.8800,21.7600,0.000008
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000009
FILLER_2_79,VGND,li1,42.3200,16.3200,0.000013
FILLER_2_71,VGND,li1,40.0200,16.3200,0.000012
FILLER_2_59,VGND,li1,35.4200,16.3200,0.000011
FILLER_2_51,VGND,li1,29.9000,16.3200,0.000010
FILLER_2_40,VGND,li1,24.6100,16.3200,0.000007
FILLER_2_32,VGND,li1,22.0800,16.3200,0.000008
FILLER_2_16,VGND,li1,15.6400,16.3200,0.000009
FILLER_2_11,VGND,li1,11.0400,16.3200,0.000010
FILLER_2_3,VGND,li1,7.1300,16.3200,0.000010
FILLER_1_69,VGND,li1,39.1000,16.3200,0.000012
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000010
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000010
FILLER_1_41,VGND,li1,24.8400,16.3200,0.000007
FILLER_1_37,VGND,li1,22.7700,16.3200,0.000008
FILLER_1_25,VGND,li1,17.4800,16.3200,0.000009
FILLER_1_21,VGND,li1,15.4100,16.3200,0.000009
FILLER_1_17,VGND,li1,14.2600,16.3200,0.000009
FILLER_1_11,VGND,li1,10.8100,16.3200,0.000010
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000007
FILLER_0_61,VGND,li1,33.8100,10.8800,0.000007
FILLER_0_57,VGND,li1,32.6600,10.8800,0.000007
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000007
FILLER_0_29,VGND,li1,19.0900,10.8800,0.000008
FILLER_0_23,VGND,li1,16.3300,10.8800,0.000009
FILLER_0_14,VGND,li1,12.1900,10.8800,0.000009
FILLER_0_10,VGND,li1,11.0400,10.8800,0.000010
output16,VGND,li1,17.4800,32.6400,0.000007
output15,VGND,li1,23.9200,38.0800,0.000008
output14,VGND,li1,41.8600,38.0800,0.000014
output13,VGND,li1,41.8600,27.2000,0.000019
output12,VGND,li1,41.8600,21.7600,0.000014
output11,VGND,li1,41.8600,16.3200,0.000013
output10,VGND,li1,17.4800,10.8800,0.000008
output9,VGND,li1,7.8200,10.8800,0.000010
input8,VGND,li1,7.8200,27.2000,0.000012
input7,VGND,li1,7.5900,21.7600,0.000009
input6,VGND,li1,23.6900,16.3200,0.000008
input5,VGND,li1,18.6300,16.3200,0.000009
input4,VGND,li1,7.5900,38.0800,0.000009
input3,VGND,li1,28.5200,10.8800,0.000006
input2,VGND,li1,13.1100,10.8800,0.000009
input1,VGND,li1,7.5900,16.3200,0.000010
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000010
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000009
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000006
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000007
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000011
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000014
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000008
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000010
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000009
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000010
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000007
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000008
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000009
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000012
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000012
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000009
