net,length_um
net6,227.04µm
net15,189.72µm
net8,170.88µm
net13,161.62µm
net4,137.53µm
net36,134.54µm
net43,113.29µm
net34,102.8µm
net14,99.4µm
net41,97.72µm
net7,97µm
net11,95.78µm
net40,93.48µm
net5,93.42µm
net35,92.47µm
_275_,89.9µm
_278_,89.58µm
net12,87.86µm
net16,87.58µm
_277_,86.18µm
_086_,85.34µm
_043_,85.18µm
net87,84.1µm
net3,83.84µm
net56,83.64µm
_176_,82.78µm
net2,82.22µm
net62,75.1µm
net37,72.22µm
net45,70.08µm
_120_,64.88µm
net78,63.8µm
net10,61.82µm
_096_,59.845µm
_237_,59.74µm
_225_,57.92µm
_090_,55.94µm
_227_,53.64µm
_147_,52.3µm
_200_,50.62µm
_245_,50.36µm
_135_,50.2µm
_221_,50.04µm
_023_,49.06µm
_175_,48.58µm
net39,48.52µm
_052_,46.44µm
_222_,46.22µm
net60,45.9µm
_039_,45.54µm
_080_,45.3µm
_002_,44.64µm
net46,44.62µm
net19,44.04µm
_281_,43.225µm
net44,42.91µm
_030_,42.66µm
_148_,42.64µm
_219_,40.6µm
_003_,40.59µm
net29,40.06µm
_206_,39.76µm
_228_,39.34µm
net42,39.12µm
net38,38.7µm
_272_,38.68µm
_042_,38.6µm
_226_,38.5µm
_172_,37.95µm
_263_,37.78µm
_185_,37.28µm
_156_,36.775µm
net31,36.66µm
net33,35.74µm
_258_,35.62µm
net28,35.6µm
net68,35.44µm
net27,35.14µm
net47,34.08µm
_068_,33.66µm
_235_,33.58µm
net18,33.44µm
_166_,33.28µm
_083_,33.26µm
_017_,32.98µm
_056_,32.96µm
net59,32.92µm
_093_,32.8µm
_021_,32.74µm
_008_,32.72µm
_220_,32.66µm
_079_,32.58µm
_216_,32.5µm
_076_,31.96µm
net30,31.7µm
_136_,31.56µm
net32,31.14µm
_240_,31.04µm
_231_,30.36µm
_069_,30.28µm
_102_,28.6µm
_233_,28.54µm
_125_,28.475µm
_099_,28µm
_273_,28µm
_012_,27.3µm
net73,27.18µm
_044_,27.12µm
net63,26.525µm
_189_,26.22µm
net20,26.14µm
_253_,25.94µm
_072_,25.76µm
_018_,25.68µm
_116_,25.6µm
_007_,25.24µm
_211_,25.14µm
_164_,24.9µm
_050_,24.56µm
_154_,24.23µm
_255_,24.08µm
net64,24.04µm
_095_,23.88µm
_254_,23.32µm
_111_,23.18µm
_252_,23.14µm
net22,23.12µm
_046_,23.1µm
_067_,23.04µm
_159_,23µm
_139_,22.92µm
_112_,22.9µm
_266_,22.9µm
_239_,22.88µm
net50,22.86µm
_161_,22.44µm
_025_,22.32µm
_004_,22.26µm
_000_,22.22µm
_209_,22.22µm
_010_,22.06µm
net23,21.88µm
_066_,21.68µm
net21,21.58µm
_104_,21.4µm
_133_,21.2µm
_064_,21.16µm
_109_,20.92µm
_100_,20.82µm
_084_,20.78µm
_234_,20.78µm
_014_,20.58µm
_035_,20.26µm
_158_,20.18µm
_117_,20.12µm
_180_,19.96µm
net82,19.88µm
_142_,19.78µm
_149_,19.5µm
_022_,19.32µm
_276_,19.28µm
_146_,18.96µm
_059_,18.9µm
_264_,18.8µm
_031_,18.62µm
net74,18.54µm
net80,18.5µm
_152_,18.44µm
_163_,18.32µm
_114_,18.2µm
_207_,18µm
_196_,17.635µm
net1,17.32µm
_127_,17.26µm
_027_,16.8µm
_195_,16.79µm
_020_,16.72µm
_181_,16.7µm
_075_,16.64µm
_170_,16.6µm
_057_,16.56µm
_193_,16.36µm
B[3],16.26µm
_013_,16.02µm
_283_,15.56µm
net52,15.22µm
_106_,15.1µm
_045_,15.04µm
_186_,15.015µm
P[15],14.9µm
_037_,14.88µm
_182_,14.865µm
_202_,14.475µm
P[14],14.44µm
_051_,14.36µm
_177_,14.34µm
_259_,14.205µm
_190_,13.88µm
_088_,13.8µm
_174_,13.6µm
_073_,13.465µm
P[1],13.4µm
_049_,13.26µm
_105_,13.18µm
_192_,13.16µm
_132_,13.12µm
net67,13.12µm
P[12],13.06µm
P[13],13.06µm
_160_,13µm
_101_,12.98µm
_122_,12.84µm
_168_,12.84µm
net9,12.84µm
B[7],12.8µm
_153_,12.62µm
_033_,12.56µm
_229_,12.54µm
net25,12.54µm
_006_,12.48µm
_236_,12.46µm
_203_,12.34µm
_232_,12.14µm
_251_,12.14µm
_151_,12.08µm
_015_,11.955µm
_009_,11.94µm
_260_,11.84µm
A[2],11.78µm
_284_,11.76µm
_054_,11.68µm
_150_,11.46µm
_271_,11.32µm
_194_,11.26µm
_115_,10.92µm
_201_,10.92µm
B[5],10.88µm
B[6],10.88µm
_092_,10.58µm
_188_,10.5µm
_140_,10.395µm
_077_,10.36µm
_171_,10.36µm
_048_,10.32µm
_169_,10.32µm
_038_,10.24µm
_268_,10.24µm
_060_,10.2µm
_282_,10.05µm
_129_,9.985µm
_246_,9.9µm
_143_,9.7µm
_065_,9.66µm
_124_,9.48µm
net65,9.38µm
_249_,9.36µm
_081_,9.24µm
_091_,9.24µm
_178_,9.24µm
B[1],9.18µm
_134_,9.16µm
_034_,9.03µm
P[0],8.96µm
P[3],8.96µm
P[4],8.96µm
_126_,8.86µm
A[3],8.84µm
B[2],8.84µm
net79,8.84µm
_016_,8.76µm
_118_,8.74µm
_078_,8.735µm
A[0],8.72µm
A[1],8.72µm
B[4],8.72µm
_032_,8.66µm
_141_,8.56µm
_213_,8.56µm
_089_,8.54µm
P[2],8.5µm
P[5],8.5µm
_029_,8.44µm
_040_,8.405µm
_269_,8.36µm
_257_,8.32µm
net51,8.32µm
B[0],8.26µm
net69,8.18µm
_107_,8.14µm
net61,8.1µm
_113_,8.06µm
_011_,8.04µm
_199_,7.98µm
_098_,7.94µm
_167_,7.94µm
_144_,7.9µm
net84,7.86µm
_261_,7.78µm
_061_,7.76µm
_179_,7.74µm
_123_,7.66µm
_110_,7.48µm
_204_,7.44µm
_082_,7.28µm
_138_,7.24µm
_214_,7.24µm
_128_,7.22µm
_210_,7.18µm
_243_,7.18µm
net88,7.1µm
_071_,7.08µm
_279_,7.08µm
_241_,6.98µm
_212_,6.94µm
net71,6.94µm
_256_,6.88µm
_070_,6.76µm
net81,6.76µm
_265_,6.7µm
P[8],6.55µm
_165_,6.52µm
P[11],6.43µm
_197_,6.3µm
_248_,6.3µm
_267_,6.28µm
